Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:12:16.654000,NOR,4,0 days 00:01:36.463000,20.0,2.0,,,0 days 00:00:31.072000,0 days 00:00:41.558000,0 days 00:00:23.833000,0 days 01:11:11.328000,0 days 01:11:52.886000,0 days 01:12:16.719000,232.0,249.0,277.0,279.0,False,MEDIUM,8.0,True,McLaren,0 days 01:10:40.191000,2021-03-28 15:40:40.201,1,4.0,False,,False,True
0 days 01:13:53.223000,NOR,4,0 days 00:01:36.569000,21.0,2.0,,,0 days 00:00:31.096000,0 days 00:00:41.693000,0 days 00:00:23.780000,0 days 01:12:47.815000,0 days 01:13:29.508000,0 days 01:13:53.288000,,250.0,277.0,284.0,False,MEDIUM,9.0,True,McLaren,0 days 01:12:16.654000,2021-03-28 15:42:16.664,1,4.0,False,,False,True
0 days 01:15:29.594000,NOR,4,0 days 00:01:36.371000,22.0,2.0,,,0 days 00:00:31.073000,0 days 00:00:41.501000,0 days 00:00:23.797000,0 days 01:14:24.361000,0 days 01:15:05.862000,0 days 01:15:29.659000,231.0,247.0,277.0,282.0,False,MEDIUM,10.0,True,McLaren,0 days 01:13:53.223000,2021-03-28 15:43:53.233,1,4.0,False,,False,True
0 days 01:17:06.141000,NOR,4,0 days 00:01:36.547000,23.0,2.0,,,0 days 00:00:31.135000,0 days 00:00:41.622000,0 days 00:00:23.790000,0 days 01:16:00.794000,0 days 01:16:42.416000,0 days 01:17:06.206000,233.0,250.0,277.0,286.0,False,MEDIUM,11.0,True,McLaren,0 days 01:15:29.594000,2021-03-28 15:45:29.604,1,4.0,False,,False,True
0 days 01:18:42.550000,NOR,4,0 days 00:01:36.409000,24.0,2.0,,,0 days 00:00:30.971000,0 days 00:00:41.583000,0 days 00:00:23.855000,0 days 01:17:37.177000,0 days 01:18:18.760000,0 days 01:18:42.615000,232.0,250.0,276.0,285.0,False,MEDIUM,12.0,True,McLaren,0 days 01:17:06.141000,2021-03-28 15:47:06.151,1,4.0,False,,False,True
0 days 01:20:19.115000,NOR,4,0 days 00:01:36.565000,25.0,2.0,,,0 days 00:00:31.064000,0 days 00:00:41.678000,0 days 00:00:23.823000,0 days 01:19:13.679000,0 days 01:19:55.357000,0 days 01:20:19.180000,233.0,250.0,277.0,282.0,False,MEDIUM,13.0,True,McLaren,0 days 01:18:42.550000,2021-03-28 15:48:42.560,1,4.0,False,,False,True
0 days 01:21:55.267000,NOR,4,0 days 00:01:36.152000,26.0,2.0,,,0 days 00:00:30.932000,0 days 00:00:41.391000,0 days 00:00:23.829000,0 days 01:20:50.112000,0 days 01:21:31.503000,0 days 01:21:55.332000,,252.0,277.0,283.0,False,MEDIUM,14.0,True,McLaren,0 days 01:20:19.115000,2021-03-28 15:50:19.125,1,4.0,False,,False,True
0 days 01:23:31.557000,NOR,4,0 days 00:01:36.290000,27.0,2.0,,,0 days 00:00:31.079000,0 days 00:00:41.439000,0 days 00:00:23.772000,0 days 01:22:26.411000,0 days 01:23:07.850000,0 days 01:23:31.622000,,251.0,277.0,281.0,False,MEDIUM,15.0,True,McLaren,0 days 01:21:55.267000,2021-03-28 15:51:55.277,1,4.0,False,,False,True
0 days 01:25:08.134000,NOR,4,0 days 00:01:36.577000,28.0,2.0,,,0 days 00:00:31.068000,0 days 00:00:41.725000,0 days 00:00:23.784000,0 days 01:24:02.690000,0 days 01:24:44.415000,0 days 01:25:08.199000,,249.0,277.0,283.0,False,MEDIUM,16.0,True,McLaren,0 days 01:23:31.557000,2021-03-28 15:53:31.567,1,4.0,False,,False,True
0 days 01:26:44.780000,NOR,4,0 days 00:01:36.646000,29.0,2.0,,,0 days 00:00:31.125000,0 days 00:00:41.628000,0 days 00:00:23.893000,0 days 01:25:39.324000,0 days 01:26:20.952000,0 days 01:26:44.845000,,253.0,276.0,282.0,False,MEDIUM,17.0,True,McLaren,0 days 01:25:08.134000,2021-03-28 15:55:08.144,1,4.0,False,,False,True
0 days 01:28:21.197000,NOR,4,0 days 00:01:36.417000,30.0,2.0,,,0 days 00:00:31.114000,0 days 00:00:41.421000,0 days 00:00:23.882000,0 days 01:27:15.959000,0 days 01:27:57.380000,0 days 01:28:21.262000,234.0,254.0,278.0,287.0,False,MEDIUM,18.0,True,McLaren,0 days 01:26:44.780000,2021-03-28 15:56:44.790,1,4.0,False,,False,True
0 days 01:29:57.712000,NOR,4,0 days 00:01:36.515000,31.0,2.0,,,0 days 00:00:31.097000,0 days 00:00:41.532000,0 days 00:00:23.886000,0 days 01:28:52.359000,0 days 01:29:33.891000,0 days 01:29:57.777000,,256.0,278.0,282.0,False,MEDIUM,19.0,True,McLaren,0 days 01:28:21.197000,2021-03-28 15:58:21.207,1,3.0,False,,False,True
0 days 01:31:34.328000,NOR,4,0 days 00:01:36.616000,32.0,2.0,,,0 days 00:00:31.203000,0 days 00:00:41.517000,0 days 00:00:23.896000,0 days 01:30:28.980000,0 days 01:31:10.497000,0 days 01:31:34.393000,233.0,254.0,277.0,,False,MEDIUM,20.0,True,McLaren,0 days 01:29:57.712000,2021-03-28 15:59:57.722,1,3.0,False,,False,True
0 days 01:33:13.603000,NOR,4,0 days 00:01:39.275000,33.0,2.0,,0 days 01:33:11.987000,0 days 00:00:31.180000,0 days 00:00:41.605000,0 days 00:00:26.490000,0 days 01:32:05.573000,0 days 01:32:47.178000,0 days 01:33:13.668000,234.0,258.0,,283.0,False,MEDIUM,21.0,True,McLaren,0 days 01:31:34.328000,2021-03-28 16:01:34.338,1,3.0,False,,False,False
0 days 01:35:10.413000,NOR,4,0 days 00:01:56.810000,34.0,3.0,0 days 01:33:37.645000,,0 days 00:00:52.362000,0 days 00:00:41.140000,0 days 00:00:23.308000,0 days 01:34:06.030000,0 days 01:34:47.170000,0 days 01:35:10.478000,234.0,248.0,277.0,221.0,False,HARD,1.0,True,McLaren,0 days 01:33:13.603000,2021-03-28 16:03:13.613,1,6.0,False,,False,False
0 days 01:36:45.312000,NOR,4,0 days 00:01:34.899000,35.0,3.0,,,0 days 00:00:30.644000,0 days 00:00:41.048000,0 days 00:00:23.207000,0 days 01:35:41.122000,0 days 01:36:22.170000,0 days 01:36:45.377000,,249.0,279.0,276.0,True,HARD,2.0,True,McLaren,0 days 01:35:10.413000,2021-03-28 16:05:10.423,1,6.0,False,,False,True
0 days 01:38:19.959000,NOR,4,0 days 00:01:34.647000,36.0,3.0,,,0 days 00:00:30.521000,0 days 00:00:40.784000,0 days 00:00:23.342000,0 days 01:37:15.898000,0 days 01:37:56.682000,0 days 01:38:20.024000,,248.0,280.0,286.0,True,HARD,3.0,True,McLaren,0 days 01:36:45.312000,2021-03-28 16:06:45.322,1,6.0,False,,False,True
