year,champion,points
2012,red-bull,460.0
2013,red-bull,596.0
2014,mercedes,701.0
2015,mercedes,703.0
2016,mercedes,765.0
2017,mercedes,668.0
2018,mercedes,655.0
2019,mercedes,739.0
2020,mercedes,573.0
2021,mercedes,613.5
2022,red-bull,759.0
2023,red-bull,860.0
2024,mclaren,666.0
2025,mclaren,833.0
