constructorId,driverId,driverNumber,engineManufacturerId,lap,position,race,stop,time,tyreManufacturerId,year
lotus-f1,romain-grosjean,8,renault,1,1,01-australia,1,17.255,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,1,2,01-australia,1,32.657,pirelli,2014
force-india,sergio-perez,11,mercedes,1,3,01-australia,1,25.541,pirelli,2014
williams,valtteri-bottas,77,mercedes,10,4,01-australia,1,34.921,pirelli,2014
mclaren,jenson-button,22,mercedes,11,5,01-australia,1,22.411,pirelli,2014
force-india,sergio-perez,11,mercedes,11,6,01-australia,2,22.497,pirelli,2014
mercedes,nico-rosberg,6,mercedes,12,7,01-australia,1,24.331,pirelli,2014
red-bull,daniel-ricciardo,3,renault,12,8,01-australia,1,22.994,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,12,9,01-australia,1,23.150,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,12,10,01-australia,1,22.615,pirelli,2014
ferrari,fernando-alonso,14,ferrari,12,11,01-australia,1,22.887,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,12,12,01-australia,1,23.124,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,12,13,01-australia,1,25.543,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,12,14,01-australia,1,30.514,pirelli,2014
caterham,marcus-ericsson,9,renault,23,15,01-australia,1,23.238,pirelli,2014
marussia,max-chilton,4,ferrari,24,16,01-australia,1,24.209,pirelli,2014
marussia,jules-bianchi,17,ferrari,20,17,01-australia,1,23.821,pirelli,2014
lotus-f1,romain-grosjean,8,renault,28,18,01-australia,2,22.264,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,29,19,01-australia,1,22.847,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,30,20,01-australia,2,23.797,pirelli,2014
mclaren,jenson-button,22,mercedes,32,21,01-australia,2,22.399,pirelli,2014
force-india,sergio-perez,11,mercedes,32,22,01-australia,3,22.526,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,33,23,01-australia,2,22.933,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,33,24,01-australia,2,22.978,pirelli,2014
ferrari,fernando-alonso,14,ferrari,35,25,01-australia,2,21.978,pirelli,2014
sauber,adrian-sutil,99,ferrari,35,26,01-australia,1,24.305,pirelli,2014
red-bull,daniel-ricciardo,3,renault,36,27,01-australia,2,22.427,pirelli,2014
williams,valtteri-bottas,77,mercedes,36,28,01-australia,2,23.117,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,36,29,01-australia,2,21.825,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,36,30,01-australia,2,23.920,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,37,31,01-australia,2,22.273,pirelli,2014
mercedes,nico-rosberg,6,mercedes,38,32,01-australia,2,23.673,pirelli,2014
