constructorId,driverId,driverNumber,engineManufacturerId,gap,gridPosition,interval,laps,points,position,race,reasonRetired,time,timePenalty,tyreManufacturerId,year
mercedes,nico-rosberg,6,mercedes,,2,,57,25,1,01-australia,,1:48:15.565,,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,+8.060,1,+8.060,57,18,2,01-australia,,1:48:23.625,,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+9.643,3,+1.583,57,15,3,01-australia,,1:48:25.208,,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+24.330,8,+14.687,57,12,4,01-australia,,1:48:39.895,,pirelli,2016
williams,felipe-massa,19,mercedes,+58.979,6,+34.649,57,10,5,01-australia,,1:49:14.544,,pirelli,2016
haas,romain-grosjean,8,ferrari,+1:12.081,19,+13.102,57,8,6,01-australia,,1:49:27.646,,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,+1:14.199,10,+2.118,57,6,7,01-australia,,1:49:29.764,,pirelli,2016
williams,valtteri-bottas,77,mercedes,+1:15.153,16,+0.954,57,4,8,01-australia,,1:49:30.718,,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,+1:15.680,7,+0.527,57,2,9,01-australia,,1:49:31.245,,pirelli,2016
toro-rosso,max-verstappen,33,ferrari,+1:16.833,5,+1.153,57,1,10,01-australia,,1:49:32.398,,pirelli,2016
renault,jolyon-palmer,30,renault,+1:23.399,13,+6.566,57,,11,01-australia,,1:49:38.964,,pirelli,2016
renault,kevin-magnussen,20,renault,+1:25.606,14,+2.207,57,,12,01-australia,,1:49:41.171,,pirelli,2016
force-india,sergio-perez,11,mercedes,+1:31.699,9,+6.093,57,,13,01-australia,,1:49:47.264,,pirelli,2016
mclaren,jenson-button,22,honda,+1 lap,12,,56,,14,01-australia,,,,pirelli,2016
sauber,felipe-nasr,12,ferrari,+1 lap,17,,56,,15,01-australia,,,,pirelli,2016
manor,pascal-wehrlein,94,mercedes,+1 lap,21,,56,,16,01-australia,,,,pirelli,2016
sauber,marcus-ericsson,9,ferrari,,15,,38,,DNF,01-australia,Transmission,,,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,,4,,21,,DNF,01-australia,Turbo,,,pirelli,2016
manor,rio-haryanto,88,mercedes,,22,,17,,DNF,01-australia,Driveshaft,,,pirelli,2016
haas,esteban-gutierrez,21,ferrari,,20,,16,,DNF,01-australia,Collision,,,pirelli,2016
mclaren,fernando-alonso,14,honda,,11,,16,,DNF,01-australia,Collision,,,pirelli,2016
red-bull,daniil-kvyat,26,tag-heuer,,18,,,,DNS,01-australia,Electrical,,,pirelli,2016
mercedes,nico-rosberg,6,mercedes,,2,,57,25,1,02-bahrain,,1:33:34.696,,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+10.282,4,+10.282,57,18,2,02-bahrain,,1:33:44.978,,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,+30.148,1,+19.866,57,15,3,02-bahrain,,1:34:04.844,,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+1:02.494,5,+32.346,57,12,4,02-bahrain,,1:34:37.190,,pirelli,2016
haas,romain-grosjean,8,ferrari,+1:18.299,9,+15.805,57,10,5,02-bahrain,,1:34:52.995,,pirelli,2016
toro-rosso,max-verstappen,33,ferrari,+1:20.929,10,+2.630,57,8,6,02-bahrain,,1:34:55.625,,pirelli,2016
red-bull,daniil-kvyat,26,tag-heuer,+1 lap,15,,56,6,7,02-bahrain,,,,pirelli,2016
williams,felipe-massa,19,mercedes,+1 lap,7,,56,4,8,02-bahrain,,,,pirelli,2016
williams,valtteri-bottas,77,mercedes,+1 lap,6,,56,2,9,02-bahrain,,,,pirelli,2016
mclaren,stoffel-vandoorne,47,honda,+1 lap,12,,56,1,10,02-bahrain,,,,pirelli,2016
renault,kevin-magnussen,20,renault,+1 lap,PL,,56,,11,02-bahrain,,,,pirelli,2016
sauber,marcus-ericsson,9,ferrari,+1 lap,17,,56,,12,02-bahrain,,,,pirelli,2016
manor,pascal-wehrlein,94,mercedes,+1 lap,16,,56,,13,02-bahrain,,,,pirelli,2016
sauber,felipe-nasr,12,ferrari,+1 lap,21,,56,,14,02-bahrain,,,,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,+1 lap,8,,56,,15,02-bahrain,,,,pirelli,2016
force-india,sergio-perez,11,mercedes,+1 lap,18,,56,,16,02-bahrain,,,,pirelli,2016
manor,rio-haryanto,88,mercedes,+1 lap,20,,56,,17,02-bahrain,,,,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,,11,,29,,DNF,02-bahrain,Collision damage,,,pirelli,2016
haas,esteban-gutierrez,21,ferrari,,13,,9,,DNF,02-bahrain,Brakes,,,pirelli,2016
mclaren,jenson-button,22,honda,,14,,6,,DNF,02-bahrain,Engine,,,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,,3,,,,DNS,02-bahrain,Engine,,,pirelli,2016
renault,jolyon-palmer,30,renault,,19,,,,DNS,02-bahrain,Hydraulics,,,pirelli,2016
mercedes,nico-rosberg,6,mercedes,,1,,56,25,1,03-china,,1:38:53.891,,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+37.776,4,+37.776,56,18,2,03-china,,1:39:31.667,,pirelli,2016
red-bull,daniil-kvyat,26,tag-heuer,+45.936,6,+8.160,56,15,3,03-china,,1:39:39.827,,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+52.688,2,+6.752,56,12,4,03-china,,1:39:46.579,,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+1:05.872,3,+13.184,56,10,5,03-china,,1:39:59.763,,pirelli,2016
williams,felipe-massa,19,mercedes,+1:15.511,10,+9.639,56,8,6,03-china,,1:40:09.402,,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,+1:18.230,22,+2.719,56,6,7,03-china,,1:40:12.121,,pirelli,2016
toro-rosso,max-verstappen,33,ferrari,+1:19.268,9,+1.038,56,4,8,03-china,,1:40:13.159,,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,+1:24.127,8,+4.859,56,2,9,03-china,,1:40:18.018,,pirelli,2016
williams,valtteri-bottas,77,mercedes,+1:26.192,5,+2.065,56,1,10,03-china,,1:40:20.083,,pirelli,2016
force-india,sergio-perez,11,mercedes,+1:34.283,7,+8.091,56,,11,03-china,,1:40:28.174,,pirelli,2016
mclaren,fernando-alonso,14,honda,+1:37.253,11,+2.970,56,,12,03-china,,1:40:31.144,,pirelli,2016
mclaren,jenson-button,22,honda,+1:41.990,12,+4.737,56,,13,03-china,,1:40:35.881,,pirelli,2016
haas,esteban-gutierrez,21,ferrari,+1 lap,18,,55,,14,03-china,,,,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,+1 lap,13,,55,,15,03-china,,,,pirelli,2016
sauber,marcus-ericsson,9,ferrari,+1 lap,15,,55,,16,03-china,,,,pirelli,2016
renault,kevin-magnussen,20,renault,+1 lap,17,,55,,17,03-china,,,,pirelli,2016
manor,pascal-wehrlein,94,mercedes,+1 lap,21,,55,,18,03-china,,,,pirelli,2016
haas,romain-grosjean,8,ferrari,+1 lap,14,,55,,19,03-china,,,,pirelli,2016
sauber,felipe-nasr,12,ferrari,+1 lap,16,,55,,20,03-china,,,,pirelli,2016
manor,rio-haryanto,88,mercedes,+1 lap,20,,55,,21,03-china,,,,pirelli,2016
renault,jolyon-palmer,30,renault,+1 lap,19,,55,,22,03-china,,,,pirelli,2016
