constructorId,engineManufacturerId,points,position,race,year
mclaren,mercedes,33,1,01-australia,2014
mercedes,mercedes,25,2,01-australia,2014
ferrari,ferrari,18,3,01-australia,2014
williams,mercedes,10,4,01-australia,2014
force-india,mercedes,9,5,01-australia,2014
toro-rosso,renault,6,6,01-australia,2014
sauber,ferrari,0,7,01-australia,2014
marussia,ferrari,0,8,01-australia,2014
mercedes,mercedes,68,1,02-malaysia,2014
mclaren,mercedes,43,2,02-malaysia,2014
ferrari,ferrari,30,3,02-malaysia,2014
williams,mercedes,20,4,02-malaysia,2014
force-india,mercedes,19,5,02-malaysia,2014
red-bull,renault,15,6,02-malaysia,2014
toro-rosso,renault,7,7,02-malaysia,2014
sauber,ferrari,0,8,02-malaysia,2014
lotus-f1,renault,0,9,02-malaysia,2014
caterham,renault,0,10,02-malaysia,2014
marussia,ferrari,0,11,02-malaysia,2014
mercedes,mercedes,111,1,03-bahrain,2014
force-india,mercedes,44,2,03-bahrain,2014
mclaren,mercedes,43,3,03-bahrain,2014
red-bull,renault,35,4,03-bahrain,2014
ferrari,ferrari,33,5,03-bahrain,2014
williams,mercedes,30,6,03-bahrain,2014
toro-rosso,renault,7,7,03-bahrain,2014
lotus-f1,renault,0,8,03-bahrain,2014
sauber,ferrari,0,9,03-bahrain,2014
marussia,ferrari,0,10,03-bahrain,2014
caterham,renault,0,11,03-bahrain,2014
mercedes,mercedes,154,1,04-china,2014
red-bull,renault,57,2,04-china,2014
force-india,mercedes,54,3,04-china,2014
ferrari,ferrari,52,4,04-china,2014
mclaren,mercedes,43,5,04-china,2014
williams,mercedes,36,6,04-china,2014
toro-rosso,renault,8,7,04-china,2014
lotus-f1,renault,0,8,04-china,2014
sauber,ferrari,0,9,04-china,2014
marussia,ferrari,0,10,04-china,2014
caterham,renault,0,11,04-china,2014
mercedes,mercedes,197,1,05-spain,2014
red-bull,renault,84,2,05-spain,2014
ferrari,ferrari,66,3,05-spain,2014
force-india,mercedes,57,4,05-spain,2014
williams,mercedes,46,5,05-spain,2014
mclaren,mercedes,43,6,05-spain,2014
toro-rosso,renault,8,7,05-spain,2014
lotus-f1,renault,4,8,05-spain,2014
sauber,ferrari,0,9,05-spain,2014
marussia,ferrari,0,10,05-spain,2014
caterham,renault,0,11,05-spain,2014
mercedes,mercedes,240,1,06-monaco,2014
red-bull,renault,99,2,06-monaco,2014
ferrari,ferrari,78,3,06-monaco,2014
force-india,mercedes,67,4,06-monaco,2014
mclaren,mercedes,52,5,06-monaco,2014
williams,mercedes,52,6,06-monaco,2014
lotus-f1,renault,8,7,06-monaco,2014
toro-rosso,renault,8,8,06-monaco,2014
marussia,ferrari,2,9,06-monaco,2014
sauber,ferrari,0,10,06-monaco,2014
caterham,renault,0,11,06-monaco,2014
mercedes,mercedes,258,1,07-canada,2014
red-bull,renault,139,2,07-canada,2014
ferrari,ferrari,87,3,07-canada,2014
force-india,mercedes,77,4,07-canada,2014
mclaren,mercedes,66,5,07-canada,2014
williams,mercedes,58,6,07-canada,2014
toro-rosso,renault,12,7,07-canada,2014
lotus-f1,renault,8,8,07-canada,2014
marussia,ferrari,2,9,07-canada,2014
sauber,ferrari,0,10,07-canada,2014
caterham,renault,0,11,07-canada,2014
mercedes,mercedes,301,1,08-austria,2014
red-bull,renault,143,2,08-austria,2014
ferrari,ferrari,98,3,08-austria,2014
force-india,mercedes,87,4,08-austria,2014
williams,mercedes,85,5,08-austria,2014
mclaren,mercedes,72,6,08-austria,2014
toro-rosso,renault,12,7,08-austria,2014
lotus-f1,renault,8,8,08-austria,2014
marussia,ferrari,2,9,08-austria,2014
sauber,ferrari,0,10,08-austria,2014
caterham,renault,0,11,08-austria,2014
mercedes,mercedes,326,1,09-great-britain,2014
red-bull,renault,168,2,09-great-britain,2014
ferrari,ferrari,106,3,09-great-britain,2014
williams,mercedes,103,4,09-great-britain,2014
force-india,mercedes,91,5,09-great-britain,2014
mclaren,mercedes,90,6,09-great-britain,2014
toro-rosso,renault,15,7,09-great-britain,2014
lotus-f1,renault,8,8,09-great-britain,2014
marussia,ferrari,2,9,09-great-britain,2014
sauber,ferrari,0,10,09-great-britain,2014
caterham,renault,0,11,09-great-britain,2014
mercedes,mercedes,366,1,10-germany,2014
red-bull,renault,188,2,10-germany,2014
williams,mercedes,121,3,10-germany,2014
ferrari,ferrari,116,4,10-germany,2014
force-india,mercedes,98,5,10-germany,2014
mclaren,mercedes,96,6,10-germany,2014
toro-rosso,renault,15,7,10-germany,2014
lotus-f1,renault,8,8,10-germany,2014
marussia,ferrari,2,9,10-germany,2014
sauber,ferrari,0,10,10-germany,2014
caterham,renault,0,11,10-germany,2014
mercedes,mercedes,393,1,11-hungary,2014
red-bull,renault,219,2,11-hungary,2014
ferrari,ferrari,142,3,11-hungary,2014
williams,mercedes,135,4,11-hungary,2014
force-india,mercedes,98,5,11-hungary,2014
mclaren,mercedes,97,6,11-hungary,2014
toro-rosso,renault,17,7,11-hungary,2014
lotus-f1,renault,8,8,11-hungary,2014
marussia,ferrari,2,9,11-hungary,2014
sauber,ferrari,0,10,11-hungary,2014
caterham,renault,0,11,11-hungary,2014
mercedes,mercedes,411,1,12-belgium,2014
red-bull,renault,254,2,12-belgium,2014
ferrari,ferrari,160,3,12-belgium,2014
williams,mercedes,150,4,12-belgium,2014
mclaren,mercedes,105,5,12-belgium,2014
force-india,mercedes,103,6,12-belgium,2014
toro-rosso,renault,19,7,12-belgium,2014
lotus-f1,renault,8,8,12-belgium,2014
marussia,ferrari,2,9,12-belgium,2014
sauber,ferrari,0,10,12-belgium,2014
caterham,renault,0,11,12-belgium,2014
mercedes,mercedes,454,1,13-italy,2014
red-bull,renault,272,2,13-italy,2014
williams,mercedes,177,3,13-italy,2014
ferrari,ferrari,162,4,13-italy,2014
mclaren,mercedes,110,5,13-italy,2014
force-india,mercedes,109,6,13-italy,2014
toro-rosso,renault,19,7,13-italy,2014
lotus-f1,renault,8,8,13-italy,2014
marussia,ferrari,2,9,13-italy,2014
sauber,ferrari,0,10,13-italy,2014
caterham,renault,0,11,13-italy,2014
mercedes,mercedes,479,1,14-singapore,2014
red-bull,renault,305,2,14-singapore,2014
williams,mercedes,187,3,14-singapore,2014
ferrari,ferrari,178,4,14-singapore,2014
force-india,mercedes,117,5,14-singapore,2014
mclaren,mercedes,111,6,14-singapore,2014
toro-rosso,renault,27,7,14-singapore,2014
lotus-f1,renault,8,8,14-singapore,2014
marussia,ferrari,2,9,14-singapore,2014
sauber,ferrari,0,10,14-singapore,2014
caterham,renault,0,11,14-singapore,2014
mercedes,mercedes,522,1,15-japan,2014
red-bull,renault,332,2,15-japan,2014
williams,mercedes,201,3,15-japan,2014
ferrari,ferrari,178,4,15-japan,2014
force-india,mercedes,122,5,15-japan,2014
mclaren,mercedes,121,6,15-japan,2014
toro-rosso,renault,29,7,15-japan,2014
lotus-f1,renault,8,8,15-japan,2014
marussia,ferrari,2,9,15-japan,2014
sauber,ferrari,0,10,15-japan,2014
caterham,renault,0,11,15-japan,2014
mercedes,mercedes,565,1,16-russia,2014
red-bull,renault,342,2,16-russia,2014
williams,mercedes,216,3,16-russia,2014
ferrari,ferrari,188,4,16-russia,2014
mclaren,mercedes,143,5,16-russia,2014
force-india,mercedes,123,6,16-russia,2014
toro-rosso,renault,29,7,16-russia,2014
lotus-f1,renault,8,8,16-russia,2014
marussia,ferrari,2,9,16-russia,2014
sauber,ferrari,0,10,16-russia,2014
caterham,renault,0,11,16-russia,2014
mercedes,mercedes,608,1,17-united-states,2014
red-bull,renault,363,2,17-united-states,2014
williams,mercedes,238,3,17-united-states,2014
ferrari,ferrari,196,4,17-united-states,2014
mclaren,mercedes,147,5,17-united-states,2014
force-india,mercedes,123,6,17-united-states,2014
toro-rosso,renault,30,7,17-united-states,2014
lotus-f1,renault,10,8,17-united-states,2014
marussia,ferrari,2,9,17-united-states,2014
sauber,ferrari,0,10,17-united-states,2014
caterham,renault,0,11,17-united-states,2014
mercedes,mercedes,651,1,18-brazil,2014
red-bull,renault,373,2,18-brazil,2014
williams,mercedes,254,3,18-brazil,2014
ferrari,ferrari,210,4,18-brazil,2014
mclaren,mercedes,161,5,18-brazil,2014
force-india,mercedes,127,6,18-brazil,2014
toro-rosso,renault,30,7,18-brazil,2014
lotus-f1,renault,10,8,18-brazil,2014
marussia,ferrari,2,9,18-brazil,2014
sauber,ferrari,0,10,18-brazil,2014
caterham,renault,0,11,18-brazil,2014
mercedes,mercedes,701,1,19-abu-dhabi,2014
red-bull,renault,405,2,19-abu-dhabi,2014
williams,mercedes,320,3,19-abu-dhabi,2014
ferrari,ferrari,216,4,19-abu-dhabi,2014
mclaren,mercedes,181,5,19-abu-dhabi,2014
force-india,mercedes,155,6,19-abu-dhabi,2014
toro-rosso,renault,30,7,19-abu-dhabi,2014
lotus-f1,renault,10,8,19-abu-dhabi,2014
marussia,ferrari,2,9,19-abu-dhabi,2014
sauber,ferrari,0,10,19-abu-dhabi,2014
caterham,renault,0,11,19-abu-dhabi,2014
