constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,laps,position,q1,q2,q3,race,tyreManufacturerId,year
mercedes,lewis-hamilton,44,mercedes,,,14,1,1:25.351,1:24.605,1:23.837,01-australia,pirelli,2016
mercedes,nico-rosberg,6,mercedes,+0.360,+0.360,13,2,1:26.934,1:24.796,1:24.197,01-australia,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+0.838,+0.478,14,3,1:26.945,1:25.257,1:24.675,01-australia,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+1.196,+0.358,13,4,1:26.579,1:25.615,1:25.033,01-australia,pirelli,2016
toro-rosso,max-verstappen,33,ferrari,+1.597,+0.401,12,5,1:26.934,1:25.615,1:25.434,01-australia,pirelli,2016
williams,felipe-massa,19,mercedes,+1.621,+0.024,12,6,1:25.918,1:25.644,1:25.458,01-australia,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,+1.745,+0.124,14,7,1:27.057,1:25.384,1:25.582,01-australia,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+1.752,+0.007,15,8,1:26.945,1:25.599,1:25.589,01-australia,pirelli,2016
force-india,sergio-perez,11,mercedes,,,12,9,1:26.607,1:25.753,,01-australia,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,,,14,10,1:26.550,1:25.865,,01-australia,pirelli,2016
williams,valtteri-bottas,77,mercedes,,,9,11,1:27.135,1:25.961,,01-australia,pirelli,2016
mclaren,fernando-alonso,14,honda,,,9,12,1:26.537,1:26.125,,01-australia,pirelli,2016
mclaren,jenson-button,22,honda,,,9,13,1:26.740,1:26.304,,01-australia,pirelli,2016
renault,jolyon-palmer,30,renault,,,12,14,1:27.241,1:27.601,,01-australia,pirelli,2016
renault,kevin-magnussen,20,renault,,,11,15,1:27.297,1:27.742,,01-australia,pirelli,2016
sauber,marcus-ericsson,9,ferrari,,,9,16,1:27.435,,,01-australia,pirelli,2016
sauber,felipe-nasr,12,ferrari,,,7,17,1:27.958,,,01-australia,pirelli,2016
red-bull,daniil-kvyat,26,tag-heuer,,,5,18,1:28.006,,,01-australia,pirelli,2016
haas,romain-grosjean,8,ferrari,,,6,19,1:28.322,,,01-australia,pirelli,2016
haas,esteban-gutierrez,21,ferrari,,,6,20,1:29.606,,,01-australia,pirelli,2016
manor,rio-haryanto,88,mercedes,,,3,21,1:29.627,,,01-australia,pirelli,2016
manor,pascal-wehrlein,94,mercedes,,,3,22,1:29.642,,,01-australia,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,,,14,1,1:31.391,1:30.039,1:29.493,02-bahrain,pirelli,2016
mercedes,nico-rosberg,6,mercedes,+0.077,+0.077,13,2,1:31.325,1:30.535,1:29.570,02-bahrain,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+0.519,+0.442,14,3,1:31.636,1:30.409,1:30.012,02-bahrain,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+0.751,+0.232,14,4,1:31.685,1:30.559,1:30.244,02-bahrain,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+1.361,+0.610,12,5,1:31.403,1:31.122,1:30.854,02-bahrain,pirelli,2016
williams,valtteri-bottas,77,mercedes,+1.660,+0.299,12,6,1:31.672,1:30.931,1:31.153,02-bahrain,pirelli,2016
williams,felipe-massa,19,mercedes,+1.662,+0.002,10,7,1:32.045,1:31.374,1:31.155,02-bahrain,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,+2.127,+0.465,15,8,1:31.987,1:31.604,1:31.620,02-bahrain,pirelli,2016
haas,romain-grosjean,8,ferrari,,,9,9,1:32.005,1:31.756,,02-bahrain,pirelli,2016
toro-rosso,max-verstappen,33,ferrari,,,9,10,1:31.888,1:31.772,,02-bahrain,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,,,9,11,1:31.716,1:31.816,,02-bahrain,pirelli,2016
mclaren,stoffel-vandoorne,47,honda,,,9,12,1:32.472,1:31.934,,02-bahrain,pirelli,2016
haas,esteban-gutierrez,21,ferrari,,,9,13,1:32.118,1:31.945,,02-bahrain,pirelli,2016
mclaren,jenson-button,22,honda,,,9,14,1:31.976,1:31.998,,02-bahrain,pirelli,2016
red-bull,daniil-kvyat,26,tag-heuer,,,9,15,1:32.559,1:32.241,,02-bahrain,pirelli,2016
manor,pascal-wehrlein,94,mercedes,,,6,16,1:32.806,,,02-bahrain,pirelli,2016
sauber,marcus-ericsson,9,ferrari,,,6,17,1:32.840,,,02-bahrain,pirelli,2016
force-india,sergio-perez,11,mercedes,,,7,18,1:32.911,,,02-bahrain,pirelli,2016
renault,kevin-magnussen,20,renault,,,3,19,1:33.181,,,02-bahrain,pirelli,2016
renault,jolyon-palmer,30,renault,,,6,20,1:33.438,,,02-bahrain,pirelli,2016
manor,rio-haryanto,88,mercedes,,,3,21,1:34.190,,,02-bahrain,pirelli,2016
sauber,felipe-nasr,12,ferrari,,,4,22,1:34.388,,,02-bahrain,pirelli,2016
mercedes,nico-rosberg,6,mercedes,,,16,1,1:37.669,1:36.240,1:35.402,03-china,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+0.515,+0.515,13,2,1:37.672,1:36.815,1:35.917,03-china,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+0.570,+0.055,13,3,1:37.347,1:36.118,1:35.972,03-china,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+0.844,+0.274,10,4,1:37.001,1:36.183,1:36.246,03-china,pirelli,2016
williams,valtteri-bottas,77,mercedes,+0.894,+0.050,13,5,1:37.537,1:36.831,1:36.296,03-china,pirelli,2016
red-bull,daniil-kvyat,26,tag-heuer,+0.997,+0.103,14,6,1:37.719,1:36.948,1:36.399,03-china,pirelli,2016
force-india,sergio-perez,11,mercedes,+1.463,+0.466,15,7,1:38.096,1:37.149,1:36.865,03-china,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,+1.479,+0.016,15,8,1:37.656,1:37.204,1:36.881,03-china,pirelli,2016
toro-rosso,max-verstappen,33,ferrari,+1.792,+0.313,15,9,1:38.181,1:37.265,1:37.194,03-china,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,,,10,10,1:38.165,1:37.333,,03-china,pirelli,2016
williams,felipe-massa,19,mercedes,,,9,11,1:38.016,1:37.347,,03-china,pirelli,2016
mclaren,fernando-alonso,14,honda,,,11,12,1:38.451,1:38.826,,03-china,pirelli,2016
mclaren,jenson-button,22,honda,,,11,13,1:37.593,1:39.093,,03-china,pirelli,2016
haas,romain-grosjean,8,ferrari,,,13,14,1:38.425,1:39.830,,03-china,pirelli,2016
sauber,marcus-ericsson,9,ferrari,,,11,15,1:38.321,1:40.742,,03-china,pirelli,2016
sauber,felipe-nasr,12,ferrari,,,11,16,1:38.654,1:42.430,,03-china,pirelli,2016
renault,kevin-magnussen,20,renault,,,9,17,1:38.673,,,03-china,pirelli,2016
haas,esteban-gutierrez,21,ferrari,,,9,18,1:38.770,,,03-china,pirelli,2016
renault,jolyon-palmer,30,renault,,,9,19,1:39.528,,,03-china,pirelli,2016
manor,rio-haryanto,88,mercedes,,,9,20,1:40.264,,,03-china,pirelli,2016
manor,pascal-wehrlein,94,mercedes,,,2,NC,,,,03-china,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,,,3,NC,,,,03-china,pirelli,2016
mercedes,nico-rosberg,6,mercedes,,,16,1,1:36.119,1:35.337,1:35.417,04-russia,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+0.706,+0.706,16,2,1:36.555,1:36.623,1:36.123,04-russia,pirelli,2016
williams,valtteri-bottas,77,mercedes,+1.119,+0.413,17,3,1:37.746,1:37.140,1:36.536,04-russia,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+1.246,+0.127,17,4,1:36.976,1:36.741,1:36.663,04-russia,pirelli,2016
williams,felipe-massa,19,mercedes,+1.599,+0.353,16,5,1:37.753,1:37.230,1:37.016,04-russia,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+1.708,+0.109,22,6,1:38.091,1:37.569,1:37.125,04-russia,pirelli,2016
force-india,sergio-perez,11,mercedes,+1.795,+0.087,20,7,1:38.006,1:37.282,1:37.212,04-russia,pirelli,2016
red-bull,daniil-kvyat,26,tag-heuer,+2.042,+0.247,22,8,1:38.265,1:37.606,1:37.459,04-russia,pirelli,2016
