constructorId,driverId,driverNumber,engineManufacturerId,lap,position,race,stop,time,tyreManufacturerId,year
sauber,marcus-ericsson,9,ferrari,1,1,01-australia,1,22.681,pirelli,2015
ferrari,kimi-raikkonen,7,ferrari,16,2,01-australia,1,27.465,pirelli,2015
williams,felipe-massa,19,mercedes,21,3,01-australia,1,22.062,pirelli,2015
force-india,nico-hulkenberg,27,mercedes,21,4,01-australia,1,22.137,pirelli,2015
red-bull,daniel-ricciardo,3,renault,23,5,01-australia,1,22.535,pirelli,2015
ferrari,sebastian-vettel,5,ferrari,24,6,01-australia,1,22.694,pirelli,2015
toro-rosso,carlos-sainz-jr,55,renault,24,7,01-australia,1,55.789,pirelli,2015
mercedes,lewis-hamilton,44,mercedes,25,8,01-australia,1,22.295,pirelli,2015
sauber,felipe-nasr,12,ferrari,25,9,01-australia,1,22.933,pirelli,2015
mercedes,nico-rosberg,6,mercedes,26,10,01-australia,1,22.105,pirelli,2015
sauber,marcus-ericsson,9,ferrari,26,11,01-australia,2,23.254,pirelli,2015
mclaren,jenson-button,22,honda,27,12,01-australia,1,23.353,pirelli,2015
toro-rosso,max-verstappen,33,renault,32,13,01-australia,1,23.532,pirelli,2015
force-india,sergio-perez,11,mercedes,38,14,01-australia,1,26.009,pirelli,2015
ferrari,kimi-raikkonen,7,ferrari,40,15,01-australia,2,22.405,pirelli,2015
sauber,marcus-ericsson,9,ferrari,43,16,01-australia,3,22.353,pirelli,2015
force-india,nico-hulkenberg,27,mercedes,44,17,01-australia,2,21.612,pirelli,2015
lotus-f1,pastor-maldonado,13,mercedes,1,1,02-malaysia,1,37.289,pirelli,2015
sauber,felipe-nasr,12,ferrari,2,2,02-malaysia,1,33.918,pirelli,2015
ferrari,kimi-raikkonen,7,ferrari,2,3,02-malaysia,1,27.285,pirelli,2015
mercedes,lewis-hamilton,44,mercedes,4,4,02-malaysia,1,26.094,pirelli,2015
mercedes,nico-rosberg,6,mercedes,4,5,02-malaysia,1,33.689,pirelli,2015
red-bull,daniel-ricciardo,3,renault,4,6,02-malaysia,1,26.714,pirelli,2015
williams,felipe-massa,19,mercedes,4,7,02-malaysia,1,25.831,pirelli,2015
red-bull,daniil-kvyat,26,renault,4,8,02-malaysia,1,30.463,pirelli,2015
toro-rosso,max-verstappen,33,renault,4,9,02-malaysia,1,29.516,pirelli,2015
williams,valtteri-bottas,77,mercedes,4,10,02-malaysia,1,30.154,pirelli,2015
mclaren,fernando-alonso,14,honda,4,11,02-malaysia,1,25.222,pirelli,2015
mclaren,jenson-button,22,honda,4,12,02-malaysia,1,33.027,pirelli,2015
marussia,roberto-merhi,98,ferrari,5,13,02-malaysia,1,27.540,pirelli,2015
toro-rosso,carlos-sainz-jr,55,renault,14,14,02-malaysia,1,25.126,pirelli,2015
ferrari,kimi-raikkonen,7,ferrari,14,15,02-malaysia,2,24.744,pirelli,2015
force-india,nico-hulkenberg,27,mercedes,15,16,02-malaysia,1,25.826,pirelli,2015
lotus-f1,romain-grosjean,8,mercedes,15,17,02-malaysia,1,24.377,pirelli,2015
ferrari,sebastian-vettel,5,ferrari,17,18,02-malaysia,1,23.996,pirelli,2015
force-india,sergio-perez,11,mercedes,17,19,02-malaysia,1,25.268,pirelli,2015
red-bull,daniel-ricciardo,3,renault,18,20,02-malaysia,2,25.604,pirelli,2015
lotus-f1,pastor-maldonado,13,mercedes,18,21,02-malaysia,2,37.394,pirelli,2015
toro-rosso,max-verstappen,33,renault,20,22,02-malaysia,2,25.655,pirelli,2015
sauber,felipe-nasr,12,ferrari,20,23,02-malaysia,2,25.741,pirelli,2015
red-bull,daniil-kvyat,26,renault,21,24,02-malaysia,2,24.781,pirelli,2015
mclaren,jenson-button,22,honda,21,25,02-malaysia,2,25.581,pirelli,2015
marussia,roberto-merhi,98,ferrari,22,26,02-malaysia,2,27.004,pirelli,2015
mercedes,lewis-hamilton,44,mercedes,24,27,02-malaysia,2,24.595,pirelli,2015
williams,felipe-massa,19,mercedes,24,28,02-malaysia,2,24.788,pirelli,2015
williams,valtteri-bottas,77,mercedes,25,29,02-malaysia,2,24.432,pirelli,2015
mercedes,nico-rosberg,6,mercedes,26,30,02-malaysia,2,24.574,pirelli,2015
lotus-f1,romain-grosjean,8,mercedes,26,31,02-malaysia,2,24.621,pirelli,2015
sauber,felipe-nasr,12,ferrari,30,32,02-malaysia,3,25.331,pirelli,2015
force-india,nico-hulkenberg,27,mercedes,31,33,02-malaysia,2,25.047,pirelli,2015
toro-rosso,carlos-sainz-jr,55,renault,32,34,02-malaysia,2,25.165,pirelli,2015
lotus-f1,pastor-maldonado,13,mercedes,33,35,02-malaysia,3,24.276,pirelli,2015
ferrari,kimi-raikkonen,7,ferrari,34,36,02-malaysia,3,24.653,pirelli,2015
red-bull,daniel-ricciardo,3,renault,34,37,02-malaysia,3,25.393,pirelli,2015
lotus-f1,romain-grosjean,8,mercedes,34,38,02-malaysia,3,26.014,pirelli,2015
force-india,sergio-perez,11,mercedes,35,39,02-malaysia,2,35.776,pirelli,2015
mclaren,jenson-button,22,honda,35,40,02-malaysia,3,25.846,pirelli,2015
ferrari,sebastian-vettel,5,ferrari,37,41,02-malaysia,2,25.092,pirelli,2015
mercedes,lewis-hamilton,44,mercedes,38,42,02-malaysia,3,24.179,pirelli,2015
williams,felipe-massa,19,mercedes,38,43,02-malaysia,3,26.971,pirelli,2015
red-bull,daniil-kvyat,26,renault,39,44,02-malaysia,3,26.149,pirelli,2015
williams,valtteri-bottas,77,mercedes,40,45,02-malaysia,3,25.002,pirelli,2015
toro-rosso,max-verstappen,33,renault,40,46,02-malaysia,3,24.768,pirelli,2015
mercedes,nico-rosberg,6,mercedes,41,47,02-malaysia,3,24.336,pirelli,2015
sauber,felipe-nasr,12,ferrari,43,48,02-malaysia,4,25.204,pirelli,2015
marussia,roberto-merhi,98,ferrari,42,49,02-malaysia,3,29.202,pirelli,2015
force-india,nico-hulkenberg,27,mercedes,44,50,02-malaysia,3,35.351,pirelli,2015
sauber,felipe-nasr,12,ferrari,10,1,03-china,1,23.409,pirelli,2015
lotus-f1,pastor-maldonado,13,mercedes,11,2,03-china,1,22.470,pirelli,2015
force-india,sergio-perez,11,mercedes,11,3,03-china,1,22.829,pirelli,2015
lotus-f1,romain-grosjean,8,mercedes,12,4,03-china,1,23.421,pirelli,2015
toro-rosso,max-verstappen,33,renault,12,5,03-china,1,24.256,pirelli,2015
mclaren,fernando-alonso,14,honda,12,6,03-china,1,23.238,pirelli,2015
ferrari,sebastian-vettel,5,ferrari,13,7,03-china,1,22.488,pirelli,2015
williams,felipe-massa,19,mercedes,13,8,03-china,1,23.145,pirelli,2015
mercedes,lewis-hamilton,44,mercedes,14,9,03-china,1,22.645,pirelli,2015
williams,valtteri-bottas,77,mercedes,14,10,03-china,1,23.084,pirelli,2015
sauber,marcus-ericsson,9,ferrari,14,11,03-china,1,23.846,pirelli,2015
red-bull,daniel-ricciardo,3,renault,14,12,03-china,1,22.635,pirelli,2015
mclaren,jenson-button,22,honda,14,13,03-china,1,23.936,pirelli,2015
mercedes,nico-rosberg,6,mercedes,15,14,03-china,1,22.483,pirelli,2015
ferrari,kimi-raikkonen,7,ferrari,15,15,03-china,1,22.818,pirelli,2015
marussia,will-stevens,28,ferrari,16,16,03-china,1,24.132,pirelli,2015
marussia,roberto-merhi,98,ferrari,17,17,03-china,1,25.938,pirelli,2015
toro-rosso,carlos-sainz-jr,55,renault,19,18,03-china,1,23.795,pirelli,2015
force-india,sergio-perez,11,mercedes,26,19,03-china,2,23.338,pirelli,2015
