constructorId,engineManufacturerId,points,position,race,year
red-bull,honda-rbpt,43,1,01-bahrain,2023
aston-martin,mercedes,23,2,01-bahrain,2023
mercedes,mercedes,16,3,01-bahrain,2023
ferrari,ferrari,12,4,01-bahrain,2023
alfa-romeo,ferrari,4,5,01-bahrain,2023
alpine,renault,2,6,01-bahrain,2023
williams,mercedes,1,7,01-bahrain,2023
alphatauri,honda-rbpt,0,8,01-bahrain,2023
haas,ferrari,0,9,01-bahrain,2023
mclaren,mercedes,0,10,01-bahrain,2023
red-bull,honda-rbpt,87,1,02-saudi-arabia,2023
aston-martin,mercedes,38,2,02-saudi-arabia,2023
mercedes,mercedes,38,3,02-saudi-arabia,2023
ferrari,ferrari,26,4,02-saudi-arabia,2023
alpine,renault,8,5,02-saudi-arabia,2023
alfa-romeo,ferrari,4,6,02-saudi-arabia,2023
haas,ferrari,1,7,02-saudi-arabia,2023
williams,mercedes,1,8,02-saudi-arabia,2023
alphatauri,honda-rbpt,0,9,02-saudi-arabia,2023
mclaren,mercedes,0,10,02-saudi-arabia,2023
red-bull,honda-rbpt,123,1,03-australia,2023
aston-martin,mercedes,65,2,03-australia,2023
mercedes,mercedes,56,3,03-australia,2023
ferrari,ferrari,26,4,03-australia,2023
mclaren,mercedes,12,5,03-australia,2023
alpine,renault,8,6,03-australia,2023
haas,ferrari,7,7,03-australia,2023
alfa-romeo,ferrari,6,8,03-australia,2023
alphatauri,honda-rbpt,1,9,03-australia,2023
williams,mercedes,1,10,03-australia,2023
red-bull,honda-rbpt,180,1,04-azerbaijan,2023
aston-martin,mercedes,87,2,04-azerbaijan,2023
mercedes,mercedes,76,3,04-azerbaijan,2023
ferrari,ferrari,62,4,04-azerbaijan,2023
mclaren,mercedes,14,5,04-azerbaijan,2023
alpine,renault,8,6,04-azerbaijan,2023
haas,ferrari,7,7,04-azerbaijan,2023
alfa-romeo,ferrari,6,8,04-azerbaijan,2023
alphatauri,honda-rbpt,2,9,04-azerbaijan,2023
williams,mercedes,1,10,04-azerbaijan,2023
red-bull,honda-rbpt,224,1,05-miami,2023
aston-martin,mercedes,102,2,05-miami,2023
mercedes,mercedes,96,3,05-miami,2023
ferrari,ferrari,78,4,05-miami,2023
mclaren,mercedes,14,5,05-miami,2023
alpine,renault,14,6,05-miami,2023
haas,ferrari,8,7,05-miami,2023
alfa-romeo,ferrari,6,8,05-miami,2023
alphatauri,honda-rbpt,2,9,05-miami,2023
williams,mercedes,1,10,05-miami,2023
red-bull,honda-rbpt,249,1,06-monaco,2023
aston-martin,mercedes,120,2,06-monaco,2023
mercedes,mercedes,119,3,06-monaco,2023
ferrari,ferrari,90,4,06-monaco,2023
alpine,renault,35,5,06-monaco,2023
mclaren,mercedes,17,6,06-monaco,2023
haas,ferrari,8,7,06-monaco,2023
alfa-romeo,ferrari,6,8,06-monaco,2023
alphatauri,honda-rbpt,2,9,06-monaco,2023
williams,mercedes,1,10,06-monaco,2023
red-bull,honda-rbpt,287,1,07-spain,2023
mercedes,mercedes,152,2,07-spain,2023
aston-martin,mercedes,134,3,07-spain,2023
ferrari,ferrari,100,4,07-spain,2023
alpine,renault,40,5,07-spain,2023
mclaren,mercedes,17,6,07-spain,2023
haas,ferrari,8,7,07-spain,2023
alfa-romeo,ferrari,8,8,07-spain,2023
alphatauri,honda-rbpt,2,9,07-spain,2023
williams,mercedes,1,10,07-spain,2023
red-bull,honda-rbpt,321,1,08-canada,2023
mercedes,mercedes,167,2,08-canada,2023
aston-martin,mercedes,154,3,08-canada,2023
ferrari,ferrari,122,4,08-canada,2023
alpine,renault,44,5,08-canada,2023
mclaren,mercedes,17,6,08-canada,2023
alfa-romeo,ferrari,9,7,08-canada,2023
haas,ferrari,8,8,08-canada,2023
williams,mercedes,7,9,08-canada,2023
alphatauri,honda-rbpt,2,10,08-canada,2023
red-bull,honda-rbpt,377,1,09-austria,2023
mercedes,mercedes,178,2,09-austria,2023
aston-martin,mercedes,175,3,09-austria,2023
ferrari,ferrari,154,4,09-austria,2023
alpine,renault,47,5,09-austria,2023
mclaren,mercedes,29,6,09-austria,2023
haas,ferrari,11,7,09-austria,2023
alfa-romeo,ferrari,9,8,09-austria,2023
williams,mercedes,7,9,09-austria,2023
alphatauri,honda-rbpt,2,10,09-austria,2023
red-bull,honda-rbpt,411,1,10-great-britain,2023
mercedes,mercedes,203,2,10-great-britain,2023
aston-martin,mercedes,181,3,10-great-britain,2023
ferrari,ferrari,157,4,10-great-britain,2023
mclaren,mercedes,59,5,10-great-britain,2023
alpine,renault,47,6,10-great-britain,2023
williams,mercedes,11,7,10-great-britain,2023
