constructorId,engineManufacturerId,points,position,race,year
alpine,renault,11,8,14-belgium,2024
williams,mercedes,4,9,14-belgium,2024
kick-sauber,ferrari,0,10,14-belgium,2024
red-bull,honda-rbpt,434,1,15-netherlands,2024
mclaren,mercedes,404,2,15-netherlands,2024
ferrari,ferrari,370,3,15-netherlands,2024
mercedes,mercedes,276,4,15-netherlands,2024
aston-martin,mercedes,74,5,15-netherlands,2024
rb,honda-rbpt,34,6,15-netherlands,2024
haas,ferrari,27,7,15-netherlands,2024
alpine,renault,13,8,15-netherlands,2024
williams,mercedes,4,9,15-netherlands,2024
kick-sauber,ferrari,0,10,15-netherlands,2024
red-bull,honda-rbpt,446,1,16-italy,2024
mclaren,mercedes,438,2,16-italy,2024
ferrari,ferrari,407,3,16-italy,2024
mercedes,mercedes,292,4,16-italy,2024
aston-martin,mercedes,74,5,16-italy,2024
rb,honda-rbpt,34,6,16-italy,2024
haas,ferrari,28,7,16-italy,2024
alpine,renault,13,8,16-italy,2024
williams,mercedes,6,9,16-italy,2024
kick-sauber,ferrari,0,10,16-italy,2024
mclaren,mercedes,476,1,17-azerbaijan,2024
red-bull,honda-rbpt,456,2,17-azerbaijan,2024
ferrari,ferrari,425,3,17-azerbaijan,2024
mercedes,mercedes,309,4,17-azerbaijan,2024
aston-martin,mercedes,82,5,17-azerbaijan,2024
rb,honda-rbpt,34,6,17-azerbaijan,2024
haas,ferrari,29,7,17-azerbaijan,2024
williams,mercedes,16,8,17-azerbaijan,2024
alpine,renault,13,9,17-azerbaijan,2024
kick-sauber,ferrari,0,10,17-azerbaijan,2024
mclaren,mercedes,516,1,18-singapore,2024
red-bull,honda-rbpt,475,2,18-singapore,2024
ferrari,ferrari,441,3,18-singapore,2024
mercedes,mercedes,329,4,18-singapore,2024
aston-martin,mercedes,86,5,18-singapore,2024
rb,honda-rbpt,34,6,18-singapore,2024
haas,ferrari,31,7,18-singapore,2024
williams,mercedes,16,8,18-singapore,2024
alpine,renault,13,9,18-singapore,2024
kick-sauber,ferrari,0,10,18-singapore,2024
mclaren,mercedes,544,1,19-united-states,2024
red-bull,honda-rbpt,504,2,19-united-states,2024
ferrari,ferrari,496,3,19-united-states,2024
mercedes,mercedes,344,4,19-united-states,2024
aston-martin,mercedes,86,5,19-united-states,2024
haas,ferrari,38,6,19-united-states,2024
rb,honda-rbpt,36,7,19-united-states,2024
williams,mercedes,17,8,19-united-states,2024
alpine,renault,13,9,19-united-states,2024
kick-sauber,ferrari,0,10,19-united-states,2024
mclaren,mercedes,566,1,20-mexico,2024
ferrari,ferrari,537,2,20-mexico,2024
red-bull,honda-rbpt,512,3,20-mexico,2024
mercedes,mercedes,366,4,20-mexico,2024
aston-martin,mercedes,86,5,20-mexico,2024
haas,ferrari,46,6,20-mexico,2024
rb,honda-rbpt,36,7,20-mexico,2024
williams,mercedes,17,8,20-mexico,2024
alpine,renault,14,9,20-mexico,2024
kick-sauber,ferrari,0,10,20-mexico,2024
mclaren,mercedes,593,1,21-sao-paulo,2024
ferrari,ferrari,557,2,21-sao-paulo,2024
red-bull,honda-rbpt,544,3,21-sao-paulo,2024
mercedes,mercedes,382,4,21-sao-paulo,2024
aston-martin,mercedes,86,5,21-sao-paulo,2024
alpine,renault,49,6,21-sao-paulo,2024
haas,ferrari,46,7,21-sao-paulo,2024
rb,honda-rbpt,44,8,21-sao-paulo,2024
williams,mercedes,17,9,21-sao-paulo,2024
kick-sauber,ferrari,0,10,21-sao-paulo,2024
mclaren,mercedes,608,1,22-las-vegas,2024
ferrari,ferrari,584,2,22-las-vegas,2024
red-bull,honda-rbpt,555,3,22-las-vegas,2024
mercedes,mercedes,425,4,22-las-vegas,2024
aston-martin,mercedes,86,5,22-las-vegas,2024
haas,ferrari,50,6,22-las-vegas,2024
alpine,renault,49,7,22-las-vegas,2024
rb,honda-rbpt,46,8,22-las-vegas,2024
williams,mercedes,17,9,22-las-vegas,2024
kick-sauber,ferrari,0,10,22-las-vegas,2024
mclaren,mercedes,640,1,23-qatar,2024
ferrari,ferrari,619,2,23-qatar,2024
red-bull,honda-rbpt,581,3,23-qatar,2024
mercedes,mercedes,446,4,23-qatar,2024
aston-martin,mercedes,92,5,23-qatar,2024
alpine,renault,59,6,23-qatar,2024
haas,ferrari,54,7,23-qatar,2024
rb,honda-rbpt,46,8,23-qatar,2024
williams,mercedes,17,9,23-qatar,2024
kick-sauber,ferrari,4,10,23-qatar,2024
mclaren,mercedes,666,1,24-abu-dhabi,2024
ferrari,ferrari,652,2,24-abu-dhabi,2024
red-bull,honda-rbpt,589,3,24-abu-dhabi,2024
mercedes,mercedes,468,4,24-abu-dhabi,2024
aston-martin,mercedes,94,5,24-abu-dhabi,2024
alpine,renault,65,6,24-abu-dhabi,2024
haas,ferrari,58,7,24-abu-dhabi,2024
rb,honda-rbpt,46,8,24-abu-dhabi,2024
williams,mercedes,17,9,24-abu-dhabi,2024
kick-sauber,ferrari,4,10,24-abu-dhabi,2024
