driverId,points,position,race,year
sebastian-vettel,25,1,01-australia,2017
lewis-hamilton,18,2,01-australia,2017
valtteri-bottas,15,3,01-australia,2017
kimi-raikkonen,12,4,01-australia,2017
max-verstappen,10,5,01-australia,2017
felipe-massa,8,6,01-australia,2017
sergio-perez,6,7,01-australia,2017
carlos-sainz-jr,4,8,01-australia,2017
daniil-kvyat,2,9,01-australia,2017
esteban-ocon,1,10,01-australia,2017
nico-hulkenberg,0,11,01-australia,2017
antonio-giovinazzi,0,12,01-australia,2017
stoffel-vandoorne,0,13,01-australia,2017
lewis-hamilton,43,1,02-china,2017
sebastian-vettel,43,1,02-china,2017
max-verstappen,25,3,02-china,2017
valtteri-bottas,23,4,02-china,2017
kimi-raikkonen,22,5,02-china,2017
daniel-ricciardo,12,6,02-china,2017
carlos-sainz-jr,10,7,02-china,2017
felipe-massa,8,8,02-china,2017
sergio-perez,8,9,02-china,2017
kevin-magnussen,4,10,02-china,2017
daniil-kvyat,2,11,02-china,2017
esteban-ocon,2,12,02-china,2017
nico-hulkenberg,0,13,02-china,2017
romain-grosjean,0,14,02-china,2017
antonio-giovinazzi,0,15,02-china,2017
stoffel-vandoorne,0,16,02-china,2017
jolyon-palmer,0,16,02-china,2017
marcus-ericsson,0,18,02-china,2017
sebastian-vettel,68,1,03-bahrain,2017
lewis-hamilton,61,2,03-bahrain,2017
valtteri-bottas,38,3,03-bahrain,2017
kimi-raikkonen,34,4,03-bahrain,2017
max-verstappen,25,5,03-bahrain,2017
daniel-ricciardo,22,6,03-bahrain,2017
felipe-massa,16,7,03-bahrain,2017
sergio-perez,14,8,03-bahrain,2017
carlos-sainz-jr,10,9,03-bahrain,2017
romain-grosjean,4,10,03-bahrain,2017
kevin-magnussen,4,11,03-bahrain,2017
esteban-ocon,3,12,03-bahrain,2017
nico-hulkenberg,2,13,03-bahrain,2017
daniil-kvyat,2,14,03-bahrain,2017
pascal-wehrlein,0,15,03-bahrain,2017
antonio-giovinazzi,0,16,03-bahrain,2017
jolyon-palmer,0,17,03-bahrain,2017
stoffel-vandoorne,0,18,03-bahrain,2017
fernando-alonso,0,19,03-bahrain,2017
marcus-ericsson,0,20,03-bahrain,2017
sebastian-vettel,86,1,04-russia,2017
lewis-hamilton,73,2,04-russia,2017
valtteri-bottas,63,3,04-russia,2017
kimi-raikkonen,49,4,04-russia,2017
max-verstappen,35,5,04-russia,2017
daniel-ricciardo,22,6,04-russia,2017
sergio-perez,22,7,04-russia,2017
felipe-massa,18,8,04-russia,2017
carlos-sainz-jr,11,9,04-russia,2017
esteban-ocon,9,10,04-russia,2017
nico-hulkenberg,6,11,04-russia,2017
romain-grosjean,4,12,04-russia,2017
kevin-magnussen,4,13,04-russia,2017
daniil-kvyat,2,14,04-russia,2017
pascal-wehrlein,0,15,04-russia,2017
lance-stroll,0,16,04-russia,2017
antonio-giovinazzi,0,17,04-russia,2017
jolyon-palmer,0,18,04-russia,2017
stoffel-vandoorne,0,19,04-russia,2017
fernando-alonso,0,20,04-russia,2017
marcus-ericsson,0,21,04-russia,2017
sebastian-vettel,104,1,05-spain,2017
lewis-hamilton,98,2,05-spain,2017
valtteri-bottas,63,3,05-spain,2017
kimi-raikkonen,49,4,05-spain,2017
daniel-ricciardo,37,5,05-spain,2017
max-verstappen,35,6,05-spain,2017
sergio-perez,34,7,05-spain,2017
