constructorId,engineManufacturerId,points,position,race,year
mclaren,mercedes,27,1,01-australia,2025
mercedes,mercedes,27,2,01-australia,2025
red-bull,honda-rbpt,18,3,01-australia,2025
williams,mercedes,10,4,01-australia,2025
aston-martin,mercedes,8,5,01-australia,2025
kick-sauber,ferrari,6,6,01-australia,2025
ferrari,ferrari,5,7,01-australia,2025
alpine,renault,0,8,01-australia,2025
racing-bulls,honda-rbpt,0,9,01-australia,2025
haas,ferrari,0,10,01-australia,2025
mclaren,mercedes,78,1,02-china,2025
mercedes,mercedes,57,2,02-china,2025
red-bull,honda-rbpt,36,3,02-china,2025
williams,mercedes,17,4,02-china,2025
ferrari,ferrari,17,5,02-china,2025
haas,ferrari,14,6,02-china,2025
aston-martin,mercedes,10,7,02-china,2025
kick-sauber,ferrari,6,8,02-china,2025
racing-bulls,honda-rbpt,3,9,02-china,2025
alpine,renault,0,10,02-china,2025
mclaren,mercedes,111,1,03-japan,2025
mercedes,mercedes,75,2,03-japan,2025
red-bull,honda-rbpt,61,3,03-japan,2025
ferrari,ferrari,35,4,03-japan,2025
williams,mercedes,19,5,03-japan,2025
haas,ferrari,15,6,03-japan,2025
aston-martin,mercedes,10,7,03-japan,2025
racing-bulls,honda-rbpt,7,8,03-japan,2025
kick-sauber,ferrari,6,9,03-japan,2025
alpine,renault,0,10,03-japan,2025
mclaren,mercedes,151,1,04-bahrain,2025
mercedes,mercedes,93,2,04-bahrain,2025
red-bull,honda-rbpt,71,3,04-bahrain,2025
ferrari,ferrari,57,4,04-bahrain,2025
haas,ferrari,20,5,04-bahrain,2025
williams,mercedes,19,6,04-bahrain,2025
aston-martin,mercedes,10,7,04-bahrain,2025
racing-bulls,honda-rbpt,7,8,04-bahrain,2025
alpine,renault,6,9,04-bahrain,2025
kick-sauber,ferrari,6,10,04-bahrain,2025
mclaren,mercedes,188,1,05-saudi-arabia,2025
mercedes,mercedes,111,2,05-saudi-arabia,2025
red-bull,honda-rbpt,89,3,05-saudi-arabia,2025
ferrari,ferrari,78,4,05-saudi-arabia,2025
williams,mercedes,25,5,05-saudi-arabia,2025
haas,ferrari,20,6,05-saudi-arabia,2025
aston-martin,mercedes,10,7,05-saudi-arabia,2025
racing-bulls,honda-rbpt,8,8,05-saudi-arabia,2025
alpine,renault,6,9,05-saudi-arabia,2025
kick-sauber,ferrari,6,10,05-saudi-arabia,2025
mclaren,mercedes,246,1,06-miami,2025
mercedes,mercedes,141,2,06-miami,2025
red-bull,honda-rbpt,105,3,06-miami,2025
ferrari,ferrari,94,4,06-miami,2025
williams,mercedes,37,5,06-miami,2025
haas,ferrari,20,6,06-miami,2025
aston-martin,mercedes,14,7,06-miami,2025
racing-bulls,honda-rbpt,8,8,06-miami,2025
alpine,renault,7,9,06-miami,2025
kick-sauber,ferrari,6,10,06-miami,2025
mclaren,mercedes,279,1,07-emilia-romagna,2025
mercedes,mercedes,147,2,07-emilia-romagna,2025
red-bull,honda-rbpt,131,3,07-emilia-romagna,2025
ferrari,ferrari,114,4,07-emilia-romagna,2025
williams,mercedes,51,5,07-emilia-romagna,2025
haas,ferrari,20,6,07-emilia-romagna,2025
aston-martin,mercedes,14,7,07-emilia-romagna,2025
racing-bulls,honda-rbpt,10,8,07-emilia-romagna,2025
alpine,renault,7,9,07-emilia-romagna,2025
kick-sauber,ferrari,6,10,07-emilia-romagna,2025
mclaren,mercedes,319,1,08-monaco,2025
mercedes,mercedes,147,2,08-monaco,2025
red-bull,honda-rbpt,143,3,08-monaco,2025
ferrari,ferrari,142,4,08-monaco,2025
williams,mercedes,54,5,08-monaco,2025
haas,ferrari,26,6,08-monaco,2025
racing-bulls,honda-rbpt,22,7,08-monaco,2025
aston-martin,mercedes,14,8,08-monaco,2025
alpine,renault,7,9,08-monaco,2025
kick-sauber,ferrari,6,10,08-monaco,2025
mclaren,mercedes,362,1,09-spain,2025
ferrari,ferrari,165,2,09-spain,2025
mercedes,mercedes,159,3,09-spain,2025
red-bull,honda-rbpt,144,4,09-spain,2025
williams,mercedes,54,5,09-spain,2025
