constructorId,engineManufacturerId,points,position,race,year
mercedes,mercedes,41,1,01-bahrain,2021
red-bull,honda,28,2,01-bahrain,2021
mclaren,mercedes,18,3,01-bahrain,2021
ferrari,ferrari,12,4,01-bahrain,2021
alphatauri,honda,2,5,01-bahrain,2021
aston-martin,mercedes,1,6,01-bahrain,2021
alfa-romeo,ferrari,0,7,01-bahrain,2021
alpine,renault,0,8,01-bahrain,2021
williams,mercedes,0,9,01-bahrain,2021
haas,ferrari,0,10,01-bahrain,2021
mercedes,mercedes,60,1,02-emilia-romagna,2021
red-bull,honda,53,2,02-emilia-romagna,2021
mclaren,mercedes,41,3,02-emilia-romagna,2021
ferrari,ferrari,34,4,02-emilia-romagna,2021
alphatauri,honda,8,5,02-emilia-romagna,2021
aston-martin,mercedes,5,6,02-emilia-romagna,2021
alpine,renault,3,7,02-emilia-romagna,2021
alfa-romeo,ferrari,0,8,02-emilia-romagna,2021
williams,mercedes,0,9,02-emilia-romagna,2021
haas,ferrari,0,10,02-emilia-romagna,2021
mercedes,mercedes,101,1,03-portugal,2021
red-bull,honda,83,2,03-portugal,2021
mclaren,mercedes,53,3,03-portugal,2021
ferrari,ferrari,42,4,03-portugal,2021
alpine,renault,13,5,03-portugal,2021
alphatauri,honda,9,6,03-portugal,2021
aston-martin,mercedes,5,7,03-portugal,2021
alfa-romeo,ferrari,0,8,03-portugal,2021
williams,mercedes,0,9,03-portugal,2021
haas,ferrari,0,10,03-portugal,2021
mercedes,mercedes,141,1,04-spain,2021
red-bull,honda,112,2,04-spain,2021
mclaren,mercedes,65,3,04-spain,2021
ferrari,ferrari,60,4,04-spain,2021
alpine,renault,15,5,04-spain,2021
alphatauri,honda,10,6,04-spain,2021
aston-martin,mercedes,5,7,04-spain,2021
alfa-romeo,ferrari,0,8,04-spain,2021
williams,mercedes,0,9,04-spain,2021
haas,ferrari,0,10,04-spain,2021
red-bull,honda,149,1,05-monaco,2021
mercedes,mercedes,148,2,05-monaco,2021
mclaren,mercedes,80,3,05-monaco,2021
ferrari,ferrari,78,4,05-monaco,2021
aston-martin,mercedes,19,5,05-monaco,2021
alphatauri,honda,18,6,05-monaco,2021
alpine,renault,17,7,05-monaco,2021
alfa-romeo,ferrari,1,8,05-monaco,2021
williams,mercedes,0,9,05-monaco,2021
haas,ferrari,0,10,05-monaco,2021
