driverId,points,position,race,year
max-verstappen,26,1,01-bahrain,2024
sergio-perez,18,2,01-bahrain,2024
carlos-sainz-jr,15,3,01-bahrain,2024
charles-leclerc,12,4,01-bahrain,2024
george-russell,10,5,01-bahrain,2024
lando-norris,8,6,01-bahrain,2024
lewis-hamilton,6,7,01-bahrain,2024
oscar-piastri,4,8,01-bahrain,2024
fernando-alonso,2,9,01-bahrain,2024
lance-stroll,1,10,01-bahrain,2024
guanyu-zhou,0,11,01-bahrain,2024
kevin-magnussen,0,12,01-bahrain,2024
daniel-ricciardo,0,13,01-bahrain,2024
yuki-tsunoda,0,14,01-bahrain,2024
alexander-albon,0,15,01-bahrain,2024
nico-hulkenberg,0,16,01-bahrain,2024
esteban-ocon,0,17,01-bahrain,2024
pierre-gasly,0,18,01-bahrain,2024
valtteri-bottas,0,19,01-bahrain,2024
logan-sargeant,0,20,01-bahrain,2024
max-verstappen,51,1,02-saudi-arabia,2024
sergio-perez,36,2,02-saudi-arabia,2024
charles-leclerc,28,3,02-saudi-arabia,2024
george-russell,18,4,02-saudi-arabia,2024
oscar-piastri,16,5,02-saudi-arabia,2024
carlos-sainz-jr,15,6,02-saudi-arabia,2024
fernando-alonso,12,7,02-saudi-arabia,2024
lando-norris,12,8,02-saudi-arabia,2024
lewis-hamilton,8,9,02-saudi-arabia,2024
oliver-bearman,6,10,02-saudi-arabia,2024
nico-hulkenberg,1,11,02-saudi-arabia,2024
lance-stroll,1,12,02-saudi-arabia,2024
alexander-albon,0,13,02-saudi-arabia,2024
guanyu-zhou,0,14,02-saudi-arabia,2024
kevin-magnussen,0,15,02-saudi-arabia,2024
daniel-ricciardo,0,16,02-saudi-arabia,2024
esteban-ocon,0,17,02-saudi-arabia,2024
yuki-tsunoda,0,18,02-saudi-arabia,2024
logan-sargeant,0,19,02-saudi-arabia,2024
valtteri-bottas,0,20,02-saudi-arabia,2024
pierre-gasly,0,21,02-saudi-arabia,2024
max-verstappen,51,1,03-australia,2024
charles-leclerc,47,2,03-australia,2024
sergio-perez,46,3,03-australia,2024
carlos-sainz-jr,40,4,03-australia,2024
oscar-piastri,28,5,03-australia,2024
lando-norris,27,6,03-australia,2024
george-russell,18,7,03-australia,2024
fernando-alonso,16,8,03-australia,2024
lance-stroll,9,9,03-australia,2024
lewis-hamilton,8,10,03-australia,2024
yuki-tsunoda,6,11,03-australia,2024
oliver-bearman,6,12,03-australia,2024
nico-hulkenberg,3,13,03-australia,2024
kevin-magnussen,1,14,03-australia,2024
alexander-albon,0,15,03-australia,2024
guanyu-zhou,0,16,03-australia,2024
daniel-ricciardo,0,17,03-australia,2024
esteban-ocon,0,18,03-australia,2024
pierre-gasly,0,19,03-australia,2024
valtteri-bottas,0,20,03-australia,2024
logan-sargeant,0,21,03-australia,2024
max-verstappen,77,1,04-japan,2024
sergio-perez,64,2,04-japan,2024
charles-leclerc,59,3,04-japan,2024
carlos-sainz-jr,55,4,04-japan,2024
lando-norris,37,5,04-japan,2024
oscar-piastri,32,6,04-japan,2024
george-russell,24,7,04-japan,2024
fernando-alonso,24,8,04-japan,2024
lewis-hamilton,10,9,04-japan,2024
lance-stroll,9,10,04-japan,2024
yuki-tsunoda,7,11,04-japan,2024
oliver-bearman,6,12,04-japan,2024
nico-hulkenberg,3,13,04-japan,2024
kevin-magnussen,1,14,04-japan,2024
alexander-albon,0,15,04-japan,2024
guanyu-zhou,0,16,04-japan,2024
daniel-ricciardo,0,17,04-japan,2024
esteban-ocon,0,18,04-japan,2024
pierre-gasly,0,19,04-japan,2024
valtteri-bottas,0,20,04-japan,2024
logan-sargeant,0,21,04-japan,2024
max-verstappen,110,1,05-china,2024
sergio-perez,85,2,05-china,2024
charles-leclerc,76,3,05-china,2024
carlos-sainz-jr,69,4,05-china,2024
lando-norris,58,5,05-china,2024
oscar-piastri,38,6,05-china,2024
george-russell,33,7,05-china,2024
fernando-alonso,31,8,05-china,2024
lewis-hamilton,19,9,05-china,2024
lance-stroll,9,10,05-china,2024
yuki-tsunoda,7,11,05-china,2024
oliver-bearman,6,12,05-china,2024
nico-hulkenberg,4,13,05-china,2024
kevin-magnussen,1,14,05-china,2024
alexander-albon,0,15,05-china,2024
esteban-ocon,0,16,05-china,2024
guanyu-zhou,0,17,05-china,2024
daniel-ricciardo,0,18,05-china,2024
pierre-gasly,0,19,05-china,2024
valtteri-bottas,0,20,05-china,2024
logan-sargeant,0,21,05-china,2024
max-verstappen,136,1,06-miami,2024
sergio-perez,103,2,06-miami,2024
charles-leclerc,98,3,06-miami,2024
lando-norris,83,4,06-miami,2024
carlos-sainz-jr,83,5,06-miami,2024
oscar-piastri,41,6,06-miami,2024
george-russell,37,7,06-miami,2024
fernando-alonso,33,8,06-miami,2024
lewis-hamilton,27,9,06-miami,2024
yuki-tsunoda,14,10,06-miami,2024
lance-stroll,9,11,06-miami,2024
oliver-bearman,6,12,06-miami,2024
nico-hulkenberg,6,13,06-miami,2024
daniel-ricciardo,5,14,06-miami,2024
esteban-ocon,1,15,06-miami,2024
kevin-magnussen,1,16,06-miami,2024
alexander-albon,0,17,06-miami,2024
guanyu-zhou,0,18,06-miami,2024
pierre-gasly,0,19,06-miami,2024
valtteri-bottas,0,20,06-miami,2024
logan-sargeant,0,21,06-miami,2024
max-verstappen,161,1,07-emilia-romagna,2024
charles-leclerc,113,2,07-emilia-romagna,2024
sergio-perez,107,3,07-emilia-romagna,2024
lando-norris,101,4,07-emilia-romagna,2024
carlos-sainz-jr,93,5,07-emilia-romagna,2024
oscar-piastri,53,6,07-emilia-romagna,2024
george-russell,44,7,07-emilia-romagna,2024
lewis-hamilton,35,8,07-emilia-romagna,2024
fernando-alonso,33,9,07-emilia-romagna,2024
yuki-tsunoda,15,10,07-emilia-romagna,2024
lance-stroll,11,11,07-emilia-romagna,2024
oliver-bearman,6,12,07-emilia-romagna,2024
nico-hulkenberg,6,13,07-emilia-romagna,2024
daniel-ricciardo,5,14,07-emilia-romagna,2024
esteban-ocon,1,15,07-emilia-romagna,2024
kevin-magnussen,1,16,07-emilia-romagna,2024
alexander-albon,0,17,07-emilia-romagna,2024
guanyu-zhou,0,18,07-emilia-romagna,2024
pierre-gasly,0,19,07-emilia-romagna,2024
valtteri-bottas,0,20,07-emilia-romagna,2024
logan-sargeant,0,21,07-emilia-romagna,2024
max-verstappen,169,1,08-monaco,2024
charles-leclerc,138,2,08-monaco,2024
lando-norris,113,3,08-monaco,2024
carlos-sainz-jr,108,4,08-monaco,2024
sergio-perez,107,5,08-monaco,2024
oscar-piastri,71,6,08-monaco,2024
george-russell,54,7,08-monaco,2024
lewis-hamilton,42,8,08-monaco,2024
fernando-alonso,33,9,08-monaco,2024
yuki-tsunoda,19,10,08-monaco,2024
lance-stroll,11,11,08-monaco,2024
oliver-bearman,6,12,08-monaco,2024
nico-hulkenberg,6,13,08-monaco,2024
daniel-ricciardo,5,14,08-monaco,2024
alexander-albon,2,15,08-monaco,2024
esteban-ocon,1,16,08-monaco,2024
kevin-magnussen,1,17,08-monaco,2024
pierre-gasly,1,18,08-monaco,2024
guanyu-zhou,0,19,08-monaco,2024
valtteri-bottas,0,20,08-monaco,2024
logan-sargeant,0,21,08-monaco,2024
max-verstappen,194,1,09-canada,2024
charles-leclerc,138,2,09-canada,2024
lando-norris,131,3,09-canada,2024
carlos-sainz-jr,108,4,09-canada,2024
sergio-perez,107,5,09-canada,2024
oscar-piastri,81,6,09-canada,2024
george-russell,69,7,09-canada,2024
lewis-hamilton,55,8,09-canada,2024
fernando-alonso,41,9,09-canada,2024
yuki-tsunoda,19,10,09-canada,2024
lance-stroll,17,11,09-canada,2024
daniel-ricciardo,9,12,09-canada,2024
oliver-bearman,6,13,09-canada,2024
nico-hulkenberg,6,14,09-canada,2024
pierre-gasly,3,15,09-canada,2024
alexander-albon,2,16,09-canada,2024
esteban-ocon,2,17,09-canada,2024
kevin-magnussen,1,18,09-canada,2024
guanyu-zhou,0,19,09-canada,2024
valtteri-bottas,0,20,09-canada,2024
logan-sargeant,0,21,09-canada,2024
max-verstappen,219,1,10-spain,2024
lando-norris,150,2,10-spain,2024
charles-leclerc,148,3,10-spain,2024
carlos-sainz-jr,116,4,10-spain,2024
sergio-perez,111,5,10-spain,2024
oscar-piastri,87,6,10-spain,2024
george-russell,81,7,10-spain,2024
lewis-hamilton,70,8,10-spain,2024
fernando-alonso,41,9,10-spain,2024
yuki-tsunoda,19,10,10-spain,2024
lance-stroll,17,11,10-spain,2024
daniel-ricciardo,9,12,10-spain,2024
oliver-bearman,6,13,10-spain,2024
nico-hulkenberg,6,14,10-spain,2024
pierre-gasly,5,15,10-spain,2024
esteban-ocon,3,16,10-spain,2024
alexander-albon,2,17,10-spain,2024
kevin-magnussen,1,18,10-spain,2024
guanyu-zhou,0,19,10-spain,2024
valtteri-bottas,0,20,10-spain,2024
logan-sargeant,0,21,10-spain,2024
max-verstappen,237,1,11-austria,2024
lando-norris,156,2,11-austria,2024
charles-leclerc,150,3,11-austria,2024
carlos-sainz-jr,135,4,11-austria,2024
sergio-perez,118,5,11-austria,2024
oscar-piastri,112,6,11-austria,2024
george-russell,111,7,11-austria,2024
lewis-hamilton,85,8,11-austria,2024
fernando-alonso,41,9,11-austria,2024
yuki-tsunoda,19,10,11-austria,2024
lance-stroll,17,11,11-austria,2024
nico-hulkenberg,14,12,11-austria,2024
daniel-ricciardo,11,13,11-austria,2024
oliver-bearman,6,14,11-austria,2024
pierre-gasly,6,15,11-austria,2024
kevin-magnussen,5,16,11-austria,2024
esteban-ocon,3,17,11-austria,2024
alexander-albon,2,18,11-austria,2024
guanyu-zhou,0,19,11-austria,2024
valtteri-bottas,0,20,11-austria,2024
logan-sargeant,0,21,11-austria,2024
max-verstappen,255,1,12-great-britain,2024
lando-norris,171,2,12-great-britain,2024
charles-leclerc,150,3,12-great-britain,2024
carlos-sainz-jr,146,4,12-great-britain,2024
oscar-piastri,124,5,12-great-britain,2024
sergio-perez,118,6,12-great-britain,2024
george-russell,111,7,12-great-britain,2024
lewis-hamilton,110,8,12-great-britain,2024
fernando-alonso,45,9,12-great-britain,2024
lance-stroll,23,10,12-great-britain,2024
nico-hulkenberg,22,11,12-great-britain,2024
yuki-tsunoda,20,12,12-great-britain,2024
daniel-ricciardo,11,13,12-great-britain,2024
oliver-bearman,6,14,12-great-britain,2024
pierre-gasly,6,15,12-great-britain,2024
kevin-magnussen,5,16,12-great-britain,2024
alexander-albon,4,17,12-great-britain,2024
esteban-ocon,3,18,12-great-britain,2024
guanyu-zhou,0,19,12-great-britain,2024
logan-sargeant,0,20,12-great-britain,2024
valtteri-bottas,0,21,12-great-britain,2024
max-verstappen,265,1,13-hungary,2024
lando-norris,189,2,13-hungary,2024
charles-leclerc,162,3,13-hungary,2024
carlos-sainz-jr,154,4,13-hungary,2024
oscar-piastri,149,5,13-hungary,2024
lewis-hamilton,125,6,13-hungary,2024
sergio-perez,124,7,13-hungary,2024
george-russell,116,8,13-hungary,2024
fernando-alonso,45,9,13-hungary,2024
lance-stroll,24,10,13-hungary,2024
nico-hulkenberg,22,11,13-hungary,2024
yuki-tsunoda,22,12,13-hungary,2024
daniel-ricciardo,11,13,13-hungary,2024
oliver-bearman,6,14,13-hungary,2024
pierre-gasly,6,15,13-hungary,2024
kevin-magnussen,5,16,13-hungary,2024
alexander-albon,4,17,13-hungary,2024
esteban-ocon,3,18,13-hungary,2024
guanyu-zhou,0,19,13-hungary,2024
logan-sargeant,0,20,13-hungary,2024
valtteri-bottas,0,21,13-hungary,2024
max-verstappen,277,1,14-belgium,2024
lando-norris,199,2,14-belgium,2024
charles-leclerc,177,3,14-belgium,2024
oscar-piastri,167,4,14-belgium,2024
carlos-sainz-jr,162,5,14-belgium,2024
lewis-hamilton,150,6,14-belgium,2024
sergio-perez,131,7,14-belgium,2024
george-russell,116,8,14-belgium,2024
fernando-alonso,49,9,14-belgium,2024
lance-stroll,24,10,14-belgium,2024
nico-hulkenberg,22,11,14-belgium,2024
yuki-tsunoda,22,12,14-belgium,2024
daniel-ricciardo,12,13,14-belgium,2024
oliver-bearman,6,14,14-belgium,2024
pierre-gasly,6,15,14-belgium,2024
kevin-magnussen,5,16,14-belgium,2024
esteban-ocon,5,17,14-belgium,2024
alexander-albon,4,18,14-belgium,2024
guanyu-zhou,0,19,14-belgium,2024
logan-sargeant,0,20,14-belgium,2024
valtteri-bottas,0,21,14-belgium,2024
max-verstappen,295,1,15-netherlands,2024
lando-norris,225,2,15-netherlands,2024
charles-leclerc,192,3,15-netherlands,2024
oscar-piastri,179,4,15-netherlands,2024
carlos-sainz-jr,172,5,15-netherlands,2024
lewis-hamilton,154,6,15-netherlands,2024
sergio-perez,139,7,15-netherlands,2024
george-russell,122,8,15-netherlands,2024
fernando-alonso,50,9,15-netherlands,2024
lance-stroll,24,10,15-netherlands,2024
nico-hulkenberg,22,11,15-netherlands,2024
yuki-tsunoda,22,12,15-netherlands,2024
daniel-ricciardo,12,13,15-netherlands,2024
pierre-gasly,8,14,15-netherlands,2024
oliver-bearman,6,15,15-netherlands,2024
kevin-magnussen,5,16,15-netherlands,2024
esteban-ocon,5,17,15-netherlands,2024
