constructorId,engineManufacturerId,points,position,race,year
ferrari,ferrari,30,1,01-australia,2013
lotus-f1,renault,26,2,01-australia,2013
red-bull,renault,23,3,01-australia,2013
mercedes,mercedes,10,4,01-australia,2013
force-india,mercedes,10,5,01-australia,2013
mclaren,mercedes,2,6,01-australia,2013
toro-rosso,ferrari,0,7,01-australia,2013
sauber,ferrari,0,8,01-australia,2013
williams,renault,0,9,01-australia,2013
marussia,cosworth,0,10,01-australia,2013
caterham,renault,0,11,01-australia,2013
red-bull,renault,66,1,02-malaysia,2013
lotus-f1,renault,40,2,02-malaysia,2013
ferrari,ferrari,40,3,02-malaysia,2013
mercedes,mercedes,37,4,02-malaysia,2013
force-india,mercedes,10,5,02-malaysia,2013
sauber,ferrari,4,6,02-malaysia,2013
mclaren,mercedes,4,7,02-malaysia,2013
toro-rosso,ferrari,1,8,02-malaysia,2013
williams,renault,0,9,02-malaysia,2013
marussia,cosworth,0,10,02-malaysia,2013
caterham,renault,0,11,02-malaysia,2013
red-bull,renault,78,1,03-china,2013
ferrari,ferrari,73,2,03-china,2013
lotus-f1,renault,60,3,03-china,2013
mercedes,mercedes,52,4,03-china,2013
mclaren,mercedes,14,5,03-china,2013
force-india,mercedes,14,6,03-china,2013
toro-rosso,ferrari,7,7,03-china,2013
sauber,ferrari,5,8,03-china,2013
williams,renault,0,9,03-china,2013
marussia,cosworth,0,10,03-china,2013
caterham,renault,0,11,03-china,2013
red-bull,renault,109,1,04-bahrain,2013
lotus-f1,renault,93,2,04-bahrain,2013
ferrari,ferrari,77,3,04-bahrain,2013
mercedes,mercedes,64,4,04-bahrain,2013
force-india,mercedes,26,5,04-bahrain,2013
mclaren,mercedes,23,6,04-bahrain,2013
toro-rosso,ferrari,7,7,04-bahrain,2013
sauber,ferrari,5,8,04-bahrain,2013
williams,renault,0,9,04-bahrain,2013
marussia,cosworth,0,10,04-bahrain,2013
caterham,renault,0,11,04-bahrain,2013
red-bull,renault,131,1,05-spain,2013
ferrari,ferrari,117,2,05-spain,2013
lotus-f1,renault,111,3,05-spain,2013
mercedes,mercedes,72,4,05-spain,2013
force-india,mercedes,32,5,05-spain,2013
mclaren,mercedes,29,6,05-spain,2013
toro-rosso,ferrari,8,7,05-spain,2013
sauber,ferrari,5,8,05-spain,2013
williams,renault,0,9,05-spain,2013
marussia,cosworth,0,10,05-spain,2013
caterham,renault,0,11,05-spain,2013
red-bull,renault,164,1,06-monaco,2013
ferrari,ferrari,123,2,06-monaco,2013
lotus-f1,renault,112,3,06-monaco,2013
mercedes,mercedes,109,4,06-monaco,2013
force-india,mercedes,44,5,06-monaco,2013
mclaren,mercedes,37,6,06-monaco,2013
toro-rosso,ferrari,12,7,06-monaco,2013
sauber,ferrari,5,8,06-monaco,2013
williams,renault,0,9,06-monaco,2013
marussia,cosworth,0,10,06-monaco,2013
caterham,renault,0,11,06-monaco,2013
red-bull,renault,201,1,07-canada,2013
ferrari,ferrari,145,2,07-canada,2013
mercedes,mercedes,134,3,07-canada,2013
lotus-f1,renault,114,4,07-canada,2013
force-india,mercedes,51,5,07-canada,2013
mclaren,mercedes,37,6,07-canada,2013
toro-rosso,ferrari,20,7,07-canada,2013
sauber,ferrari,5,8,07-canada,2013
williams,renault,0,9,07-canada,2013
marussia,cosworth,0,10,07-canada,2013
caterham,renault,0,11,07-canada,2013
red-bull,renault,219,1,08-great-britain,2013
