constructorId,engineManufacturerId,points,position,race,year
ferrari,ferrari,40,1,01-australia,2018
mercedes,mercedes,22,2,01-australia,2018
red-bull,tag-heuer,20,3,01-australia,2018
mclaren,renault,12,4,01-australia,2018
renault,renault,7,5,01-australia,2018
force-india,mercedes,0,6,01-australia,2018
sauber,ferrari,0,7,01-australia,2018
williams,mercedes,0,8,01-australia,2018
toro-rosso,honda,0,9,01-australia,2018
ferrari,ferrari,65,1,02-bahrain,2018
mercedes,mercedes,55,2,02-bahrain,2018
mclaren,renault,22,3,02-bahrain,2018
red-bull,tag-heuer,20,4,02-bahrain,2018
renault,renault,15,5,02-bahrain,2018
toro-rosso,honda,12,6,02-bahrain,2018
haas,ferrari,10,7,02-bahrain,2018
sauber,ferrari,2,8,02-bahrain,2018
force-india,mercedes,1,9,02-bahrain,2018
williams,mercedes,0,10,02-bahrain,2018
mercedes,mercedes,85,1,03-china,2018
ferrari,ferrari,84,2,03-china,2018
red-bull,tag-heuer,55,3,03-china,2018
mclaren,renault,28,4,03-china,2018
renault,renault,25,5,03-china,2018
toro-rosso,honda,12,6,03-china,2018
haas,ferrari,11,7,03-china,2018
sauber,ferrari,2,8,03-china,2018
force-india,mercedes,1,9,03-china,2018
williams,mercedes,0,10,03-china,2018
ferrari,ferrari,114,1,04-azerbaijan,2018
mercedes,mercedes,110,2,04-azerbaijan,2018
red-bull,tag-heuer,55,3,04-azerbaijan,2018
mclaren,renault,36,4,04-azerbaijan,2018
renault,renault,35,5,04-azerbaijan,2018
force-india,mercedes,16,6,04-azerbaijan,2018
toro-rosso,honda,13,7,04-azerbaijan,2018
haas,ferrari,11,8,04-azerbaijan,2018
sauber,ferrari,10,9,04-azerbaijan,2018
williams,mercedes,4,10,04-azerbaijan,2018
mercedes,mercedes,153,1,05-spain,2018
ferrari,ferrari,126,2,05-spain,2018
red-bull,tag-heuer,80,3,05-spain,2018
renault,renault,41,4,05-spain,2018
mclaren,renault,40,5,05-spain,2018
haas,ferrari,19,6,05-spain,2018
force-india,mercedes,18,7,05-spain,2018
toro-rosso,honda,13,8,05-spain,2018
sauber,ferrari,11,9,05-spain,2018
williams,mercedes,4,10,05-spain,2018
mercedes,mercedes,178,1,06-monaco,2018
ferrari,ferrari,156,2,06-monaco,2018
red-bull,tag-heuer,107,3,06-monaco,2018
renault,renault,46,4,06-monaco,2018
mclaren,renault,40,5,06-monaco,2018
force-india,mercedes,26,6,06-monaco,2018
toro-rosso,honda,19,7,06-monaco,2018
haas,ferrari,19,8,06-monaco,2018
sauber,ferrari,11,9,06-monaco,2018
williams,mercedes,4,10,06-monaco,2018
mercedes,mercedes,206,1,07-canada,2018
ferrari,ferrari,189,2,07-canada,2018
red-bull,tag-heuer,134,3,07-canada,2018
renault,renault,56,4,07-canada,2018
mclaren,renault,40,5,07-canada,2018
force-india,mercedes,28,6,07-canada,2018
toro-rosso,honda,19,7,07-canada,2018
haas,ferrari,19,8,07-canada,2018
sauber,ferrari,12,9,07-canada,2018
williams,mercedes,4,10,07-canada,2018
mercedes,mercedes,237,1,08-france,2018
ferrari,ferrari,214,2,08-france,2018
red-bull,tag-heuer,164,3,08-france,2018
renault,renault,62,4,08-france,2018
mclaren,renault,40,5,08-france,2018
force-india,mercedes,28,6,08-france,2018
haas,ferrari,27,7,08-france,2018
toro-rosso,honda,19,8,08-france,2018
sauber,ferrari,13,9,08-france,2018
williams,mercedes,4,10,08-france,2018
ferrari,ferrari,247,1,09-austria,2018
mercedes,mercedes,237,2,09-austria,2018
red-bull,tag-heuer,189,3,09-austria,2018
renault,renault,62,4,09-austria,2018
haas,ferrari,49,5,09-austria,2018
mclaren,renault,44,6,09-austria,2018
force-india,mercedes,42,7,09-austria,2018
toro-rosso,honda,19,8,09-austria,2018
sauber,ferrari,16,9,09-austria,2018
williams,mercedes,4,10,09-austria,2018
ferrari,ferrari,287,1,10-great-britain,2018
mercedes,mercedes,267,2,10-great-britain,2018
red-bull,tag-heuer,199,3,10-great-britain,2018
renault,renault,70,4,10-great-britain,2018
haas,ferrari,51,5,10-great-britain,2018
force-india,mercedes,49,6,10-great-britain,2018
mclaren,renault,48,7,10-great-britain,2018
toro-rosso,honda,19,8,10-great-britain,2018
