constructorId,driverId,driverNumber,engineManufacturerId,lap,position,race,stop,time,tyreManufacturerId,year
renault,kevin-magnussen,20,renault,1,1,01-australia,1,27.831,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,8,2,01-australia,1,22.414,pirelli,2016
sauber,felipe-nasr,12,ferrari,10,3,01-australia,1,22.701,pirelli,2016
williams,felipe-massa,19,mercedes,11,4,01-australia,1,21.550,pirelli,2016
manor,pascal-wehrlein,94,mercedes,11,5,01-australia,1,26.206,pirelli,2016
sauber,marcus-ericsson,9,ferrari,11,6,01-australia,1,22.357,pirelli,2016
mercedes,nico-rosberg,6,mercedes,12,7,01-australia,1,21.531,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,12,8,01-australia,1,22.245,pirelli,2016
mclaren,fernando-alonso,14,honda,12,9,01-australia,1,21.796,pirelli,2016
renault,jolyon-palmer,30,renault,12,10,01-australia,1,23.286,pirelli,2016
manor,rio-haryanto,88,mercedes,12,11,01-australia,1,23.224,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,13,12,01-australia,1,21.339,pirelli,2016
toro-rosso,max-verstappen,33,ferrari,13,13,01-australia,1,22.303,pirelli,2016
mclaren,jenson-button,22,honda,15,14,01-australia,1,22.616,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,16,15,01-australia,1,22.508,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,16,16,01-australia,1,21.940,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,16,17,01-australia,1,22.167,pirelli,2016
force-india,sergio-perez,11,mercedes,16,18,01-australia,1,24.719,pirelli,2016
williams,valtteri-bottas,77,mercedes,17,19,01-australia,1,21.376,pirelli,2016
renault,kevin-magnussen,20,renault,16,20,01-australia,2,22.079,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,18,21,01-australia,2,18:09.312,pirelli,2016
mercedes,nico-rosberg,6,mercedes,18,22,01-australia,2,18:09.303,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,18,23,01-australia,2,18:09.365,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,18,24,01-australia,2,18:09.822,pirelli,2016
toro-rosso,max-verstappen,33,ferrari,18,25,01-australia,2,18:09.372,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,18,26,01-australia,2,18:09.971,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,18,27,01-australia,2,18:10.087,pirelli,2016
williams,felipe-massa,19,mercedes,18,28,01-australia,2,18:09.805,pirelli,2016
haas,romain-grosjean,8,ferrari,18,29,01-australia,1,18:09.417,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,18,30,01-australia,2,18:09.155,pirelli,2016
williams,valtteri-bottas,77,mercedes,18,31,01-australia,2,18:08.989,pirelli,2016
renault,jolyon-palmer,30,renault,18,32,01-australia,2,18:08.294,pirelli,2016
force-india,sergio-perez,11,mercedes,18,33,01-australia,2,18:07.311,pirelli,2016
sauber,marcus-ericsson,9,ferrari,18,34,01-australia,2,18:06.875,pirelli,2016
mclaren,jenson-button,22,honda,18,35,01-australia,2,18:04.466,pirelli,2016
sauber,felipe-nasr,12,ferrari,18,36,01-australia,2,18:02.337,pirelli,2016
manor,pascal-wehrlein,94,mercedes,18,37,01-australia,2,18:02.140,pirelli,2016
renault,kevin-magnussen,20,renault,17,38,01-australia,3,15:46.318,pirelli,2016
sauber,marcus-ericsson,9,ferrari,27,39,01-australia,3,16.936,pirelli,2016
mclaren,jenson-button,22,honda,30,40,01-australia,3,21.837,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,31,41,01-australia,3,22.392,pirelli,2016
toro-rosso,max-verstappen,33,ferrari,32,42,01-australia,3,29.066,pirelli,2016
manor,pascal-wehrlein,94,mercedes,32,43,01-australia,3,23.895,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,35,44,01-australia,3,24.548,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,42,45,01-australia,3,21.981,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,1,1,02-bahrain,1,31.931,pirelli,2016
force-india,sergio-perez,11,mercedes,2,2,02-bahrain,1,30.326,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,2,3,02-bahrain,1,28.401,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,6,4,02-bahrain,1,24.541,pirelli,2016
williams,felipe-massa,19,mercedes,7,5,02-bahrain,1,24.093,pirelli,2016
williams,valtteri-bottas,77,mercedes,8,6,02-bahrain,1,24.944,pirelli,2016
haas,esteban-gutierrez,21,ferrari,8,7,02-bahrain,1,32.793,pirelli,2016
mclaren,stoffel-vandoorne,47,honda,9,8,02-bahrain,1,24.604,pirelli,2016
williams,valtteri-bottas,77,mercedes,9,9,02-bahrain,2,19.369,pirelli,2016
toro-rosso,max-verstappen,33,ferrari,10,10,02-bahrain,1,25.810,pirelli,2016
sauber,felipe-nasr,12,ferrari,10,11,02-bahrain,1,26.246,pirelli,2016
haas,romain-grosjean,8,ferrari,11,12,02-bahrain,1,25.739,pirelli,2016
manor,pascal-wehrlein,94,mercedes,11,13,02-bahrain,1,26.236,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,12,14,02-bahrain,1,24.720,pirelli,2016
renault,kevin-magnussen,20,renault,12,15,02-bahrain,1,26.876,pirelli,2016
manor,rio-haryanto,88,mercedes,12,16,02-bahrain,1,26.382,pirelli,2016
mercedes,nico-rosberg,6,mercedes,13,17,02-bahrain,1,24.934,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,13,18,02-bahrain,1,24.512,pirelli,2016
