constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,laps,position,q1,q2,q3,race,tyreManufacturerId,year
mercedes,lewis-hamilton,44,mercedes,,,22,1,1:31.699,1:42.890,1:44.231,01-australia,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+0.317,+0.317,20,2,1:30.775,1:42.295,1:44.548,01-australia,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+0.364,+0.047,21,3,1:32.564,1:42.264,1:44.595,01-australia,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+1.514,+1.150,19,4,1:30.949,1:43.247,1:45.745,01-australia,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+1.588,+0.074,21,5,1:31.388,1:42.805,1:45.819,01-australia,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+1.633,+0.045,21,6,1:33.488,1:43.849,1:45.864,01-australia,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+1.799,+0.166,20,7,1:33.893,1:43.658,1:46.030,01-australia,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+3.137,+1.338,20,8,1:33.777,1:44.331,1:47.368,01-australia,pirelli,2014
williams,felipe-massa,19,mercedes,+3.848,+0.711,21,9,1:31.228,1:44.242,1:48.079,01-australia,pirelli,2014
williams,valtteri-bottas,77,mercedes,+3.916,+0.068,19,10,1:31.601,1:43.852,1:48.147,01-australia,pirelli,2014
mclaren,jenson-button,22,mercedes,,,13,11,1:31.396,1:44.437,,01-australia,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,,,13,12,1:32.439,1:44.494,,01-australia,pirelli,2014
red-bull,sebastian-vettel,1,renault,,,13,13,1:31.931,1:44.668,,01-australia,pirelli,2014
sauber,adrian-sutil,99,ferrari,,,12,14,1:33.673,1:45.655,,01-australia,pirelli,2014
caterham,kamui-kobayashi,10,renault,,,13,15,1:34.274,1:45.867,,01-australia,pirelli,2014
force-india,sergio-perez,11,mercedes,,,13,16,1:34.141,1:47.293,,01-australia,pirelli,2014
marussia,max-chilton,4,ferrari,,,5,17,1:34.293,,,01-australia,pirelli,2014
marussia,jules-bianchi,17,ferrari,,,5,18,1:34.794,,,01-australia,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,,,7,19,1:35.117,,,01-australia,pirelli,2014
caterham,marcus-ericsson,9,renault,,,5,20,1:35.157,,,01-australia,pirelli,2014
lotus-f1,romain-grosjean,8,renault,,,6,21,1:36.993,,,01-australia,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,,,3,NC,,,,01-australia,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,,,22,1,1:57.202,1:59.041,1:59.431,02-malaysia,pirelli,2014
red-bull,sebastian-vettel,1,renault,+0.055,+0.055,20,2,1:57.654,1:59.399,1:59.486,02-malaysia,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+0.619,+0.564,23,3,1:57.183,1:59.445,2:00.050,02-malaysia,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+0.744,+0.125,22,4,1:58.889,2:01.356,2:00.175,02-malaysia,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+1.110,+0.366,20,5,1:58.913,2:00.147,2:00.541,02-malaysia,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+1.787,+0.677,21,6,1:59.257,2:01.532,2:01.218,02-malaysia,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+2.281,+0.494,23,7,1:58.883,2:00.839,2:01.712,02-malaysia,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+2.782,+0.501,20,8,2:00.358,2:02.094,2:02.213,02-malaysia,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+3.647,+0.865,23,9,2:01.689,2:02.096,2:03.078,02-malaysia,pirelli,2014
mclaren,jenson-button,22,mercedes,+4.622,+0.975,22,10,2:00.889,2:01.810,2:04.053,02-malaysia,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,,,16,11,2:01.175,2:02.351,,02-malaysia,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,,,16,12,2:01.134,2:02.369,,02-malaysia,pirelli,2014
williams,felipe-massa,19,mercedes,,,16,13,2:00.047,2:02.460,,02-malaysia,pirelli,2014
force-india,sergio-perez,11,mercedes,,,15,14,2:00.076,2:02.511,,02-malaysia,pirelli,2014
williams,valtteri-bottas,77,mercedes,,,17,15,1:59.709,2:02.756,,02-malaysia,pirelli,2014
lotus-f1,romain-grosjean,8,renault,,,17,16,2:00.202,2:02.885,,02-malaysia,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,,,8,17,2:02.074,,,02-malaysia,pirelli,2014
sauber,adrian-sutil,99,ferrari,,,7,18,2:02.131,,,02-malaysia,pirelli,2014
marussia,jules-bianchi,17,ferrari,,,8,19,2:02.702,,,02-malaysia,pirelli,2014
caterham,kamui-kobayashi,10,renault,,,8,20,2:03.595,,,02-malaysia,pirelli,2014
marussia,max-chilton,4,ferrari,,,8,21,2:04.388,,,02-malaysia,pirelli,2014
caterham,marcus-ericsson,9,renault,,,7,22,2:04.407,,,02-malaysia,pirelli,2014
mercedes,nico-rosberg,6,mercedes,,,12,1,1:35.439,1:33.708,1:33.185,03-bahrain,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,+0.279,+0.279,12,2,1:35.323,1:33.872,1:33.464,03-bahrain,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+0.866,+0.587,16,3,1:36.220,1:34.592,1:34.051,03-bahrain,pirelli,2014
williams,valtteri-bottas,77,mercedes,+1.062,+0.196,15,4,1:34.934,1:34.842,1:34.247,03-bahrain,pirelli,2014
force-india,sergio-perez,11,mercedes,+1.161,+0.099,19,5,1:34.998,1:34.747,1:34.346,03-bahrain,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+1.183,+0.022,15,6,1:35.234,1:34.925,1:34.368,03-bahrain,pirelli,2014
mclaren,jenson-button,22,mercedes,+1.202,+0.019,17,7,1:35.699,1:34.714,1:34.387,03-bahrain,pirelli,2014
williams,felipe-massa,19,mercedes,+1.326,+0.124,14,8,1:35.085,1:34.842,1:34.511,03-bahrain,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+1.527,+0.201,17,9,1:35.288,1:34.904,1:34.712,03-bahrain,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+1.807,+0.280,17,10,1:35.251,1:34.723,1:34.992,03-bahrain,pirelli,2014
red-bull,sebastian-vettel,1,renault,,,9,11,1:35.549,1:34.985,,03-bahrain,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,,,12,12,1:34.874,1:35.116,,03-bahrain,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,,,14,13,1:35.395,1:35.145,,03-bahrain,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,,,14,14,1:35.815,1:35.286,,03-bahrain,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,,,14,15,1:36.567,1:35.891,,03-bahrain,pirelli,2014
lotus-f1,romain-grosjean,8,renault,,,10,16,1:36.654,1:35.908,,03-bahrain,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,,,7,17,1:36.663,,,03-bahrain,pirelli,2014
sauber,adrian-sutil,99,ferrari,,,5,18,1:36.840,,,03-bahrain,pirelli,2014
caterham,kamui-kobayashi,10,renault,,,6,19,1:37.085,,,03-bahrain,pirelli,2014
marussia,jules-bianchi,17,ferrari,,,6,20,1:37.310,,,03-bahrain,pirelli,2014
caterham,marcus-ericsson,9,renault,,,7,21,1:37.875,,,03-bahrain,pirelli,2014
marussia,max-chilton,4,ferrari,,,6,22,1:37.913,,,03-bahrain,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,,,21,1,1:55.516,1:54.029,1:53.860,04-china,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+0.595,+0.595,23,2,1:56.641,1:55.302,1:54.455,04-china,pirelli,2014
red-bull,sebastian-vettel,1,renault,+1.100,+0.505,23,3,1:55.926,1:54.499,1:54.960,04-china,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+1.283,+0.183,22,4,1:56.058,1:55.294,1:55.143,04-china,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+1.777,+0.494,21,5,1:56.961,1:55.765,1:55.637,04-china,pirelli,2014
williams,felipe-massa,19,mercedes,+2.287,+0.510,24,6,1:56.850,1:56.757,1:56.147,04-china,pirelli,2014
williams,valtteri-bottas,77,mercedes,+2.422,+0.135,24,7,1:56.501,1:56.253,1:56.282,04-china,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+2.506,+0.084,23,8,1:55.913,1:56.847,1:56.366,04-china,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+2.913,+0.407,23,9,1:57.477,1:56.584,1:56.773,04-china,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+3.219,+0.306,22,10,1:58.411,1:56.407,1:57.079,04-china,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,,,17,11,1:58.279,1:56.860,,04-china,pirelli,2014
mclaren,jenson-button,22,mercedes,,,17,12,1:57.783,1:56.963,,04-china,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,,,18,13,1:57.261,1:57.289,,04-china,pirelli,2014
sauber,adrian-sutil,99,ferrari,,,17,14,1:58.138,1:57.393,,04-china,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,,,17,15,1:57.369,1:57.675,,04-china,pirelli,2014
force-india,sergio-perez,11,mercedes,,,17,16,1:58.362,1:58.264,,04-china,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,,,10,17,1:58.988,,,04-china,pirelli,2014
caterham,kamui-kobayashi,10,renault,,,10,18,1:59.260,,,04-china,pirelli,2014
marussia,jules-bianchi,17,ferrari,,,10,19,1:59.326,,,04-china,pirelli,2014
caterham,marcus-ericsson,9,renault,,,10,20,2:00.646,,,04-china,pirelli,2014
marussia,max-chilton,4,ferrari,,,10,21,2:00.865,,,04-china,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,,,,NC,,,,04-china,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,,,16,1,1:27.238,1:26.210,1:25.232,05-spain,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+0.168,+0.168,19,2,1:26.764,1:26.088,1:25.400,05-spain,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+1.053,+0.885,16,3,1:28.053,1:26.613,1:26.285,05-spain,pirelli,2014
williams,valtteri-bottas,77,mercedes,+1.400,+0.347,17,4,1:28.198,1:27.563,1:26.632,05-spain,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+1.728,+0.328,18,5,1:28.472,1:27.258,1:26.960,05-spain,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+1.872,+0.144,18,6,1:28.308,1:27.335,1:27.104,05-spain,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+1.908,+0.036,16,7,1:28.329,1:27.602,1:27.140,05-spain,pirelli,2014
mclaren,jenson-button,22,mercedes,+2.103,+0.195,18,8,1:28.279,1:27.570,1:27.335,05-spain,pirelli,2014
williams,felipe-massa,19,mercedes,+2.170,+0.067,16,9,1:28.061,1:27.016,1:27.402,05-spain,pirelli,2014
red-bull,sebastian-vettel,1,renault,,,11,10,1:27.958,1:27.052,,05-spain,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,,,13,11,1:28.155,1:27.685,,05-spain,pirelli,2014
force-india,sergio-perez,11,mercedes,,,16,12,1:28.469,1:28.002,,05-spain,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,,,12,13,1:28.074,1:28.039,,05-spain,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,,,12,14,1:28.374,1:28.280,,05-spain,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,,,10,15,1:28.389,,,05-spain,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,,,6,16,1:28.194,,,05-spain,pirelli,2014
sauber,adrian-sutil,99,ferrari,,,9,17,1:28.563,,,05-spain,pirelli,2014
marussia,max-chilton,4,ferrari,,,6,18,1:29.586,,,05-spain,pirelli,2014
marussia,jules-bianchi,17,ferrari,,,6,19,1:30.177,,,05-spain,pirelli,2014
caterham,marcus-ericsson,9,renault,,,8,20,1:30.312,,,05-spain,pirelli,2014
caterham,kamui-kobayashi,10,renault,,,6,21,1:30.375,,,05-spain,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,,,2,NC,,,,05-spain,pirelli,2014
mercedes,nico-rosberg,6,mercedes,,,26,1,1:17.678,1:16.465,1:15.989,06-monaco,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,+0.059,+0.059,27,2,1:17.823,1:16.354,1:16.048,06-monaco,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+0.395,+0.336,22,3,1:17.900,1:17.233,1:16.384,06-monaco,pirelli,2014
red-bull,sebastian-vettel,1,renault,+0.558,+0.163,25,4,1:18.383,1:17.074,1:16.547,06-monaco,pirelli,2014
