constructorId,driverId,driverNumber,engineManufacturerId,gap,grandSlam,gridPosition,interval,laps,points,position,race,reasonRetired,time,timePenalty,tyreManufacturerId,year
mercedes,nico-rosberg,6,mercedes,,,3,,57,25,1,01-australia,,1:32:58.710,,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+26.777,,4,+26.777,57,18,2,01-australia,,1:33:25.487,,pirelli,2014
mclaren,jenson-button,22,mercedes,+30.027,,10,+3.250,57,15,3,01-australia,,1:33:28.737,,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+35.284,,5,+5.257,57,12,4,01-australia,,1:33:33.994,,pirelli,2014
williams,valtteri-bottas,77,mercedes,+47.639,,15,+12.355,57,10,5,01-australia,,1:33:46.349,,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+50.718,,7,+3.079,57,8,6,01-australia,,1:33:49.428,,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+57.675,,11,+6.957,57,6,7,01-australia,,1:33:56.385,,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+1:00.441,,6,+2.766,57,4,8,01-australia,,1:33:59.151,,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+1:03.585,,8,+3.144,57,2,9,01-australia,,1:34:02.295,,pirelli,2014
force-india,sergio-perez,11,mercedes,+1:25.916,,16,+22.331,57,1,10,01-australia,,1:34:24.626,,pirelli,2014
sauber,adrian-sutil,99,ferrari,+1 lap,,13,,56,,11,01-australia,,,,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,+1 lap,,20,,56,,12,01-australia,,,,pirelli,2014
marussia,max-chilton,4,ferrari,+2 laps,,PL,,55,,13,01-australia,,,,pirelli,2014
marussia,jules-bianchi,17,ferrari,+8 laps,,PL,,49,,NC,01-australia,,,,pirelli,2014
lotus-f1,romain-grosjean,8,renault,,,PL,,43,,DNF,01-australia,Power unit,,,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,,,21,,29,,DNF,01-australia,Power unit,,,pirelli,2014
caterham,marcus-ericsson,9,renault,,,19,,27,,DNF,01-australia,Oil pressure,,,pirelli,2014
red-bull,sebastian-vettel,1,renault,,,12,,3,,DNF,01-australia,Power unit,,,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,,,1,,2,,DNF,01-australia,Power unit,,,pirelli,2014
williams,felipe-massa,19,mercedes,,,9,,0,,DNF,01-australia,Collision,,,pirelli,2014
caterham,kamui-kobayashi,10,renault,,,14,,0,,DNF,01-australia,Collision,,,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+24.525,,2,,57,,DSQ,01-australia,Fuel,1:33:23.235,,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,,True,1,,56,25,1,02-malaysia,,1:40:25.974,,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+17.313,,3,+17.313,56,18,2,02-malaysia,,1:40:43.287,,pirelli,2014
red-bull,sebastian-vettel,1,renault,+24.534,,2,+7.221,56,15,3,02-malaysia,,1:40:50.508,,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+35.992,,4,+11.458,56,12,4,02-malaysia,,1:41:01.966,,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+47.199,,7,+11.207,56,10,5,02-malaysia,,1:41:13.173,,pirelli,2014
mclaren,jenson-button,22,mercedes,+1:23.691,,10,+36.492,56,8,6,02-malaysia,,1:41:49.665,,pirelli,2014
williams,felipe-massa,19,mercedes,+1:25.076,,13,+1.385,56,6,7,02-malaysia,,1:41:51.050,,pirelli,2014
williams,valtteri-bottas,77,mercedes,+1:25.537,,18,+0.461,56,4,8,02-malaysia,,1:41:51.511,,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+1 lap,,8,,55,2,9,02-malaysia,,,,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+1 lap,,11,,55,1,10,02-malaysia,,,,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+1 lap,,15,,55,,11,02-malaysia,,,,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+1 lap,,6,,55,,12,02-malaysia,,,,pirelli,2014
caterham,kamui-kobayashi,10,renault,+1 lap,,20,,55,,13,02-malaysia,,,,pirelli,2014
caterham,marcus-ericsson,9,renault,+2 laps,,22,,54,,14,02-malaysia,,,,pirelli,2014
marussia,max-chilton,4,ferrari,+2 laps,,21,,54,,15,02-malaysia,,,,pirelli,2014
red-bull,daniel-ricciardo,3,renault,,,5,,49,,DNF,02-malaysia,Front wing,,,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,,,12,,35,,DNF,02-malaysia,Gearbox,,,pirelli,2014
sauber,adrian-sutil,99,ferrari,,,17,,32,,DNF,02-malaysia,Power unit,,,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,,,9,,18,,DNF,02-malaysia,Turbo,,,pirelli,2014
marussia,jules-bianchi,17,ferrari,,,19,,8,,DNF,02-malaysia,Brakes,,,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,,,16,,7,,DNF,02-malaysia,Power unit,,,pirelli,2014
force-india,sergio-perez,11,mercedes,,,14,,,,DNS,02-malaysia,,,,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,,,2,,57,25,1,03-bahrain,,1:39:42.743,,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+1.085,,1,+1.085,57,18,2,03-bahrain,,1:39:43.828,,pirelli,2014
force-india,sergio-perez,11,mercedes,+24.067,,4,+22.982,57,15,3,03-bahrain,,1:40:06.810,,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+24.489,,13,+0.422,57,12,4,03-bahrain,,1:40:07.232,,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+28.654,,11,+4.165,57,10,5,03-bahrain,,1:40:11.397,,pirelli,2014
