driverId,points,position,race,year
nico-rosberg,25,1,01-australia,2014
kevin-magnussen,18,2,01-australia,2014
jenson-button,15,3,01-australia,2014
fernando-alonso,12,4,01-australia,2014
valtteri-bottas,10,5,01-australia,2014
nico-hulkenberg,8,6,01-australia,2014
kimi-raikkonen,6,7,01-australia,2014
jean-eric-vergne,4,8,01-australia,2014
daniil-kvyat,2,9,01-australia,2014
sergio-perez,1,10,01-australia,2014
adrian-sutil,0,11,01-australia,2014
esteban-gutierrez,0,12,01-australia,2014
max-chilton,0,13,01-australia,2014
nico-rosberg,43,1,02-malaysia,2014
lewis-hamilton,25,2,02-malaysia,2014
fernando-alonso,24,3,02-malaysia,2014
jenson-button,23,4,02-malaysia,2014
kevin-magnussen,20,5,02-malaysia,2014
nico-hulkenberg,18,6,02-malaysia,2014
sebastian-vettel,15,7,02-malaysia,2014
valtteri-bottas,14,8,02-malaysia,2014
kimi-raikkonen,6,9,02-malaysia,2014
felipe-massa,6,10,02-malaysia,2014
jean-eric-vergne,4,11,02-malaysia,2014
daniil-kvyat,3,12,02-malaysia,2014
sergio-perez,1,13,02-malaysia,2014
adrian-sutil,0,14,02-malaysia,2014
romain-grosjean,0,14,02-malaysia,2014
esteban-gutierrez,0,16,02-malaysia,2014
max-chilton,0,17,02-malaysia,2014
kamui-kobayashi,0,18,02-malaysia,2014
marcus-ericsson,0,19,02-malaysia,2014
nico-rosberg,61,1,03-bahrain,2014
lewis-hamilton,50,2,03-bahrain,2014
nico-hulkenberg,28,3,03-bahrain,2014
fernando-alonso,26,4,03-bahrain,2014
jenson-button,23,5,03-bahrain,2014
sebastian-vettel,23,6,03-bahrain,2014
kevin-magnussen,20,7,03-bahrain,2014
valtteri-bottas,18,8,03-bahrain,2014
sergio-perez,16,9,03-bahrain,2014
daniel-ricciardo,12,10,03-bahrain,2014
felipe-massa,12,11,03-bahrain,2014
kimi-raikkonen,7,12,03-bahrain,2014
jean-eric-vergne,4,13,03-bahrain,2014
daniil-kvyat,3,14,03-bahrain,2014
romain-grosjean,0,15,03-bahrain,2014
adrian-sutil,0,16,03-bahrain,2014
esteban-gutierrez,0,17,03-bahrain,2014
max-chilton,0,18,03-bahrain,2014
kamui-kobayashi,0,19,03-bahrain,2014
marcus-ericsson,0,20,03-bahrain,2014
pastor-maldonado,0,20,03-bahrain,2014
jules-bianchi,0,22,03-bahrain,2014
nico-rosberg,79,1,04-china,2014
lewis-hamilton,75,2,04-china,2014
fernando-alonso,41,3,04-china,2014
nico-hulkenberg,36,4,04-china,2014
sebastian-vettel,33,5,04-china,2014
daniel-ricciardo,24,6,04-china,2014
valtteri-bottas,24,7,04-china,2014
jenson-button,23,8,04-china,2014
kevin-magnussen,20,9,04-china,2014
sergio-perez,18,10,04-china,2014
felipe-massa,12,11,04-china,2014
kimi-raikkonen,11,12,04-china,2014
jean-eric-vergne,4,13,04-china,2014
daniil-kvyat,4,14,04-china,2014
romain-grosjean,0,15,04-china,2014
adrian-sutil,0,16,04-china,2014
esteban-gutierrez,0,17,04-china,2014
max-chilton,0,18,04-china,2014
kamui-kobayashi,0,19,04-china,2014
pastor-maldonado,0,20,04-china,2014
marcus-ericsson,0,21,04-china,2014
jules-bianchi,0,22,04-china,2014
lewis-hamilton,100,1,05-spain,2014
nico-rosberg,97,2,05-spain,2014
fernando-alonso,49,3,05-spain,2014
sebastian-vettel,45,4,05-spain,2014
daniel-ricciardo,39,5,05-spain,2014
nico-hulkenberg,37,6,05-spain,2014
valtteri-bottas,34,7,05-spain,2014
jenson-button,23,8,05-spain,2014
kevin-magnussen,20,9,05-spain,2014
sergio-perez,20,10,05-spain,2014
kimi-raikkonen,17,11,05-spain,2014
felipe-massa,12,12,05-spain,2014
romain-grosjean,4,13,05-spain,2014
jean-eric-vergne,4,14,05-spain,2014
daniil-kvyat,4,15,05-spain,2014
adrian-sutil,0,16,05-spain,2014
esteban-gutierrez,0,17,05-spain,2014
max-chilton,0,18,05-spain,2014
kamui-kobayashi,0,19,05-spain,2014
pastor-maldonado,0,20,05-spain,2014
marcus-ericsson,0,21,05-spain,2014
jules-bianchi,0,22,05-spain,2014
nico-rosberg,122,1,06-monaco,2014
lewis-hamilton,118,2,06-monaco,2014
fernando-alonso,61,3,06-monaco,2014
daniel-ricciardo,54,4,06-monaco,2014
nico-hulkenberg,47,5,06-monaco,2014
sebastian-vettel,45,6,06-monaco,2014
valtteri-bottas,34,7,06-monaco,2014
jenson-button,31,8,06-monaco,2014
kevin-magnussen,21,9,06-monaco,2014
sergio-perez,20,10,06-monaco,2014
felipe-massa,18,11,06-monaco,2014
kimi-raikkonen,17,12,06-monaco,2014
romain-grosjean,8,13,06-monaco,2014
jean-eric-vergne,4,14,06-monaco,2014
daniil-kvyat,4,15,06-monaco,2014
jules-bianchi,2,16,06-monaco,2014
marcus-ericsson,0,17,06-monaco,2014
adrian-sutil,0,18,06-monaco,2014
esteban-gutierrez,0,19,06-monaco,2014
max-chilton,0,20,06-monaco,2014
kamui-kobayashi,0,21,06-monaco,2014
pastor-maldonado,0,22,06-monaco,2014
nico-rosberg,140,1,07-canada,2014
lewis-hamilton,118,2,07-canada,2014
daniel-ricciardo,79,3,07-canada,2014
