constructorId,driverId,driverNumber,engineManufacturerId,lap,position,race,stop,time,tyreManufacturerId,year
mclaren,jenson-button,5,mercedes,4,1,01-australia,1,22.282,pirelli,2013
red-bull,mark-webber,2,renault,5,2,01-australia,1,24.240,pirelli,2013
lotus-f1,romain-grosjean,8,renault,5,3,01-australia,1,22.239,pirelli,2013
sauber,esteban-gutierrez,12,ferrari,5,4,01-australia,1,22.316,pirelli,2013
williams,valtteri-bottas,17,renault,6,5,01-australia,1,23.528,pirelli,2013
marussia,max-chilton,23,cosworth,6,6,01-australia,1,36.564,pirelli,2013
red-bull,sebastian-vettel,1,renault,7,7,01-australia,1,21.807,pirelli,2013
caterham,giedo-van-der-garde,21,renault,7,8,01-australia,1,24.104,pirelli,2013
ferrari,felipe-massa,4,ferrari,8,9,01-australia,1,21.754,pirelli,2013
force-india,paul-di-resta,14,mercedes,8,10,01-australia,1,23.010,pirelli,2013
caterham,charles-pic,20,renault,8,11,01-australia,1,23.394,pirelli,2013
ferrari,fernando-alonso,3,ferrari,9,12,01-australia,1,21.792,pirelli,2013
lotus-f1,kimi-raikkonen,7,renault,9,13,01-australia,1,22.709,pirelli,2013
toro-rosso,jean-eric-vergne,18,ferrari,9,14,01-australia,1,23.074,pirelli,2013
marussia,jules-bianchi,22,cosworth,9,15,01-australia,1,23.371,pirelli,2013
williams,pastor-maldonado,16,renault,10,16,01-australia,1,23.099,pirelli,2013
mercedes,lewis-hamilton,10,mercedes,13,17,01-australia,1,22.155,pirelli,2013
mercedes,nico-rosberg,9,mercedes,14,18,01-australia,1,22.274,pirelli,2013
toro-rosso,daniel-ricciardo,19,ferrari,15,19,01-australia,1,23.435,pirelli,2013
mclaren,sergio-perez,6,mercedes,16,20,01-australia,1,23.677,pirelli,2013
caterham,giedo-van-der-garde,21,renault,16,21,01-australia,2,23.834,pirelli,2013
red-bull,mark-webber,2,renault,18,22,01-australia,2,21.717,pirelli,2013
lotus-f1,romain-grosjean,8,renault,19,23,01-australia,2,22.133,pirelli,2013
marussia,max-chilton,23,cosworth,19,24,01-australia,2,30.838,pirelli,2013
ferrari,fernando-alonso,3,ferrari,20,25,01-australia,2,21.606,pirelli,2013
mclaren,jenson-button,5,mercedes,20,26,01-australia,2,23.571,pirelli,2013
force-india,adrian-sutil,15,mercedes,21,27,01-australia,1,22.693,pirelli,2013
red-bull,sebastian-vettel,1,renault,21,28,01-australia,2,22.704,pirelli,2013
ferrari,felipe-massa,4,ferrari,23,29,01-australia,2,21.511,pirelli,2013
mclaren,sergio-perez,6,mercedes,23,30,01-australia,2,22.004,pirelli,2013
toro-rosso,jean-eric-vergne,18,ferrari,24,31,01-australia,2,24.688,pirelli,2013
williams,valtteri-bottas,17,renault,24,32,01-australia,2,23.215,pirelli,2013
sauber,esteban-gutierrez,12,ferrari,27,33,01-australia,2,22.315,pirelli,2013
marussia,jules-bianchi,22,cosworth,27,34,01-australia,2,23.387,pirelli,2013
toro-rosso,daniel-ricciardo,19,ferrari,30,35,01-australia,2,24.177,pirelli,2013
mercedes,lewis-hamilton,10,mercedes,31,36,01-australia,2,22.015,pirelli,2013
force-india,paul-di-resta,14,mercedes,33,37,01-australia,2,23.051,pirelli,2013
lotus-f1,kimi-raikkonen,7,renault,34,38,01-australia,2,22.181,pirelli,2013
caterham,charles-pic,20,renault,33,39,01-australia,2,23.509,pirelli,2013
caterham,giedo-van-der-garde,21,renault,34,40,01-australia,3,23.917,pirelli,2013
marussia,max-chilton,23,cosworth,34,41,01-australia,3,22.948,pirelli,2013
ferrari,felipe-massa,4,ferrari,36,42,01-australia,3,21.509,pirelli,2013
red-bull,sebastian-vettel,1,renault,37,43,01-australia,3,21.596,pirelli,2013
mclaren,jenson-button,5,mercedes,37,44,01-australia,3,21.538,pirelli,2013
lotus-f1,romain-grosjean,8,renault,37,45,01-australia,3,22.534,pirelli,2013
red-bull,mark-webber,2,renault,38,46,01-australia,3,21.515,pirelli,2013
ferrari,fernando-alonso,3,ferrari,39,47,01-australia,3,21.704,pirelli,2013
williams,valtteri-bottas,17,renault,40,48,01-australia,3,24.060,pirelli,2013
mclaren,sergio-perez,6,mercedes,41,49,01-australia,3,21.705,pirelli,2013
mercedes,lewis-hamilton,10,mercedes,42,50,01-australia,3,21.778,pirelli,2013
toro-rosso,jean-eric-vergne,18,ferrari,44,51,01-australia,3,23.160,pirelli,2013
force-india,adrian-sutil,15,mercedes,46,52,01-australia,2,22.749,pirelli,2013
marussia,jules-bianchi,22,cosworth,50,53,01-australia,3,22.669,pirelli,2013
red-bull,sebastian-vettel,1,renault,5,1,02-malaysia,1,21.135,pirelli,2013
ferrari,felipe-massa,4,ferrari,5,2,02-malaysia,1,22.403,pirelli,2013
force-india,adrian-sutil,15,mercedes,6,3,02-malaysia,1,37.833,pirelli,2013
toro-rosso,daniel-ricciardo,19,ferrari,6,4,02-malaysia,1,22.416,pirelli,2013
force-india,paul-di-resta,14,mercedes,6,5,02-malaysia,1,43.713,pirelli,2013
lotus-f1,kimi-raikkonen,7,renault,6,6,02-malaysia,1,25.905,pirelli,2013
williams,pastor-maldonado,16,renault,6,7,02-malaysia,1,24.737,pirelli,2013
caterham,giedo-van-der-garde,21,renault,6,8,02-malaysia,1,23.252,pirelli,2013
marussia,jules-bianchi,22,cosworth,6,9,02-malaysia,1,26.546,pirelli,2013
williams,valtteri-bottas,17,renault,6,10,02-malaysia,1,24.960,pirelli,2013
marussia,max-chilton,23,cosworth,6,11,02-malaysia,1,30.365,pirelli,2013
red-bull,mark-webber,2,renault,7,12,02-malaysia,1,21.010,pirelli,2013
mercedes,lewis-hamilton,10,mercedes,7,13,02-malaysia,1,24.933,pirelli,2013
mclaren,jenson-button,5,mercedes,7,14,02-malaysia,1,22.448,pirelli,2013
sauber,nico-hulkenberg,11,ferrari,7,15,02-malaysia,1,22.996,pirelli,2013
mclaren,sergio-perez,6,mercedes,7,16,02-malaysia,1,21.583,pirelli,2013
lotus-f1,romain-grosjean,8,renault,7,17,02-malaysia,1,22.105,pirelli,2013
sauber,esteban-gutierrez,12,ferrari,7,18,02-malaysia,1,24.397,pirelli,2013
toro-rosso,jean-eric-vergne,18,ferrari,7,19,02-malaysia,1,49.216,pirelli,2013
caterham,charles-pic,20,renault,7,20,02-malaysia,1,44.428,pirelli,2013
mercedes,nico-rosberg,9,mercedes,8,21,02-malaysia,1,22.028,pirelli,2013
williams,pastor-maldonado,16,renault,13,22,02-malaysia,2,32.561,pirelli,2013
marussia,jules-bianchi,22,cosworth,17,23,02-malaysia,2,23.755,pirelli,2013
caterham,giedo-van-der-garde,21,renault,18,24,02-malaysia,2,22.706,pirelli,2013
red-bull,mark-webber,2,renault,19,25,02-malaysia,2,20.736,pirelli,2013
toro-rosso,daniel-ricciardo,19,ferrari,19,26,02-malaysia,2,22.388,pirelli,2013
marussia,max-chilton,23,cosworth,19,27,02-malaysia,2,22.668,pirelli,2013
