driverId,points,position,race,year
valtteri-bottas,26,1,01-australia,2019
lewis-hamilton,18,2,01-australia,2019
max-verstappen,15,3,01-australia,2019
sebastian-vettel,12,4,01-australia,2019
charles-leclerc,10,5,01-australia,2019
kevin-magnussen,8,6,01-australia,2019
nico-hulkenberg,6,7,01-australia,2019
kimi-raikkonen,4,8,01-australia,2019
lance-stroll,2,9,01-australia,2019
daniil-kvyat,1,10,01-australia,2019
pierre-gasly,0,11,01-australia,2019
lando-norris,0,12,01-australia,2019
sergio-perez,0,13,01-australia,2019
alexander-albon,0,14,01-australia,2019
antonio-giovinazzi,0,15,01-australia,2019
george-russell,0,16,01-australia,2019
robert-kubica,0,17,01-australia,2019
valtteri-bottas,44,1,02-bahrain,2019
lewis-hamilton,43,2,02-bahrain,2019
max-verstappen,27,3,02-bahrain,2019
charles-leclerc,26,4,02-bahrain,2019
sebastian-vettel,22,5,02-bahrain,2019
kimi-raikkonen,10,6,02-bahrain,2019
lando-norris,8,7,02-bahrain,2019
kevin-magnussen,8,8,02-bahrain,2019
nico-hulkenberg,6,9,02-bahrain,2019
pierre-gasly,4,10,02-bahrain,2019
alexander-albon,2,11,02-bahrain,2019
lance-stroll,2,11,02-bahrain,2019
daniil-kvyat,1,13,02-bahrain,2019
sergio-perez,1,14,02-bahrain,2019
antonio-giovinazzi,0,15,02-bahrain,2019
george-russell,0,16,02-bahrain,2019
robert-kubica,0,17,02-bahrain,2019
daniel-ricciardo,0,18,02-bahrain,2019
carlos-sainz-jr,0,19,02-bahrain,2019
lewis-hamilton,68,1,03-china,2019
valtteri-bottas,62,2,03-china,2019
max-verstappen,39,3,03-china,2019
sebastian-vettel,37,4,03-china,2019
charles-leclerc,36,5,03-china,2019
pierre-gasly,13,6,03-china,2019
kimi-raikkonen,12,7,03-china,2019
lando-norris,8,8,03-china,2019
kevin-magnussen,8,9,03-china,2019
nico-hulkenberg,6,10,03-china,2019
daniel-ricciardo,6,11,03-china,2019
sergio-perez,5,12,03-china,2019
alexander-albon,3,13,03-china,2019
lance-stroll,2,14,03-china,2019
daniil-kvyat,1,15,03-china,2019
antonio-giovinazzi,0,16,03-china,2019
romain-grosjean,0,17,03-china,2019
carlos-sainz-jr,0,18,03-china,2019
george-russell,0,19,03-china,2019
robert-kubica,0,20,03-china,2019
valtteri-bottas,87,1,04-azerbaijan,2019
lewis-hamilton,86,2,04-azerbaijan,2019
sebastian-vettel,52,3,04-azerbaijan,2019
max-verstappen,51,4,04-azerbaijan,2019
charles-leclerc,47,5,04-azerbaijan,2019
sergio-perez,13,6,04-azerbaijan,2019
pierre-gasly,13,7,04-azerbaijan,2019
kimi-raikkonen,13,8,04-azerbaijan,2019
lando-norris,12,9,04-azerbaijan,2019
kevin-magnussen,8,10,04-azerbaijan,2019
nico-hulkenberg,6,11,04-azerbaijan,2019
carlos-sainz-jr,6,12,04-azerbaijan,2019
daniel-ricciardo,6,13,04-azerbaijan,2019
lance-stroll,4,14,04-azerbaijan,2019
alexander-albon,3,15,04-azerbaijan,2019
daniil-kvyat,1,16,04-azerbaijan,2019
antonio-giovinazzi,0,17,04-azerbaijan,2019
romain-grosjean,0,18,04-azerbaijan,2019
george-russell,0,19,04-azerbaijan,2019
robert-kubica,0,20,04-azerbaijan,2019
lewis-hamilton,112,1,05-spain,2019
valtteri-bottas,105,2,05-spain,2019
max-verstappen,66,3,05-spain,2019
sebastian-vettel,64,4,05-spain,2019
charles-leclerc,57,5,05-spain,2019
pierre-gasly,21,6,05-spain,2019
kevin-magnussen,14,7,05-spain,2019
sergio-perez,13,8,05-spain,2019
kimi-raikkonen,13,9,05-spain,2019
lando-norris,12,10,05-spain,2019
carlos-sainz-jr,10,11,05-spain,2019
daniel-ricciardo,6,12,05-spain,2019
nico-hulkenberg,6,13,05-spain,2019
lance-stroll,4,14,05-spain,2019
alexander-albon,3,15,05-spain,2019
daniil-kvyat,3,16,05-spain,2019
romain-grosjean,1,17,05-spain,2019
antonio-giovinazzi,0,18,05-spain,2019
george-russell,0,19,05-spain,2019
robert-kubica,0,20,05-spain,2019
lewis-hamilton,137,1,06-monaco,2019
valtteri-bottas,120,2,06-monaco,2019
sebastian-vettel,82,3,06-monaco,2019
max-verstappen,78,4,06-monaco,2019
charles-leclerc,57,5,06-monaco,2019
pierre-gasly,32,6,06-monaco,2019
carlos-sainz-jr,18,7,06-monaco,2019
kevin-magnussen,14,8,06-monaco,2019
sergio-perez,13,9,06-monaco,2019
kimi-raikkonen,13,10,06-monaco,2019
lando-norris,12,11,06-monaco,2019
daniil-kvyat,9,12,06-monaco,2019
daniel-ricciardo,8,13,06-monaco,2019
alexander-albon,7,14,06-monaco,2019
nico-hulkenberg,6,15,06-monaco,2019
lance-stroll,4,16,06-monaco,2019
romain-grosjean,2,17,06-monaco,2019
antonio-giovinazzi,0,18,06-monaco,2019
george-russell,0,19,06-monaco,2019
robert-kubica,0,20,06-monaco,2019
lewis-hamilton,162,1,07-canada,2019
valtteri-bottas,133,2,07-canada,2019
sebastian-vettel,100,3,07-canada,2019
max-verstappen,88,4,07-canada,2019
charles-leclerc,72,5,07-canada,2019
pierre-gasly,36,6,07-canada,2019
carlos-sainz-jr,18,7,07-canada,2019
daniel-ricciardo,16,8,07-canada,2019
kevin-magnussen,14,9,07-canada,2019
sergio-perez,13,10,07-canada,2019
kimi-raikkonen,13,11,07-canada,2019
lando-norris,12,12,07-canada,2019
nico-hulkenberg,12,13,07-canada,2019
daniil-kvyat,10,14,07-canada,2019
alexander-albon,7,15,07-canada,2019
