driverId,points,position,race,year
sebastian-vettel,25,1,01-australia,2018
lewis-hamilton,18,2,01-australia,2018
kimi-raikkonen,15,3,01-australia,2018
daniel-ricciardo,12,4,01-australia,2018
fernando-alonso,10,5,01-australia,2018
max-verstappen,8,6,01-australia,2018
nico-hulkenberg,6,7,01-australia,2018
valtteri-bottas,4,8,01-australia,2018
stoffel-vandoorne,2,9,01-australia,2018
carlos-sainz-jr,1,10,01-australia,2018
sergio-perez,0,11,01-australia,2018
esteban-ocon,0,12,01-australia,2018
charles-leclerc,0,13,01-australia,2018
lance-stroll,0,14,01-australia,2018
brendon-hartley,0,15,01-australia,2018
sebastian-vettel,50,1,02-bahrain,2018
lewis-hamilton,33,2,02-bahrain,2018
valtteri-bottas,22,3,02-bahrain,2018
fernando-alonso,16,4,02-bahrain,2018
kimi-raikkonen,15,5,02-bahrain,2018
nico-hulkenberg,14,6,02-bahrain,2018
daniel-ricciardo,12,7,02-bahrain,2018
pierre-gasly,12,7,02-bahrain,2018
kevin-magnussen,10,9,02-bahrain,2018
max-verstappen,8,10,02-bahrain,2018
stoffel-vandoorne,6,11,02-bahrain,2018
marcus-ericsson,2,12,02-bahrain,2018
carlos-sainz-jr,1,13,02-bahrain,2018
esteban-ocon,1,14,02-bahrain,2018
sergio-perez,0,15,02-bahrain,2018
charles-leclerc,0,16,02-bahrain,2018
romain-grosjean,0,17,02-bahrain,2018
lance-stroll,0,18,02-bahrain,2018
brendon-hartley,0,19,02-bahrain,2018
sergey-sirotkin,0,20,02-bahrain,2018
sebastian-vettel,54,1,03-china,2018
lewis-hamilton,45,2,03-china,2018
valtteri-bottas,40,3,03-china,2018
daniel-ricciardo,37,4,03-china,2018
kimi-raikkonen,30,5,03-china,2018
fernando-alonso,22,6,03-china,2018
nico-hulkenberg,22,7,03-china,2018
max-verstappen,18,8,03-china,2018
pierre-gasly,12,9,03-china,2018
kevin-magnussen,11,10,03-china,2018
stoffel-vandoorne,6,11,03-china,2018
carlos-sainz-jr,3,12,03-china,2018
marcus-ericsson,2,13,03-china,2018
esteban-ocon,1,14,03-china,2018
sergio-perez,0,15,03-china,2018
charles-leclerc,0,16,03-china,2018
romain-grosjean,0,17,03-china,2018
lance-stroll,0,18,03-china,2018
sergey-sirotkin,0,19,03-china,2018
brendon-hartley,0,20,03-china,2018
lewis-hamilton,70,1,04-azerbaijan,2018
sebastian-vettel,66,2,04-azerbaijan,2018
kimi-raikkonen,48,3,04-azerbaijan,2018
valtteri-bottas,40,4,04-azerbaijan,2018
daniel-ricciardo,37,5,04-azerbaijan,2018
fernando-alonso,28,6,04-azerbaijan,2018
nico-hulkenberg,22,7,04-azerbaijan,2018
