constructorId,driverId,driverNumber,engineManufacturerId,gap,grandSlam,gridPosition,interval,laps,points,position,race,reasonRetired,time,timePenalty,tyreManufacturerId,year
lotus-f1,kimi-raikkonen,7,renault,,,7,,58,25,1,01-australia,,1:30:03.225,,pirelli,2013
ferrari,fernando-alonso,3,ferrari,+12.451,,5,+12.451,58,18,2,01-australia,,1:30:15.676,,pirelli,2013
red-bull,sebastian-vettel,1,renault,+22.346,,1,+9.895,58,15,3,01-australia,,1:30:25.571,,pirelli,2013
ferrari,felipe-massa,4,ferrari,+33.577,,4,+11.231,58,12,4,01-australia,,1:30:36.802,,pirelli,2013
mercedes,lewis-hamilton,10,mercedes,+45.561,,3,+11.984,58,10,5,01-australia,,1:30:48.786,,pirelli,2013
red-bull,mark-webber,2,renault,+46.800,,2,+1.239,58,8,6,01-australia,,1:30:50.025,,pirelli,2013
force-india,adrian-sutil,15,mercedes,+1:05.068,,12,+18.268,58,6,7,01-australia,,1:31:08.293,,pirelli,2013
force-india,paul-di-resta,14,mercedes,+1:08.449,,9,+3.381,58,4,8,01-australia,,1:31:11.674,,pirelli,2013
mclaren,jenson-button,5,mercedes,+1:21.630,,10,+13.181,58,2,9,01-australia,,1:31:24.855,,pirelli,2013
lotus-f1,romain-grosjean,8,renault,+1:22.759,,8,+1.129,58,1,10,01-australia,,1:31:25.984,,pirelli,2013
mclaren,sergio-perez,6,mercedes,+1:23.367,,15,+0.608,58,,11,01-australia,,1:31:26.592,,pirelli,2013
toro-rosso,jean-eric-vergne,18,ferrari,+1:23.857,,13,+0.490,58,,12,01-australia,,1:31:27.082,,pirelli,2013
sauber,esteban-gutierrez,12,ferrari,+1 lap,,18,,57,,13,01-australia,,,,pirelli,2013
williams,valtteri-bottas,17,renault,+1 lap,,16,,57,,14,01-australia,,,,pirelli,2013
marussia,jules-bianchi,22,cosworth,+1 lap,,19,,57,,15,01-australia,,,,pirelli,2013
caterham,charles-pic,20,renault,+2 laps,,22,,56,,16,01-australia,,,,pirelli,2013
marussia,max-chilton,23,cosworth,+2 laps,,20,,56,,17,01-australia,,,,pirelli,2013
caterham,giedo-van-der-garde,21,renault,+2 laps,,21,,56,,18,01-australia,,,,pirelli,2013
toro-rosso,daniel-ricciardo,19,ferrari,,,14,,39,,DNF,01-australia,Exhaust,,,pirelli,2013
mercedes,nico-rosberg,9,mercedes,,,6,,26,,DNF,01-australia,Electrical,,,pirelli,2013
williams,pastor-maldonado,16,renault,,,17,,24,,DNF,01-australia,Spun off,,,pirelli,2013
sauber,nico-hulkenberg,11,ferrari,,,11,,,,DNS,01-australia,Fuel system,,,pirelli,2013
red-bull,sebastian-vettel,1,renault,,,1,,56,25,1,02-malaysia,,1:38:56.681,,pirelli,2013
red-bull,mark-webber,2,renault,+4.298,,5,+4.298,56,18,2,02-malaysia,,1:39:00.979,,pirelli,2013
mercedes,lewis-hamilton,10,mercedes,+12.181,,4,+7.883,56,15,3,02-malaysia,,1:39:08.862,,pirelli,2013
mercedes,nico-rosberg,9,mercedes,+12.640,,6,+0.459,56,12,4,02-malaysia,,1:39:09.321,,pirelli,2013
ferrari,felipe-massa,4,ferrari,+25.648,,2,+13.008,56,10,5,02-malaysia,,1:39:22.329,,pirelli,2013
lotus-f1,romain-grosjean,8,renault,+35.564,,11,+9.916,56,8,6,02-malaysia,,1:39:32.245,,pirelli,2013
lotus-f1,kimi-raikkonen,7,renault,+48.479,,10,+12.915,56,6,7,02-malaysia,,1:39:45.160,,pirelli,2013
sauber,nico-hulkenberg,11,ferrari,+53.044,,12,+4.565,56,4,8,02-malaysia,,1:39:49.725,,pirelli,2013
mclaren,sergio-perez,6,mercedes,+1:12.357,,9,+19.313,56,2,9,02-malaysia,,1:40:09.038,,pirelli,2013
toro-rosso,jean-eric-vergne,18,ferrari,+1:27.124,,17,+14.767,56,1,10,02-malaysia,,1:40:23.805,,pirelli,2013
williams,valtteri-bottas,17,renault,+1:28.610,,18,+1.486,56,,11,02-malaysia,,1:40:25.291,,pirelli,2013
sauber,esteban-gutierrez,12,ferrari,+1 lap,,14,,55,,12,02-malaysia,,,,pirelli,2013
marussia,jules-bianchi,22,cosworth,+1 lap,,19,,55,,13,02-malaysia,,,,pirelli,2013
caterham,charles-pic,20,renault,+1 lap,,20,,55,,14,02-malaysia,,,,pirelli,2013
caterham,giedo-van-der-garde,21,renault,+1 lap,,22,,55,,15,02-malaysia,,,,pirelli,2013
marussia,max-chilton,23,cosworth,+2 laps,,21,,54,,16,02-malaysia,,,,pirelli,2013
mclaren,jenson-button,5,mercedes,,,7,,53,,17,02-malaysia,Wheel,,,pirelli,2013
toro-rosso,daniel-ricciardo,19,ferrari,,,13,,51,,18,02-malaysia,Exhaust,,,pirelli,2013
williams,pastor-maldonado,16,renault,,,16,,45,,DNF,02-malaysia,KERS failure,,,pirelli,2013
force-india,adrian-sutil,15,mercedes,,,8,,27,,DNF,02-malaysia,Wheel nut,,,pirelli,2013
force-india,paul-di-resta,14,mercedes,,,15,,22,,DNF,02-malaysia,Wheel nut,,,pirelli,2013
ferrari,fernando-alonso,3,ferrari,,,3,,1,,DNF,02-malaysia,Collision damage,,,pirelli,2013
