constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,laps,position,q1,q2,q3,race,tyreManufacturerId,year
red-bull,sebastian-vettel,1,renault,,,27,1,1:44.657,1:36.745,1:27.407,01-australia,pirelli,2013
red-bull,mark-webber,2,renault,+0.420,+0.420,26,2,1:44.472,1:36.524,1:27.827,01-australia,pirelli,2013
mercedes,lewis-hamilton,10,mercedes,+0.680,+0.260,29,3,1:45.456,1:36.625,1:28.087,01-australia,pirelli,2013
ferrari,felipe-massa,4,ferrari,+1.083,+0.403,23,4,1:44.635,1:36.666,1:28.490,01-australia,pirelli,2013
ferrari,fernando-alonso,3,ferrari,+1.086,+0.003,26,5,1:43.850,1:36.691,1:28.493,01-australia,pirelli,2013
mercedes,nico-rosberg,9,mercedes,+1.116,+0.030,28,6,1:43.380,1:36.194,1:28.523,01-australia,pirelli,2013
lotus-f1,kimi-raikkonen,7,renault,+1.331,+0.215,27,7,1:45.545,1:37.517,1:28.738,01-australia,pirelli,2013
lotus-f1,romain-grosjean,8,renault,+1.606,+0.275,25,8,1:44.284,1:37.641,1:29.013,01-australia,pirelli,2013
force-india,paul-di-resta,14,mercedes,+1.898,+0.292,23,9,1:45.601,1:36.901,1:29.305,01-australia,pirelli,2013
mclaren,jenson-button,5,mercedes,+2.950,+1.052,24,10,1:44.688,1:36.644,1:30.357,01-australia,pirelli,2013
sauber,nico-hulkenberg,11,ferrari,,,19,11,1:45.930,1:38.067,,01-australia,pirelli,2013
force-india,adrian-sutil,15,mercedes,,,19,12,1:47.330,1:38.134,,01-australia,pirelli,2013
toro-rosso,jean-eric-vergne,18,ferrari,,,19,13,1:44.871,1:38.778,,01-australia,pirelli,2013
toro-rosso,daniel-ricciardo,19,ferrari,,,20,14,1:46.450,1:39.042,,01-australia,pirelli,2013
mclaren,sergio-perez,6,mercedes,,,18,15,1:44.300,1:39.900,,01-australia,pirelli,2013
williams,valtteri-bottas,17,renault,,,19,16,1:47.328,1:40.290,,01-australia,pirelli,2013
williams,pastor-maldonado,16,renault,,,11,17,1:47.614,,,01-australia,pirelli,2013
sauber,esteban-gutierrez,12,ferrari,,,10,18,1:47.776,,,01-australia,pirelli,2013
marussia,jules-bianchi,22,cosworth,,,11,19,1:48.147,,,01-australia,pirelli,2013
marussia,max-chilton,23,cosworth,,,11,20,1:48.909,,,01-australia,pirelli,2013
caterham,giedo-van-der-garde,21,renault,,,11,21,1:49.519,,,01-australia,pirelli,2013
caterham,charles-pic,20,renault,,,10,NC,1:50.626,,,01-australia,pirelli,2013
red-bull,sebastian-vettel,1,renault,,,13,1,1:37.899,1:37.245,1:49.674,02-malaysia,pirelli,2013
ferrari,felipe-massa,4,ferrari,+0.913,+0.913,15,2,1:37.712,1:36.874,1:50.587,02-malaysia,pirelli,2013
ferrari,fernando-alonso,3,ferrari,+1.053,+0.140,14,3,1:37.314,1:36.877,1:50.727,02-malaysia,pirelli,2013
mercedes,lewis-hamilton,10,mercedes,+2.025,+0.972,15,4,1:37.513,1:36.517,1:51.699,02-malaysia,pirelli,2013
red-bull,mark-webber,2,renault,+2.570,+0.545,14,5,1:37.619,1:36.449,1:52.244,02-malaysia,pirelli,2013
mercedes,nico-rosberg,9,mercedes,+2.845,+0.275,14,6,1:37.239,1:36.190,1:52.519,02-malaysia,pirelli,2013
lotus-f1,kimi-raikkonen,7,renault,+3.296,+0.451,12,7,1:36.959,1:36.640,1:52.970,02-malaysia,pirelli,2013
mclaren,jenson-button,5,mercedes,+3.501,+0.205,14,8,1:37.487,1:37.117,1:53.175,02-malaysia,pirelli,2013
force-india,adrian-sutil,15,mercedes,+3.765,+0.264,12,9,1:36.809,1:36.834,1:53.439,02-malaysia,pirelli,2013
mclaren,sergio-perez,6,mercedes,+4.462,+0.697,16,10,1:37.702,1:37.342,1:54.136,02-malaysia,pirelli,2013
lotus-f1,romain-grosjean,8,renault,,,7,11,1:37.363,1:37.636,,02-malaysia,pirelli,2013
sauber,nico-hulkenberg,11,ferrari,,,12,12,1:37.931,1:38.125,,02-malaysia,pirelli,2013
toro-rosso,daniel-ricciardo,19,ferrari,,,12,13,1:37.722,1:38.822,,02-malaysia,pirelli,2013
sauber,esteban-gutierrez,12,ferrari,,,14,14,1:37.707,1:39.221,,02-malaysia,pirelli,2013
force-india,paul-di-resta,14,mercedes,,,10,15,1:37.493,1:44.509,,02-malaysia,pirelli,2013
williams,pastor-maldonado,16,renault,,,10,16,1:37.867,,,02-malaysia,pirelli,2013
toro-rosso,jean-eric-vergne,18,ferrari,,,8,17,1:38.157,,,02-malaysia,pirelli,2013
williams,valtteri-bottas,17,renault,,,7,18,1:38.207,,,02-malaysia,pirelli,2013
marussia,jules-bianchi,22,cosworth,,,8,19,1:38.434,,,02-malaysia,pirelli,2013
caterham,charles-pic,20,renault,,,6,20,1:39.314,,,02-malaysia,pirelli,2013
marussia,max-chilton,23,cosworth,,,8,21,1:39.672,,,02-malaysia,pirelli,2013
caterham,giedo-van-der-garde,21,renault,,,6,22,1:39.932,,,02-malaysia,pirelli,2013
mercedes,lewis-hamilton,10,mercedes,,,9,1,1:35.793,1:35.078,1:34.484,03-china,pirelli,2013
lotus-f1,kimi-raikkonen,7,renault,+0.277,+0.277,11,2,1:37.046,1:35.659,1:34.761,03-china,pirelli,2013
ferrari,fernando-alonso,3,ferrari,+0.304,+0.027,12,3,1:36.253,1:35.148,1:34.788,03-china,pirelli,2013
mercedes,nico-rosberg,9,mercedes,+0.377,+0.073,9,4,1:35.959,1:35.537,1:34.861,03-china,pirelli,2013
ferrari,felipe-massa,4,ferrari,+0.449,+0.072,12,5,1:35.972,1:35.403,1:34.933,03-china,pirelli,2013
lotus-f1,romain-grosjean,8,renault,+0.880,+0.431,9,6,1:36.929,1:36.065,1:35.364,03-china,pirelli,2013
toro-rosso,daniel-ricciardo,19,ferrari,+1.514,+0.634,15,7,1:36.993,1:36.258,1:35.998,03-china,pirelli,2013
mclaren,jenson-button,5,mercedes,+31.189,+29.675,12,8,1:36.667,1:35.784,2:05.673,03-china,pirelli,2013
red-bull,sebastian-vettel,1,renault,,,13,9,1:36.537,1:35.343,,03-china,pirelli,2013
sauber,nico-hulkenberg,11,ferrari,,,11,10,1:36.985,1:36.261,,03-china,pirelli,2013
force-india,paul-di-resta,14,mercedes,,,9,11,1:37.478,1:36.287,,03-china,pirelli,2013
mclaren,sergio-perez,6,mercedes,,,10,12,1:36.952,1:36.314,,03-china,pirelli,2013
force-india,adrian-sutil,15,mercedes,,,11,13,1:37.349,1:36.405,,03-china,pirelli,2013
red-bull,mark-webber,2,renault,,,6,14,1:36.148,1:36.679,,03-china,pirelli,2013
