constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,lap,position,race,time,tyreManufacturerId,year
ferrari,kimi-raikkonen,7,ferrari,,,56,1,01-australia,1:26.538,pirelli,2017
mercedes,valtteri-bottas,77,mercedes,+0.055,+0.055,56,2,01-australia,1:26.593,pirelli,2017
ferrari,sebastian-vettel,5,ferrari,+0.100,+0.045,53,3,01-australia,1:26.638,pirelli,2017
toro-rosso,daniil-kvyat,26,toro-rosso,+0.173,+0.073,51,4,01-australia,1:26.711,pirelli,2017
red-bull,max-verstappen,33,tag-heuer,+0.426,+0.253,43,5,01-australia,1:26.964,pirelli,2017
mercedes,lewis-hamilton,44,mercedes,+0.495,+0.069,44,6,01-australia,1:27.033,pirelli,2017
haas,kevin-magnussen,20,ferrari,+1.030,+0.535,46,7,01-australia,1:27.568,pirelli,2017
toro-rosso,carlos-sainz-jr,55,toro-rosso,+1.139,+0.109,53,8,01-australia,1:27.677,pirelli,2017
williams,felipe-massa,19,mercedes,+1.507,+0.368,49,9,01-australia,1:28.045,pirelli,2017
force-india,sergio-perez,11,mercedes,+1.798,+0.291,56,10,01-australia,1:28.336,pirelli,2017
force-india,esteban-ocon,31,mercedes,+1.937,+0.139,55,11,01-australia,1:28.475,pirelli,2017
renault,nico-hulkenberg,27,renault,+1.948,+0.011,55,12,01-australia,1:28.486,pirelli,2017
sauber,antonio-giovinazzi,36,ferrari,+2.514,+0.566,51,13,01-australia,1:29.052,pirelli,2017
williams,lance-stroll,18,mercedes,+2.851,+0.337,38,14,01-australia,1:29.389,pirelli,2017
mclaren,stoffel-vandoorne,2,honda,+2.902,+0.051,53,15,01-australia,1:29.440,pirelli,2017
red-bull,daniel-ricciardo,3,tag-heuer,+2.909,+0.007,21,16,01-australia,1:29.447,pirelli,2017
mclaren,fernando-alonso,14,honda,+3.539,+0.630,48,17,01-australia,1:30.077,pirelli,2017
haas,romain-grosjean,8,ferrari,+3.645,+0.106,12,18,01-australia,1:30.183,pirelli,2017
sauber,marcus-ericsson,9,ferrari,+5.514,+1.869,18,19,01-australia,1:32.052,pirelli,2017
renault,jolyon-palmer,30,renault,+5.657,+0.143,6,20,01-australia,1:32.195,pirelli,2017
mercedes,lewis-hamilton,44,mercedes,,,44,1,02-china,1:35.378,pirelli,2017
ferrari,sebastian-vettel,5,ferrari,+0.045,+0.045,40,2,02-china,1:35.423,pirelli,2017
mercedes,valtteri-bottas,77,mercedes,+0.471,+0.426,41,3,02-china,1:35.849,pirelli,2017
ferrari,kimi-raikkonen,7,ferrari,+0.625,+0.154,42,4,02-china,1:36.003,pirelli,2017
williams,felipe-massa,19,mercedes,+1.133,+0.508,50,5,02-china,1:36.511,pirelli,2017
force-india,sergio-perez,11,mercedes,+1.153,+0.020,55,6,02-china,1:36.531,pirelli,2017
red-bull,max-verstappen,33,tag-heuer,+1.344,+0.191,31,7,02-china,1:36.722,pirelli,2017
red-bull,daniel-ricciardo,3,tag-heuer,+1.413,+0.069,36,8,02-china,1:36.791,pirelli,2017
force-india,esteban-ocon,31,mercedes,+1.658,+0.245,55,9,02-china,1:37.036,pirelli,2017
toro-rosso,carlos-sainz-jr,55,toro-rosso,+2.020,+0.362,30,10,02-china,1:37.398,pirelli,2017
haas,kevin-magnussen,20,ferrari,+2.150,+0.130,35,11,02-china,1:37.528,pirelli,2017
haas,romain-grosjean,8,ferrari,+2.173,+0.023,50,12,02-china,1:37.551,pirelli,2017
renault,nico-hulkenberg,27,renault,+2.637,+0.464,36,13,02-china,1:38.015,pirelli,2017
renault,jolyon-palmer,30,renault,+2.803,+0.166,47,14,02-china,1:38.181,pirelli,2017
mclaren,fernando-alonso,14,honda,+4.118,+1.315,31,15,02-china,1:39.496,pirelli,2017
sauber,marcus-ericsson,9,ferrari,+4.354,+0.236,50,16,02-china,1:39.732,pirelli,2017
toro-rosso,daniil-kvyat,26,toro-rosso,+4.712,+0.358,18,17,02-china,1:40.090,pirelli,2017
mclaren,stoffel-vandoorne,2,honda,+6.082,+1.370,15,18,02-china,1:41.460,pirelli,2017
mercedes,lewis-hamilton,44,mercedes,,,46,1,03-bahrain,1:32.798,pirelli,2017
red-bull,daniel-ricciardo,3,tag-heuer,+0.697,+0.697,42,2,03-bahrain,1:33.495,pirelli,2017
ferrari,kimi-raikkonen,7,ferrari,+0.922,+0.225,55,3,03-bahrain,1:33.720,pirelli,2017
ferrari,sebastian-vettel,5,ferrari,+1.028,+0.106,36,4,03-bahrain,1:33.826,pirelli,2017
mercedes,valtteri-bottas,77,mercedes,+1.289,+0.261,33,5,03-bahrain,1:34.087,pirelli,2017
williams,felipe-massa,19,mercedes,+1.458,+0.169,39,6,03-bahrain,1:34.256,pirelli,2017
force-india,sergio-perez,11,mercedes,+1.811,+0.353,39,7,03-bahrain,1:34.609,pirelli,2017
haas,romain-grosjean,8,ferrari,+2.150,+0.339,33,8,03-bahrain,1:34.948,pirelli,2017
toro-rosso,daniil-kvyat,26,toro-rosso,+2.187,+0.037,45,9,03-bahrain,1:34.985,pirelli,2017
sauber,marcus-ericsson,9,ferrari,+2.288,+0.101,35,10,03-bahrain,1:35.086,pirelli,2017
