constructorId,engineManufacturerId,points,position,race,year
mercedes,mercedes,44,1,01-australia,2019
ferrari,ferrari,22,2,01-australia,2019
red-bull,honda,15,3,01-australia,2019
haas,ferrari,8,4,01-australia,2019
renault,renault,6,5,01-australia,2019
alfa-romeo,ferrari,4,6,01-australia,2019
racing-point,bwt-mercedes,2,7,01-australia,2019
toro-rosso,honda,1,8,01-australia,2019
mclaren,renault,0,9,01-australia,2019
williams,mercedes,0,10,01-australia,2019
mercedes,mercedes,87,1,02-bahrain,2019
ferrari,ferrari,48,2,02-bahrain,2019
red-bull,honda,31,3,02-bahrain,2019
alfa-romeo,ferrari,10,4,02-bahrain,2019
mclaren,renault,8,5,02-bahrain,2019
haas,ferrari,8,6,02-bahrain,2019
renault,renault,6,7,02-bahrain,2019
toro-rosso,honda,3,8,02-bahrain,2019
racing-point,bwt-mercedes,3,9,02-bahrain,2019
williams,mercedes,0,10,02-bahrain,2019
mercedes,mercedes,130,1,03-china,2019
ferrari,ferrari,73,2,03-china,2019
red-bull,honda,52,3,03-china,2019
renault,renault,12,4,03-china,2019
alfa-romeo,ferrari,12,5,03-china,2019
haas,ferrari,8,6,03-china,2019
mclaren,renault,8,7,03-china,2019
racing-point,bwt-mercedes,7,8,03-china,2019
toro-rosso,honda,4,9,03-china,2019
williams,mercedes,0,10,03-china,2019
mercedes,mercedes,173,1,04-azerbaijan,2019
ferrari,ferrari,99,2,04-azerbaijan,2019
red-bull,honda,64,3,04-azerbaijan,2019
mclaren,renault,18,4,04-azerbaijan,2019
racing-point,bwt-mercedes,17,5,04-azerbaijan,2019
alfa-romeo,ferrari,13,6,04-azerbaijan,2019
renault,renault,12,7,04-azerbaijan,2019
haas,ferrari,8,8,04-azerbaijan,2019
toro-rosso,honda,4,9,04-azerbaijan,2019
williams,mercedes,0,10,04-azerbaijan,2019
mercedes,mercedes,217,1,05-spain,2019
ferrari,ferrari,121,2,05-spain,2019
red-bull,honda,87,3,05-spain,2019
mclaren,renault,22,4,05-spain,2019
racing-point,bwt-mercedes,17,5,05-spain,2019
haas,ferrari,15,6,05-spain,2019
alfa-romeo,ferrari,13,7,05-spain,2019
renault,renault,12,8,05-spain,2019
toro-rosso,honda,6,9,05-spain,2019
williams,mercedes,0,10,05-spain,2019
mercedes,mercedes,257,1,06-monaco,2019
ferrari,ferrari,139,2,06-monaco,2019
red-bull,honda,110,3,06-monaco,2019
mclaren,renault,30,4,06-monaco,2019
racing-point,bwt-mercedes,17,5,06-monaco,2019
haas,ferrari,16,6,06-monaco,2019
toro-rosso,honda,16,7,06-monaco,2019
renault,renault,14,8,06-monaco,2019
alfa-romeo,ferrari,13,9,06-monaco,2019
williams,mercedes,0,10,06-monaco,2019
mercedes,mercedes,295,1,07-canada,2019
ferrari,ferrari,172,2,07-canada,2019
red-bull,honda,124,3,07-canada,2019
mclaren,renault,30,4,07-canada,2019
renault,renault,28,5,07-canada,2019
racing-point,bwt-mercedes,19,6,07-canada,2019
toro-rosso,honda,17,7,07-canada,2019
haas,ferrari,16,8,07-canada,2019
alfa-romeo,ferrari,13,9,07-canada,2019
williams,mercedes,0,10,07-canada,2019
mercedes,mercedes,338,1,08-france,2019
ferrari,ferrari,198,2,08-france,2019
red-bull,honda,137,3,08-france,2019
mclaren,renault,40,4,08-france,2019
renault,renault,32,5,08-france,2019
racing-point,bwt-mercedes,19,6,08-france,2019
alfa-romeo,ferrari,19,7,08-france,2019
toro-rosso,honda,17,8,08-france,2019
haas,ferrari,16,9,08-france,2019
williams,mercedes,0,10,08-france,2019
mercedes,mercedes,363,1,09-austria,2019
ferrari,ferrari,228,2,09-austria,2019
red-bull,honda,169,3,09-austria,2019
mclaren,renault,52,4,09-austria,2019
renault,renault,32,5,09-austria,2019
alfa-romeo,ferrari,22,6,09-austria,2019
racing-point,bwt-mercedes,19,7,09-austria,2019
toro-rosso,honda,17,8,09-austria,2019
haas,ferrari,16,9,09-austria,2019
williams,mercedes,0,10,09-austria,2019
mercedes,mercedes,407,1,10-great-britain,2019
ferrari,ferrari,243,2,10-great-britain,2019
red-bull,honda,191,3,10-great-britain,2019
mclaren,renault,60,4,10-great-britain,2019
renault,renault,39,5,10-great-britain,2019
alfa-romeo,ferrari,26,6,10-great-britain,2019
racing-point,bwt-mercedes,19,7,10-great-britain,2019
toro-rosso,honda,19,8,10-great-britain,2019
haas,ferrari,16,9,10-great-britain,2019
williams,mercedes,0,10,10-great-britain,2019
mercedes,mercedes,409,1,11-germany,2019
ferrari,ferrari,261,2,11-germany,2019
red-bull,honda,217,3,11-germany,2019
mclaren,renault,70,4,11-germany,2019
toro-rosso,honda,42,5,11-germany,2019
renault,renault,39,6,11-germany,2019
racing-point,bwt-mercedes,31,7,11-germany,2019
haas,ferrari,26,8,11-germany,2019
alfa-romeo,ferrari,26,9,11-germany,2019
williams,mercedes,1,10,11-germany,2019
mercedes,mercedes,438,1,12-hungary,2019
ferrari,ferrari,288,2,12-hungary,2019
red-bull,honda,244,3,12-hungary,2019
mclaren,renault,82,4,12-hungary,2019
toro-rosso,honda,43,5,12-hungary,2019
renault,renault,39,6,12-hungary,2019
alfa-romeo,ferrari,32,7,12-hungary,2019
racing-point,bwt-mercedes,31,8,12-hungary,2019
haas,ferrari,26,9,12-hungary,2019
williams,mercedes,1,10,12-hungary,2019
mercedes,mercedes,471,1,13-belgium,2019
ferrari,ferrari,326,2,13-belgium,2019
red-bull,honda,254,3,13-belgium,2019
mclaren,renault,82,4,13-belgium,2019
toro-rosso,honda,51,5,13-belgium,2019
renault,renault,43,6,13-belgium,2019
racing-point,bwt-mercedes,40,7,13-belgium,2019
alfa-romeo,ferrari,32,8,13-belgium,2019
haas,ferrari,26,9,13-belgium,2019
williams,mercedes,1,10,13-belgium,2019
mercedes,mercedes,505,1,14-italy,2019
ferrari,ferrari,351,2,14-italy,2019
red-bull,honda,266,3,14-italy,2019
mclaren,renault,83,4,14-italy,2019
renault,renault,65,5,14-italy,2019
toro-rosso,honda,51,6,14-italy,2019
racing-point,bwt-mercedes,46,7,14-italy,2019
alfa-romeo,ferrari,34,8,14-italy,2019
haas,ferrari,26,9,14-italy,2019
williams,mercedes,1,10,14-italy,2019
mercedes,mercedes,527,1,15-singapore,2019
ferrari,ferrari,394,2,15-singapore,2019
red-bull,honda,289,3,15-singapore,2019
mclaren,renault,89,4,15-singapore,2019
renault,renault,67,5,15-singapore,2019
toro-rosso,honda,55,6,15-singapore,2019
racing-point,bwt-mercedes,46,7,15-singapore,2019
alfa-romeo,ferrari,35,8,15-singapore,2019
haas,ferrari,26,9,15-singapore,2019
williams,mercedes,1,10,15-singapore,2019
mercedes,mercedes,571,1,16-russia,2019
