constructorId,driverId,driverNumber,engineManufacturerId,lap,position,race,stop,time,tyreManufacturerId,year
toro-rosso,brendon-hartley,28,honda,1,1,01-australia,1,22.213,pirelli,2018
ferrari,kimi-raikkonen,7,ferrari,18,2,01-australia,1,21.421,pirelli,2018
mercedes,lewis-hamilton,44,mercedes,19,3,01-australia,1,21.821,pirelli,2018
sauber,charles-leclerc,16,ferrari,20,4,01-australia,1,22.242,pirelli,2018
red-bull,max-verstappen,33,tag-heuer,21,5,01-australia,1,20.953,pirelli,2018
haas,kevin-magnussen,20,ferrari,22,6,01-australia,1,21.983,pirelli,2018
renault,carlos-sainz-jr,55,renault,22,7,01-australia,1,23.868,pirelli,2018
toro-rosso,brendon-hartley,28,honda,22,8,01-australia,2,22.296,pirelli,2018
force-india,esteban-ocon,31,mercedes,23,9,01-australia,1,21.854,pirelli,2018
haas,romain-grosjean,8,ferrari,24,10,01-australia,1,23.054,pirelli,2018
renault,nico-hulkenberg,27,renault,24,11,01-australia,1,22.628,pirelli,2018
force-india,sergio-perez,11,mercedes,24,12,01-australia,1,22.327,pirelli,2018
mclaren,stoffel-vandoorne,2,renault,25,13,01-australia,1,22.474,pirelli,2018
mercedes,valtteri-bottas,77,mercedes,25,14,01-australia,1,21.664,pirelli,2018
williams,lance-stroll,18,mercedes,25,15,01-australia,1,25.504,pirelli,2018
ferrari,sebastian-vettel,5,ferrari,26,16,01-australia,1,21.787,pirelli,2018
red-bull,daniel-ricciardo,3,tag-heuer,26,17,01-australia,1,21.440,pirelli,2018
mclaren,fernando-alonso,14,renault,26,18,01-australia,1,22.573,pirelli,2018
sauber,charles-leclerc,16,ferrari,27,19,01-australia,2,22.836,pirelli,2018
williams,lance-stroll,18,mercedes,29,20,01-australia,2,21.397,pirelli,2018
red-bull,max-verstappen,33,tag-heuer,2,1,02-bahrain,1,30.381,pirelli,2018
sauber,charles-leclerc,16,ferrari,3,2,02-bahrain,1,25.563,pirelli,2018
force-india,sergio-perez,11,mercedes,9,3,02-bahrain,1,24.992,pirelli,2018
mclaren,stoffel-vandoorne,2,renault,10,4,02-bahrain,1,25.081,pirelli,2018
williams,lance-stroll,18,mercedes,10,5,02-bahrain,1,33.612,pirelli,2018
haas,kevin-magnussen,20,ferrari,13,6,02-bahrain,1,25.106,pirelli,2018
mclaren,fernando-alonso,14,renault,14,7,02-bahrain,1,24.993,pirelli,2018
toro-rosso,pierre-gasly,10,honda,15,8,02-bahrain,1,24.835,pirelli,2018
renault,nico-hulkenberg,27,renault,15,9,02-bahrain,1,24.454,pirelli,2018
force-india,esteban-ocon,31,mercedes,15,10,02-bahrain,1,24.719,pirelli,2018
renault,carlos-sainz-jr,55,renault,16,11,02-bahrain,1,25.768,pirelli,2018
ferrari,sebastian-vettel,5,ferrari,18,12,02-bahrain,1,24.524,pirelli,2018
haas,romain-grosjean,8,ferrari,18,13,02-bahrain,1,25.011,pirelli,2018
ferrari,kimi-raikkonen,7,ferrari,19,14,02-bahrain,1,25.018,pirelli,2018
mercedes,valtteri-bottas,77,mercedes,20,15,02-bahrain,1,26.105,pirelli,2018
toro-rosso,brendon-hartley,28,honda,20,16,02-bahrain,1,36.646,pirelli,2018
williams,sergey-sirotkin,35,mercedes,22,17,02-bahrain,1,24.672,pirelli,2018
sauber,marcus-ericsson,9,ferrari,23,18,02-bahrain,1,25.194,pirelli,2018
mercedes,lewis-hamilton,44,mercedes,26,19,02-bahrain,1,24.302,pirelli,2018
renault,carlos-sainz-jr,55,renault,26,20,02-bahrain,2,25.307,pirelli,2018
haas,kevin-magnussen,20,ferrari,27,21,02-bahrain,2,24.629,pirelli,2018
mclaren,stoffel-vandoorne,2,renault,28,22,02-bahrain,2,25.131,pirelli,2018
haas,romain-grosjean,8,ferrari,30,23,02-bahrain,2,25.527,pirelli,2018
williams,lance-stroll,18,mercedes,30,24,02-bahrain,2,24.638,pirelli,2018
