constructorId,engineManufacturerId,points,position,race,year
mclaren,mercedes,40,1,01-australia,2012
red-bull,renault,30,2,01-australia,2012
sauber,ferrari,12,3,01-australia,2012
ferrari,ferrari,10,4,01-australia,2012
lotus-f1,renault,6,5,01-australia,2012
toro-rosso,ferrari,2,6,01-australia,2012
force-india,mercedes,1,7,01-australia,2012
mercedes,mercedes,0,8,01-australia,2012
williams,renault,0,9,01-australia,2012
marussia,cosworth,0,10,01-australia,2012
mclaren,mercedes,55,1,02-malaysia,2012
red-bull,renault,42,2,02-malaysia,2012
ferrari,ferrari,35,3,02-malaysia,2012
sauber,ferrari,30,4,02-malaysia,2012
lotus-f1,renault,16,5,02-malaysia,2012
force-india,mercedes,9,6,02-malaysia,2012
williams,renault,8,7,02-malaysia,2012
toro-rosso,ferrari,6,8,02-malaysia,2012
mercedes,mercedes,1,9,02-malaysia,2012
marussia,cosworth,0,10,02-malaysia,2012
caterham,renault,0,11,02-malaysia,2012
hrt,cosworth,0,12,02-malaysia,2012
mclaren,mercedes,88,1,03-china,2012
red-bull,renault,64,2,03-china,2012
ferrari,ferrari,37,3,03-china,2012
sauber,ferrari,31,4,03-china,2012
mercedes,mercedes,26,5,03-china,2012
lotus-f1,renault,24,6,03-china,2012
williams,renault,18,7,03-china,2012
force-india,mercedes,9,8,03-china,2012
toro-rosso,ferrari,6,9,03-china,2012
marussia,cosworth,0,10,03-china,2012
caterham,renault,0,11,03-china,2012
hrt,cosworth,0,12,03-china,2012
red-bull,renault,101,1,04-bahrain,2012
mclaren,mercedes,92,2,04-bahrain,2012
lotus-f1,renault,57,3,04-bahrain,2012
ferrari,ferrari,45,4,04-bahrain,2012
mercedes,mercedes,37,5,04-bahrain,2012
sauber,ferrari,31,6,04-bahrain,2012
williams,renault,18,7,04-bahrain,2012
force-india,mercedes,17,8,04-bahrain,2012
toro-rosso,ferrari,6,9,04-bahrain,2012
marussia,cosworth,0,10,04-bahrain,2012
caterham,renault,0,11,04-bahrain,2012
hrt,cosworth,0,12,04-bahrain,2012
red-bull,renault,109,1,05-spain,2012
mclaren,mercedes,98,2,05-spain,2012
lotus-f1,renault,84,3,05-spain,2012
ferrari,ferrari,63,4,05-spain,2012
mercedes,mercedes,43,5,05-spain,2012
williams,renault,43,6,05-spain,2012
sauber,ferrari,41,7,05-spain,2012
force-india,mercedes,18,8,05-spain,2012
toro-rosso,ferrari,6,9,05-spain,2012
marussia,cosworth,0,10,05-spain,2012
caterham,renault,0,11,05-spain,2012
hrt,cosworth,0,12,05-spain,2012
red-bull,renault,146,1,06-monaco,2012
mclaren,mercedes,108,2,06-monaco,2012
ferrari,ferrari,86,3,06-monaco,2012
lotus-f1,renault,86,4,06-monaco,2012
mercedes,mercedes,61,5,06-monaco,2012
williams,renault,44,6,06-monaco,2012
sauber,ferrari,41,7,06-monaco,2012
force-india,mercedes,28,8,06-monaco,2012
toro-rosso,ferrari,6,9,06-monaco,2012
caterham,renault,0,10,06-monaco,2012
marussia,cosworth,0,11,06-monaco,2012
hrt,cosworth,0,12,06-monaco,2012
red-bull,renault,164,1,07-canada,2012
mclaren,mercedes,133,2,07-canada,2012
lotus-f1,renault,108,3,07-canada,2012
ferrari,ferrari,97,4,07-canada,2012
mercedes,mercedes,69,5,07-canada,2012
sauber,ferrari,58,6,07-canada,2012
williams,renault,44,7,07-canada,2012
force-india,mercedes,28,8,07-canada,2012
toro-rosso,ferrari,6,9,07-canada,2012
caterham,renault,0,10,07-canada,2012
marussia,cosworth,0,11,07-canada,2012
hrt,cosworth,0,12,07-canada,2012
red-bull,renault,176,1,08-europe,2012
mclaren,mercedes,137,2,08-europe,2012
lotus-f1,renault,126,3,08-europe,2012
ferrari,ferrari,122,4,08-europe,2012
mercedes,mercedes,92,5,08-europe,2012
sauber,ferrari,60,6,08-europe,2012
williams,renault,45,7,08-europe,2012
force-india,mercedes,44,8,08-europe,2012
toro-rosso,ferrari,6,9,08-europe,2012
caterham,renault,0,10,08-europe,2012
marussia,cosworth,0,11,08-europe,2012
hrt,cosworth,0,12,08-europe,2012
red-bull,renault,216,1,09-great-britain,2012
ferrari,ferrari,152,2,09-great-britain,2012
lotus-f1,renault,144,3,09-great-britain,2012
mclaren,mercedes,142,4,09-great-britain,2012
mercedes,mercedes,98,5,09-great-britain,2012
sauber,ferrari,60,6,09-great-britain,2012
williams,renault,47,7,09-great-britain,2012
force-india,mercedes,44,8,09-great-britain,2012
toro-rosso,ferrari,6,9,09-great-britain,2012
caterham,renault,0,10,09-great-britain,2012
marussia,cosworth,0,11,09-great-britain,2012
hrt,cosworth,0,12,09-great-britain,2012
red-bull,renault,230,1,10-germany,2012
ferrari,ferrari,177,2,10-germany,2012
mclaren,mercedes,160,3,10-germany,2012
lotus-f1,renault,159,4,10-germany,2012
mercedes,mercedes,105,5,10-germany,2012
sauber,ferrari,80,6,10-germany,2012
williams,renault,47,7,10-germany,2012
force-india,mercedes,46,8,10-germany,2012
toro-rosso,ferrari,6,9,10-germany,2012
caterham,renault,0,10,10-germany,2012
