constructorId,driverId,driverNumber,engineManufacturerId,gap,grandSlam,gridPosition,interval,laps,points,position,race,reasonRetired,time,timePenalty,tyreManufacturerId,year
mclaren,jenson-button,3,mercedes,,,2,,58,25,1,01-australia,,1:34:09.565,,pirelli,2012
red-bull,sebastian-vettel,1,renault,+2.139,,6,+2.139,58,18,2,01-australia,,1:34:11.704,,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,+4.075,,1,+1.936,58,15,3,01-australia,,1:34:13.640,,pirelli,2012
red-bull,mark-webber,2,renault,+4.547,,5,+0.472,58,12,4,01-australia,,1:34:14.112,,pirelli,2012
ferrari,fernando-alonso,5,ferrari,+21.565,,12,+17.018,58,10,5,01-australia,,1:34:31.130,,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,+36.766,,13,+15.201,58,8,6,01-australia,,1:34:46.331,,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,+38.014,,17,+1.248,58,6,7,01-australia,,1:34:47.579,,pirelli,2012
sauber,sergio-perez,15,ferrari,+39.458,,22,+1.444,58,4,8,01-australia,,1:34:49.023,,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,+39.556,,10,+0.098,58,2,9,01-australia,,1:34:49.121,,pirelli,2012
force-india,paul-di-resta,11,mercedes,+39.737,,15,+0.181,58,1,10,01-australia,,1:34:49.302,,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,+39.848,,11,+0.111,58,,11,01-australia,,1:34:49.413,,pirelli,2012
mercedes,nico-rosberg,8,mercedes,+57.642,,7,+17.794,58,,12,01-australia,,1:35:07.207,,pirelli,2012
williams,pastor-maldonado,18,renault,,,8,,57,,13,01-australia,Accident,,,pirelli,2012
marussia,timo-glock,24,cosworth,+1 lap,,20,,57,,14,01-australia,,,,pirelli,2012
marussia,charles-pic,25,cosworth,,,21,,53,,15,01-australia,Oil pressure,,,pirelli,2012
williams,bruno-senna,19,renault,,,14,,52,,16,01-australia,Collision damage,,,pirelli,2012
ferrari,felipe-massa,6,ferrari,,,16,,46,,DNF,01-australia,Collision damage,,,pirelli,2012
caterham,heikki-kovalainen,20,renault,,,18,,38,,DNF,01-australia,Suspension,,,pirelli,2012
caterham,vitaly-petrov,21,renault,,,19,,34,,DNF,01-australia,Steering,,,pirelli,2012
mercedes,michael-schumacher,7,mercedes,,,4,,10,,DNF,01-australia,Gearbox,,,pirelli,2012
lotus-f1,romain-grosjean,10,renault,,,3,,1,,DNF,01-australia,Collision,,,pirelli,2012
force-india,nico-hulkenberg,12,mercedes,,,9,,0,,DNF,01-australia,Collision damage,,,pirelli,2012
hrt,pedro-de-la-rosa,22,cosworth,,,,,,,DNQ,01-australia,,,,pirelli,2012
hrt,narain-karthikeyan,23,cosworth,,,,,,,DNQ,01-australia,,,,pirelli,2012
ferrari,fernando-alonso,5,ferrari,,,8,,56,25,1,02-malaysia,,2:44:51.812,,pirelli,2012
sauber,sergio-perez,15,ferrari,+2.263,,9,+2.263,56,18,2,02-malaysia,,2:44:54.075,,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,+14.591,,1,+12.328,56,15,3,02-malaysia,,2:45:06.403,,pirelli,2012
red-bull,mark-webber,2,renault,+17.688,,4,+3.097,56,12,4,02-malaysia,,2:45:09.500,,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,+29.456,,10,+11.768,56,10,5,02-malaysia,,2:45:21.268,,pirelli,2012
williams,bruno-senna,19,renault,+37.667,,13,+8.211,56,8,6,02-malaysia,,2:45:29.479,,pirelli,2012
force-india,paul-di-resta,11,mercedes,+44.412,,14,+6.745,56,6,7,02-malaysia,,2:45:36.224,,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,+46.985,,18,+2.573,56,4,8,02-malaysia,,2:45:38.797,,pirelli,2012
force-india,nico-hulkenberg,12,mercedes,+47.892,,16,+0.907,56,2,9,02-malaysia,,2:45:39.704,,pirelli,2012
mercedes,michael-schumacher,7,mercedes,+49.996,,3,+2.104,56,1,10,02-malaysia,,2:45:41.808,,pirelli,2012
red-bull,sebastian-vettel,1,renault,+1:15.527,,5,+25.531,56,,11,02-malaysia,,2:46:07.339,,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,+1:16.828,,15,+1.301,56,,12,02-malaysia,,2:46:08.640,,pirelli,2012
mercedes,nico-rosberg,8,mercedes,+1:18.593,,7,+1.765,56,,13,02-malaysia,,2:46:10.405,,pirelli,2012
mclaren,jenson-button,3,mercedes,+1:19.719,,2,+1.126,56,,14,02-malaysia,,2:46:11.531,,pirelli,2012
ferrari,felipe-massa,6,ferrari,+1:37.319,,12,+17.600,56,,15,02-malaysia,,2:46:29.131,,pirelli,2012
caterham,vitaly-petrov,21,renault,+1 lap,,19,,55,,16,02-malaysia,,,,pirelli,2012
marussia,timo-glock,24,cosworth,+1 lap,,20,,55,,17,02-malaysia,,,,pirelli,2012
caterham,heikki-kovalainen,20,renault,+1 lap,,24,,55,,18,02-malaysia,,,,pirelli,2012
williams,pastor-maldonado,18,renault,,,11,,54,,19,02-malaysia,Engine,,,pirelli,2012
marussia,charles-pic,25,cosworth,+2 laps,,21,,54,,20,02-malaysia,,,,pirelli,2012
hrt,pedro-de-la-rosa,22,cosworth,+2 laps,,22,,54,,21,02-malaysia,,,,pirelli,2012
hrt,narain-karthikeyan,23,cosworth,+2 laps,,23,,54,,22,02-malaysia,,,20.000,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,,,17,,46,,DNF,02-malaysia,Brakes,,,pirelli,2012
lotus-f1,romain-grosjean,10,renault,,,6,,3,,DNF,02-malaysia,Spun off,,,pirelli,2012
mercedes,nico-rosberg,8,mercedes,,,1,,56,25,1,03-china,,1:36:26.929,,pirelli,2012
mclaren,jenson-button,3,mercedes,+20.626,,5,+20.626,56,18,2,03-china,,1:36:47.555,,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,+26.012,,7,+5.386,56,15,3,03-china,,1:36:52.941,,pirelli,2012
red-bull,mark-webber,2,renault,+27.924,,6,+1.912,56,12,4,03-china,,1:36:54.853,,pirelli,2012
red-bull,sebastian-vettel,1,renault,+30.483,,11,+2.559,56,10,5,03-china,,1:36:57.412,,pirelli,2012
lotus-f1,romain-grosjean,10,renault,+31.491,,10,+1.008,56,8,6,03-china,,1:36:58.420,,pirelli,2012
williams,bruno-senna,19,renault,+34.597,,14,+3.106,56,6,7,03-china,,1:37:01.526,,pirelli,2012
williams,pastor-maldonado,18,renault,+35.643,,13,+1.046,56,4,8,03-china,,1:37:02.572,,pirelli,2012
ferrari,fernando-alonso,5,ferrari,+37.256,,9,+1.613,56,2,9,03-china,,1:37:04.185,,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,+38.720,,3,+1.464,56,1,10,03-china,,1:37:05.649,,pirelli,2012
sauber,sergio-perez,15,ferrari,+41.066,,8,+2.346,56,,11,03-china,,1:37:07.995,,pirelli,2012
force-india,paul-di-resta,11,mercedes,+42.273,,15,+1.207,56,,12,03-china,,1:37:09.202,,pirelli,2012
ferrari,felipe-massa,6,ferrari,+42.779,,12,+0.506,56,,13,03-china,,1:37:09.708,,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,+50.573,,4,+7.794,56,,14,03-china,,1:37:17.502,,pirelli,2012
force-india,nico-hulkenberg,12,mercedes,+51.213,,16,+0.640,56,,15,03-china,,1:37:18.142,,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,+51.756,,PL,+0.543,56,,16,03-china,,1:37:18.685,,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,+1:03.156,,17,+11.400,56,,17,03-china,,1:37:30.085,,pirelli,2012
caterham,vitaly-petrov,21,renault,+1 lap,,19,,55,,18,03-china,,,,pirelli,2012
marussia,timo-glock,24,cosworth,+1 lap,,20,,55,,19,03-china,,,,pirelli,2012
marussia,charles-pic,25,cosworth,+1 lap,,21,,55,,20,03-china,,,,pirelli,2012
hrt,pedro-de-la-rosa,22,cosworth,+1 lap,,22,,55,,21,03-china,,,,pirelli,2012
hrt,narain-karthikeyan,23,cosworth,+2 laps,,23,,54,,22,03-china,,,,pirelli,2012
caterham,heikki-kovalainen,20,renault,+3 laps,,18,,53,,23,03-china,,,,pirelli,2012
mercedes,michael-schumacher,7,mercedes,,,2,,12,,DNF,03-china,Wheel,,,pirelli,2012
red-bull,sebastian-vettel,1,renault,,,1,,57,25,1,04-bahrain,,1:35:10.990,,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,+3.333,,11,+3.333,57,18,2,04-bahrain,,1:35:14.323,,pirelli,2012
lotus-f1,romain-grosjean,10,renault,+10.194,,7,+6.861,57,15,3,04-bahrain,,1:35:21.184,,pirelli,2012
red-bull,mark-webber,2,renault,+38.788,,3,+28.594,57,12,4,04-bahrain,,1:35:49.778,,pirelli,2012
mercedes,nico-rosberg,8,mercedes,+55.460,,5,+16.672,57,10,5,04-bahrain,,1:36:06.450,,pirelli,2012
force-india,paul-di-resta,11,mercedes,+57.543,,10,+2.083,57,8,6,04-bahrain,,1:36:08.533,,pirelli,2012
ferrari,fernando-alonso,5,ferrari,+57.803,,9,+0.260,57,6,7,04-bahrain,,1:36:08.793,,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,+58.984,,2,+1.181,57,4,8,04-bahrain,,1:36:09.974,,pirelli,2012
ferrari,felipe-massa,6,ferrari,+1:04.999,,14,+6.015,57,2,9,04-bahrain,,1:36:15.989,,pirelli,2012
mercedes,michael-schumacher,7,mercedes,+1:11.490,,22,+6.491,57,1,10,04-bahrain,,1:36:22.480,,pirelli,2012
sauber,sergio-perez,15,ferrari,+1:12.702,,8,+1.212,57,,11,04-bahrain,,1:36:23.692,,pirelli,2012
force-india,nico-hulkenberg,12,mercedes,+1:16.539,,13,+3.837,57,,12,04-bahrain,,1:36:27.529,,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,+1:30.334,,12,+13.795,57,,13,04-bahrain,,1:36:41.324,,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,+1:33.723,,17,+3.389,57,,14,04-bahrain,,1:36:44.713,,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,+1 lap,,6,,56,,15,04-bahrain,,,,pirelli,2012
caterham,vitaly-petrov,21,renault,+1 lap,,18,,56,,16,04-bahrain,,,,pirelli,2012
caterham,heikki-kovalainen,20,renault,+1 lap,,16,,56,,17,04-bahrain,,,,pirelli,2012
mclaren,jenson-button,3,mercedes,,,4,,55,,18,04-bahrain,Exhaust,,,pirelli,2012
marussia,timo-glock,24,cosworth,+2 laps,,23,,55,,19,04-bahrain,,,,pirelli,2012
hrt,pedro-de-la-rosa,22,cosworth,+2 laps,,20,,55,,20,04-bahrain,,,,pirelli,2012
hrt,narain-karthikeyan,23,cosworth,+2 laps,,24,,55,,21,04-bahrain,,,,pirelli,2012
williams,bruno-senna,19,renault,,,15,,54,,22,04-bahrain,Vibrations,,,pirelli,2012
williams,pastor-maldonado,18,renault,,,21,,25,,DNF,04-bahrain,Puncture,,,pirelli,2012
