constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,laps,position,q1,q2,q3,race,tyreManufacturerId,year
mclaren,lewis-hamilton,4,mercedes,,,14,1,1:26.800,1:25.626,1:24.922,01-australia,pirelli,2012
mclaren,jenson-button,3,mercedes,+0.152,+0.152,15,2,1:26.832,1:25.663,1:25.074,01-australia,pirelli,2012
lotus-f1,romain-grosjean,10,renault,+0.380,+0.228,21,3,1:26.498,1:25.845,1:25.302,01-australia,pirelli,2012
mercedes,michael-schumacher,7,mercedes,+0.414,+0.034,18,4,1:26.586,1:25.571,1:25.336,01-australia,pirelli,2012
red-bull,mark-webber,2,renault,+0.729,+0.315,17,5,1:27.117,1:26.297,1:25.651,01-australia,pirelli,2012
red-bull,sebastian-vettel,1,renault,+0.746,+0.017,18,6,1:26.773,1:25.982,1:25.668,01-australia,pirelli,2012
mercedes,nico-rosberg,8,mercedes,+0.764,+0.018,16,7,1:26.763,1:25.469,1:25.686,01-australia,pirelli,2012
williams,pastor-maldonado,18,renault,+0.986,+0.222,20,8,1:26.803,1:26.206,1:25.908,01-australia,pirelli,2012
force-india,nico-hulkenberg,12,mercedes,+1.529,+0.543,18,9,1:27.464,1:26.314,1:26.451,01-australia,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,,,16,10,1:27.024,1:26.319,,01-australia,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,,,12,11,1:26.493,1:26.429,,01-australia,pirelli,2012
ferrari,fernando-alonso,5,ferrari,,,12,12,1:26.688,1:26.494,,01-australia,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,,,12,13,1:26.182,1:26.590,,01-australia,pirelli,2012
williams,bruno-senna,19,renault,,,16,14,1:27.004,1:26.663,,01-australia,pirelli,2012
force-india,paul-di-resta,11,mercedes,,,16,15,1:27.469,1:27.086,,01-australia,pirelli,2012
ferrari,felipe-massa,6,ferrari,,,16,16,1:27.633,1:27.497,,01-australia,pirelli,2012
sauber,sergio-perez,15,ferrari,,,11,17,1:26.596,,,01-australia,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,,,9,18,1:27.758,,,01-australia,pirelli,2012
caterham,heikki-kovalainen,20,renault,,,7,19,1:28.679,,,01-australia,pirelli,2012
caterham,vitaly-petrov,21,renault,,,8,20,1:29.018,,,01-australia,pirelli,2012
marussia,timo-glock,24,cosworth,,,10,21,1:30.923,,,01-australia,pirelli,2012
marussia,charles-pic,25,cosworth,,,9,22,1:31.670,,,01-australia,pirelli,2012
hrt,pedro-de-la-rosa,22,cosworth,,,6,NC,1:33.495,,,01-australia,pirelli,2012
hrt,narain-karthikeyan,23,cosworth,,,6,NC,1:33.643,,,01-australia,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,,,14,1,1:37.813,1:37.106,1:36.219,02-malaysia,pirelli,2012
mclaren,jenson-button,3,mercedes,+0.149,+0.149,14,2,1:37.575,1:36.928,1:36.368,02-malaysia,pirelli,2012
mercedes,michael-schumacher,7,mercedes,+0.172,+0.023,14,3,1:37.517,1:37.017,1:36.391,02-malaysia,pirelli,2012
red-bull,mark-webber,2,renault,+0.242,+0.070,19,4,1:37.172,1:37.375,1:36.461,02-malaysia,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,+0.242,+0.000,13,5,1:37.961,1:36.715,1:36.461,02-malaysia,pirelli,2012
red-bull,sebastian-vettel,1,renault,+0.415,+0.173,14,6,1:38.102,1:37.419,1:36.634,02-malaysia,pirelli,2012
lotus-f1,romain-grosjean,10,renault,+0.439,+0.024,14,7,1:38.058,1:37.338,1:36.658,02-malaysia,pirelli,2012
mercedes,nico-rosberg,8,mercedes,+0.445,+0.006,14,8,1:37.696,1:36.996,1:36.664,02-malaysia,pirelli,2012
ferrari,fernando-alonso,5,ferrari,+1.347,+0.902,16,9,1:38.151,1:37.379,1:37.566,02-malaysia,pirelli,2012
sauber,sergio-perez,15,ferrari,+1.479,+0.132,17,10,1:37.933,1:37.477,1:37.698,02-malaysia,pirelli,2012
williams,pastor-maldonado,18,renault,,,14,11,1:37.789,1:37.589,,02-malaysia,pirelli,2012
ferrari,felipe-massa,6,ferrari,,,15,12,1:38.381,1:37.731,,02-malaysia,pirelli,2012
williams,bruno-senna,19,renault,,,13,13,1:38.437,1:37.841,,02-malaysia,pirelli,2012
force-india,paul-di-resta,11,mercedes,,,15,14,1:38.325,1:37.877,,02-malaysia,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,,,14,15,1:38.419,1:37.883,,02-malaysia,pirelli,2012
force-india,nico-hulkenberg,12,mercedes,,,13,16,1:38.303,1:37.890,,02-malaysia,pirelli,2012
