constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,lap,position,race,time,tyreManufacturerId,year
mclaren,jenson-button,3,mercedes,,,56,1,01-australia,1:29.187,pirelli,2012
red-bull,sebastian-vettel,1,renault,+0.230,+0.230,57,2,01-australia,1:29.417,pirelli,2012
red-bull,mark-webber,2,renault,+0.251,+0.021,57,3,01-australia,1:29.438,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,+0.351,+0.100,57,4,01-australia,1:29.538,pirelli,2012
williams,pastor-maldonado,18,renault,+1.067,+0.716,53,5,01-australia,1:30.254,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,+1.087,+0.020,52,6,01-australia,1:30.274,pirelli,2012
ferrari,fernando-alonso,5,ferrari,+1.090,+0.003,52,7,01-australia,1:30.277,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,+1.405,+0.315,53,8,01-australia,1:30.592,pirelli,2012
force-india,paul-di-resta,11,mercedes,+1.418,+0.013,57,9,01-australia,1:30.605,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,+1.433,+0.015,55,10,01-australia,1:30.620,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,+1.572,+0.139,50,11,01-australia,1:30.759,pirelli,2012
sauber,sergio-perez,15,ferrari,+1.656,+0.084,46,12,01-australia,1:30.843,pirelli,2012
williams,bruno-senna,19,renault,+1.668,+0.012,49,13,01-australia,1:30.855,pirelli,2012
mercedes,nico-rosberg,8,mercedes,+1.744,+0.076,53,14,01-australia,1:30.931,pirelli,2012
ferrari,felipe-massa,6,ferrari,+2.753,+1.009,46,15,01-australia,1:31.940,pirelli,2012
caterham,vitaly-petrov,21,renault,+4.027,+1.274,27,16,01-australia,1:33.214,pirelli,2012
caterham,heikki-kovalainen,20,renault,+4.506,+0.479,26,17,01-australia,1:33.693,pirelli,2012
mercedes,michael-schumacher,7,mercedes,+4.834,+0.328,4,18,01-australia,1:34.021,pirelli,2012
marussia,timo-glock,24,cosworth,+5.066,+0.232,43,19,01-australia,1:34.253,pirelli,2012
marussia,charles-pic,25,cosworth,+5.824,+0.758,45,20,01-australia,1:35.011,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,,,53,1,02-malaysia,1:40.722,pirelli,2012
red-bull,mark-webber,2,renault,+0.295,+0.295,52,2,02-malaysia,1:41.017,pirelli,2012
sauber,sergio-perez,15,ferrari,+0.299,+0.004,54,3,02-malaysia,1:41.021,pirelli,2012
red-bull,sebastian-vettel,1,renault,+0.620,+0.321,50,4,02-malaysia,1:41.342,pirelli,2012
williams,bruno-senna,19,renault,+0.682,+0.062,55,5,02-malaysia,1:41.404,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,+0.817,+0.135,50,6,02-malaysia,1:41.539,pirelli,2012
ferrari,fernando-alonso,5,ferrari,+0.958,+0.141,53,7,02-malaysia,1:41.680,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,+1.034,+0.076,54,8,02-malaysia,1:41.756,pirelli,2012
mercedes,michael-schumacher,7,mercedes,+1.038,+0.004,53,9,02-malaysia,1:41.760,pirelli,2012
force-india,paul-di-resta,11,mercedes,+1.097,+0.059,55,10,02-malaysia,1:41.819,pirelli,2012
mercedes,nico-rosberg,8,mercedes,+1.141,+0.044,51,11,02-malaysia,1:41.863,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,+1.200,+0.059,55,12,02-malaysia,1:41.922,pirelli,2012
ferrari,felipe-massa,6,ferrari,+1.329,+0.129,56,13,02-malaysia,1:42.051,pirelli,2012
mclaren,jenson-button,3,mercedes,+1.378,+0.049,50,14,02-malaysia,1:42.100,pirelli,2012
force-india,nico-hulkenberg,12,mercedes,+1.451,+0.073,51,15,02-malaysia,1:42.173,pirelli,2012
williams,pastor-maldonado,18,renault,+1.515,+0.064,51,16,02-malaysia,1:42.237,pirelli,2012
caterham,vitaly-petrov,21,renault,+2.791,+1.276,52,17,02-malaysia,1:43.513,pirelli,2012
caterham,heikki-kovalainen,20,renault,+3.081,+0.290,54,18,02-malaysia,1:43.803,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,+3.480,+0.399,44,19,02-malaysia,1:44.202,pirelli,2012
marussia,timo-glock,24,cosworth,+4.035,+0.555,50,20,02-malaysia,1:44.757,pirelli,2012
marussia,charles-pic,25,cosworth,+4.091,+0.056,50,21,02-malaysia,1:44.813,pirelli,2012
hrt,narain-karthikeyan,23,cosworth,+5.187,+1.096,52,22,02-malaysia,1:45.909,pirelli,2012
hrt,pedro-de-la-rosa,22,cosworth,+5.522,+0.335,54,23,02-malaysia,1:46.244,pirelli,2012
lotus-f1,romain-grosjean,10,renault,+27.742,+22.220,2,24,02-malaysia,2:08.464,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,,,40,1,03-china,1:39.960,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,+0.059,+0.059,48,2,03-china,1:40.019,pirelli,2012
mclaren,jenson-button,3,mercedes,+0.462,+0.403,56,3,03-china,1:40.422,pirelli,2012
williams,pastor-maldonado,18,renault,+0.522,+0.060,36,4,03-china,1:40.482,pirelli,2012
red-bull,mark-webber,2,renault,+0.530,+0.008,52,5,03-china,1:40.490,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,+0.570,+0.040,40,6,03-china,1:40.530,pirelli,2012
red-bull,sebastian-vettel,1,renault,+0.641,+0.071,33,7,03-china,1:40.601,pirelli,2012
mercedes,nico-rosberg,8,mercedes,+1.007,+0.366,40,8,03-china,1:40.967,pirelli,2012
force-india,nico-hulkenberg,12,mercedes,+1.017,+0.010,48,9,03-china,1:40.977,pirelli,2012
sauber,sergio-perez,15,ferrari,+1.111,+0.094,37,10,03-china,1:41.071,pirelli,2012
lotus-f1,romain-grosjean,10,renault,+1.160,+0.049,35,11,03-china,1:41.120,pirelli,2012
ferrari,fernando-alonso,5,ferrari,+1.192,+0.032,41,12,03-china,1:41.152,pirelli,2012
caterham,heikki-kovalainen,20,renault,+1.230,+0.038,53,13,03-china,1:41.190,pirelli,2012
ferrari,felipe-massa,6,ferrari,+1.280,+0.050,48,14,03-china,1:41.240,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,+1.291,+0.011,40,15,03-china,1:41.251,pirelli,2012
williams,bruno-senna,19,renault,+1.333,+0.042,37,16,03-china,1:41.293,pirelli,2012
force-india,paul-di-resta,11,mercedes,+1.538,+0.205,40,17,03-china,1:41.498,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,+1.834,+0.296,43,18,03-china,1:41.794,pirelli,2012
caterham,vitaly-petrov,21,renault,+2.425,+0.591,38,19,03-china,1:42.385,pirelli,2012
marussia,charles-pic,25,cosworth,+2.661,+0.236,39,20,03-china,1:42.621,pirelli,2012
marussia,timo-glock,24,cosworth,+2.788,+0.127,41,21,03-china,1:42.748,pirelli,2012
hrt,pedro-de-la-rosa,22,cosworth,+3.650,+0.862,54,22,03-china,1:43.610,pirelli,2012
hrt,narain-karthikeyan,23,cosworth,+3.975,+0.325,40,23,03-china,1:43.935,pirelli,2012
mercedes,michael-schumacher,7,mercedes,+4.149,+0.174,9,24,03-china,1:44.109,pirelli,2012
red-bull,sebastian-vettel,1,renault,,,41,1,04-bahrain,1:36.379,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,+0.321,+0.321,54,2,04-bahrain,1:36.700,pirelli,2012
lotus-f1,romain-grosjean,10,renault,+0.549,+0.228,42,3,04-bahrain,1:36.928,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,+0.679,+0.130,43,4,04-bahrain,1:37.058,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,+0.737,+0.058,41,5,04-bahrain,1:37.116,pirelli,2012
red-bull,mark-webber,2,renault,+1.058,+0.321,45,6,04-bahrain,1:37.437,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,+1.354,+0.296,38,7,04-bahrain,1:37.733,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,+1.524,+0.170,42,8,04-bahrain,1:37.903,pirelli,2012
mclaren,jenson-button,3,mercedes,+1.667,+0.143,47,9,04-bahrain,1:38.046,pirelli,2012
mercedes,nico-rosberg,8,mercedes,+1.701,+0.034,41,10,04-bahrain,1:38.080,pirelli,2012
williams,bruno-senna,19,renault,+1.708,+0.007,51,11,04-bahrain,1:38.087,pirelli,2012
ferrari,felipe-massa,6,ferrari,+1.744,+0.036,42,12,04-bahrain,1:38.123,pirelli,2012
mercedes,michael-schumacher,7,mercedes,+1.749,+0.005,39,13,04-bahrain,1:38.128,pirelli,2012
sauber,sergio-perez,15,ferrari,+1.767,+0.018,39,14,04-bahrain,1:38.146,pirelli,2012
ferrari,fernando-alonso,5,ferrari,+1.824,+0.057,44,15,04-bahrain,1:38.203,pirelli,2012
caterham,vitaly-petrov,21,renault,+1.926,+0.102,42,16,04-bahrain,1:38.305,pirelli,2012
force-india,nico-hulkenberg,12,mercedes,+1.933,+0.007,46,17,04-bahrain,1:38.312,pirelli,2012
force-india,paul-di-resta,11,mercedes,+1.993,+0.060,41,18,04-bahrain,1:38.372,pirelli,2012
caterham,heikki-kovalainen,20,renault,+2.062,+0.069,43,19,04-bahrain,1:38.441,pirelli,2012
hrt,narain-karthikeyan,23,cosworth,+3.368,+1.306,48,20,04-bahrain,1:39.747,pirelli,2012
williams,pastor-maldonado,18,renault,+3.497,+0.129,14,21,04-bahrain,1:39.876,pirelli,2012
hrt,pedro-de-la-rosa,22,cosworth,+3.858,+0.361,41,22,04-bahrain,1:40.237,pirelli,2012
marussia,timo-glock,24,cosworth,+3.944,+0.086,46,23,04-bahrain,1:40.323,pirelli,2012
marussia,charles-pic,25,cosworth,+5.140,+1.196,14,24,04-bahrain,1:41.519,pirelli,2012
lotus-f1,romain-grosjean,10,renault,,,53,1,05-spain,1:26.250,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,+0.688,+0.688,50,2,05-spain,1:26.938,pirelli,2012
ferrari,fernando-alonso,5,ferrari,+1.140,+0.452,46,3,05-spain,1:27.390,pirelli,2012
red-bull,sebastian-vettel,1,renault,+1.518,+0.378,65,4,05-spain,1:27.768,pirelli,2012
red-bull,mark-webber,2,renault,+1.607,+0.089,44,5,05-spain,1:27.857,pirelli,2012
williams,pastor-maldonado,18,renault,+1.656,+0.049,26,6,05-spain,1:27.906,pirelli,2012
mercedes,nico-rosberg,8,mercedes,+1.900,+0.244,45,7,05-spain,1:28.150,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,+2.016,+0.116,45,8,05-spain,1:28.266,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,+2.058,+0.042,54,9,05-spain,1:28.308,pirelli,2012
force-india,paul-di-resta,11,mercedes,+2.063,+0.005,44,10,05-spain,1:28.313,pirelli,2012
ferrari,felipe-massa,6,ferrari,+2.198,+0.135,47,11,05-spain,1:28.448,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,+2.337,+0.139,44,12,05-spain,1:28.587,pirelli,2012
sauber,sergio-perez,15,ferrari,+2.355,+0.018,20,13,05-spain,1:28.605,pirelli,2012
mclaren,jenson-button,3,mercedes,+2.374,+0.019,41,14,05-spain,1:28.624,pirelli,2012
caterham,heikki-kovalainen,20,renault,+2.465,+0.091,50,15,05-spain,1:28.715,pirelli,2012
caterham,vitaly-petrov,21,renault,+2.523,+0.058,48,16,05-spain,1:28.773,pirelli,2012
force-india,nico-hulkenberg,12,mercedes,+2.662,+0.139,48,17,05-spain,1:28.912,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,+2.668,+0.006,50,18,05-spain,1:28.918,pirelli,2012
marussia,timo-glock,24,cosworth,+3.349,+0.681,49,19,05-spain,1:29.599,pirelli,2012
hrt,pedro-de-la-rosa,22,cosworth,+4.472,+1.123,54,20,05-spain,1:30.722,pirelli,2012
mercedes,michael-schumacher,7,mercedes,+4.839,+0.367,4,21,05-spain,1:31.089,pirelli,2012
marussia,charles-pic,25,cosworth,+4.886,+0.047,29,22,05-spain,1:31.136,pirelli,2012
williams,bruno-senna,19,renault,+5.572,+0.686,10,23,05-spain,1:31.822,pirelli,2012
hrt,narain-karthikeyan,23,cosworth,+6.653,+1.081,15,24,05-spain,1:32.903,pirelli,2012
sauber,sergio-perez,15,ferrari,,,49,1,06-monaco,1:17.296,pirelli,2012
force-india,nico-hulkenberg,12,mercedes,+1.127,+1.127,35,2,06-monaco,1:18.423,pirelli,2012
red-bull,mark-webber,2,renault,+1.509,+0.382,45,3,06-monaco,1:18.805,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,+1.510,+0.001,46,4,06-monaco,1:18.806,pirelli,2012
ferrari,fernando-alonso,5,ferrari,+1.561,+0.051,45,5,06-monaco,1:18.857,pirelli,2012
mercedes,michael-schumacher,7,mercedes,+1.608,+0.047,52,6,06-monaco,1:18.904,pirelli,2012
mercedes,nico-rosberg,8,mercedes,+1.681,+0.073,46,7,06-monaco,1:18.977,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,+1.717,+0.036,25,8,06-monaco,1:19.013,pirelli,2012
red-bull,sebastian-vettel,1,renault,+1.780,+0.063,43,9,06-monaco,1:19.076,pirelli,2012
ferrari,felipe-massa,6,ferrari,+1.805,+0.025,41,10,06-monaco,1:19.101,pirelli,2012
williams,bruno-senna,19,renault,+1.891,+0.086,51,11,06-monaco,1:19.187,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,+1.950,+0.059,51,12,06-monaco,1:19.246,pirelli,2012
caterham,heikki-kovalainen,20,renault,+2.009,+0.059,76,13,06-monaco,1:19.305,pirelli,2012
marussia,charles-pic,25,cosworth,+2.308,+0.299,61,14,06-monaco,1:19.604,pirelli,2012
marussia,timo-glock,24,cosworth,+2.341,+0.033,60,15,06-monaco,1:19.637,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,+2.456,+0.115,44,16,06-monaco,1:19.752,pirelli,2012
force-india,paul-di-resta,11,mercedes,+2.461,+0.005,51,17,06-monaco,1:19.757,pirelli,2012
mclaren,jenson-button,3,mercedes,+2.627,+0.166,51,18,06-monaco,1:19.923,pirelli,2012
hrt,narain-karthikeyan,23,cosworth,+2.990,+0.363,44,19,06-monaco,1:20.286,pirelli,2012
caterham,vitaly-petrov,21,renault,+3.529,+0.539,12,20,06-monaco,1:20.825,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,+8.184,+4.655,4,21,06-monaco,1:25.480,pirelli,2012
red-bull,sebastian-vettel,1,renault,,,70,1,07-canada,1:15.752,pirelli,2012
ferrari,felipe-massa,6,ferrari,+0.430,+0.430,69,2,07-canada,1:16.182,pirelli,2012
sauber,sergio-perez,15,ferrari,+0.662,+0.232,67,3,07-canada,1:16.414,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,+0.857,+0.195,70,4,07-canada,1:16.609,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,+1.012,+0.155,70,5,07-canada,1:16.764,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,+1.268,+0.256,59,6,07-canada,1:17.020,pirelli,2012
mercedes,nico-rosberg,8,mercedes,+1.308,+0.040,67,7,07-canada,1:17.060,pirelli,2012
red-bull,mark-webber,2,renault,+1.379,+0.071,62,8,07-canada,1:17.131,pirelli,2012
force-india,nico-hulkenberg,12,mercedes,+1.450,+0.071,62,9,07-canada,1:17.202,pirelli,2012
force-india,paul-di-resta,11,mercedes,+1.467,+0.017,63,10,07-canada,1:17.219,pirelli,2012
lotus-f1,romain-grosjean,10,renault,+1.512,+0.045,57,11,07-canada,1:17.264,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,+1.712,+0.200,61,12,07-canada,1:17.464,pirelli,2012
williams,pastor-maldonado,18,renault,+1.737,+0.025,67,13,07-canada,1:17.489,pirelli,2012
williams,bruno-senna,19,renault,+2.065,+0.328,67,14,07-canada,1:17.817,pirelli,2012
ferrari,fernando-alonso,5,ferrari,+2.068,+0.003,42,15,07-canada,1:17.820,pirelli,2012
mclaren,jenson-button,3,mercedes,+2.091,+0.023,63,16,07-canada,1:17.843,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,+2.123,+0.032,55,17,07-canada,1:17.875,pirelli,2012
caterham,vitaly-petrov,21,renault,+2.341,+0.218,58,18,07-canada,1:18.093,pirelli,2012
caterham,heikki-kovalainen,20,renault,+2.376,+0.035,62,19,07-canada,1:18.128,pirelli,2012
mercedes,michael-schumacher,7,mercedes,+2.681,+0.305,37,20,07-canada,1:18.433,pirelli,2012
marussia,charles-pic,25,cosworth,+4.880,+2.199,63,21,07-canada,1:20.632,pirelli,2012
marussia,timo-glock,24,cosworth,+5.280,+0.400,47,22,07-canada,1:21.032,pirelli,2012
hrt,pedro-de-la-rosa,22,cosworth,+5.783,+0.503,23,23,07-canada,1:21.535,pirelli,2012
hrt,narain-karthikeyan,23,cosworth,+6.292,+0.509,12,24,07-canada,1:22.044,pirelli,2012
mercedes,nico-rosberg,8,mercedes,,,54,1,08-europe,1:42.163,pirelli,2012
red-bull,mark-webber,2,renault,+0.554,+0.554,40,2,08-europe,1:42.717,pirelli,2012
mercedes,michael-schumacher,7,mercedes,+0.936,+0.382,43,3,08-europe,1:43.099,pirelli,2012
sauber,sergio-perez,15,ferrari,+1.363,+0.427,43,4,08-europe,1:43.526,pirelli,2012
ferrari,fernando-alonso,5,ferrari,+1.503,+0.140,40,5,08-europe,1:43.666,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,+1.511,+0.008,44,6,08-europe,1:43.674,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,+1.523,+0.012,43,7,08-europe,1:43.686,pirelli,2012
lotus-f1,romain-grosjean,10,renault,+1.601,+0.078,38,8,08-europe,1:43.764,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,+1.844,+0.243,43,9,08-europe,1:44.007,pirelli,2012
williams,pastor-maldonado,18,renault,+1.901,+0.057,43,10,08-europe,1:44.064,pirelli,2012
force-india,paul-di-resta,11,mercedes,+1.938,+0.037,45,11,08-europe,1:44.101,pirelli,2012
williams,bruno-senna,19,renault,+1.948,+0.010,44,12,08-europe,1:44.111,pirelli,2012
force-india,nico-hulkenberg,12,mercedes,+2.063,+0.115,40,13,08-europe,1:44.226,pirelli,2012
caterham,vitaly-petrov,21,renault,+2.090,+0.027,54,14,08-europe,1:44.253,pirelli,2012
ferrari,felipe-massa,6,ferrari,+2.268,+0.178,36,15,08-europe,1:44.431,pirelli,2012
red-bull,sebastian-vettel,1,renault,+2.392,+0.124,18,16,08-europe,1:44.555,pirelli,2012
mclaren,jenson-button,3,mercedes,+2.643,+0.251,48,17,08-europe,1:44.806,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,+2.919,+0.276,22,18,08-europe,1:45.082,pirelli,2012
caterham,heikki-kovalainen,20,renault,+3.131,+0.212,40,19,08-europe,1:45.294,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,+3.328,+0.197,22,20,08-europe,1:45.491,pirelli,2012
hrt,narain-karthikeyan,23,cosworth,+4.225,+0.897,42,21,08-europe,1:46.388,pirelli,2012
marussia,charles-pic,25,cosworth,+4.538,+0.313,43,22,08-europe,1:46.701,pirelli,2012
hrt,pedro-de-la-rosa,22,cosworth,+4.636,+0.098,36,23,08-europe,1:46.799,pirelli,2012
