constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,laps,position,q1,q2,q3,race,tyreManufacturerId,year
mercedes,lewis-hamilton,44,mercedes,,,14,1,1:24.191,1:23.251,1:22.188,01-australia,pirelli,2017
ferrari,sebastian-vettel,5,ferrari,+0.268,+0.268,17,2,1:25.210,1:23.401,1:22.456,01-australia,pirelli,2017
mercedes,valtteri-bottas,77,mercedes,+0.293,+0.025,13,3,1:24.514,1:23.215,1:22.481,01-australia,pirelli,2017
ferrari,kimi-raikkonen,7,ferrari,+0.845,+0.552,19,4,1:24.352,1:23.376,1:23.033,01-australia,pirelli,2017
red-bull,max-verstappen,33,tag-heuer,+1.297,+0.452,18,5,1:24.482,1:24.092,1:23.485,01-australia,pirelli,2017
haas,romain-grosjean,8,ferrari,+1.886,+0.589,17,6,1:25.419,1:24.718,1:24.074,01-australia,pirelli,2017
williams,felipe-massa,19,mercedes,+2.255,+0.369,16,7,1:25.099,1:24.597,1:24.443,01-australia,pirelli,2017
toro-rosso,carlos-sainz-jr,55,toro-rosso,+2.299,+0.044,16,8,1:25.542,1:24.997,1:24.487,01-australia,pirelli,2017
toro-rosso,daniil-kvyat,26,toro-rosso,+2.324,+0.025,16,9,1:25.970,1:24.864,1:24.512,01-australia,pirelli,2017
red-bull,daniel-ricciardo,3,tag-heuer,,,10,10,1:25.383,1:23.989,,01-australia,pirelli,2017
force-india,sergio-perez,11,mercedes,,,13,11,1:25.064,1:25.081,,01-australia,pirelli,2017
renault,nico-hulkenberg,27,renault,,,12,12,1:24.975,1:25.091,,01-australia,pirelli,2017
mclaren,fernando-alonso,14,honda,,,15,13,1:25.872,1:25.425,,01-australia,pirelli,2017
force-india,esteban-ocon,31,mercedes,,,16,14,1:26.009,1:25.568,,01-australia,pirelli,2017
sauber,marcus-ericsson,9,ferrari,,,15,15,1:26.236,1:26.465,,01-australia,pirelli,2017
sauber,antonio-giovinazzi,36,ferrari,,,8,16,1:26.419,,,01-australia,pirelli,2017
haas,kevin-magnussen,20,ferrari,,,7,17,1:26.847,,,01-australia,pirelli,2017
mclaren,stoffel-vandoorne,2,honda,,,6,18,1:26.858,,,01-australia,pirelli,2017
williams,lance-stroll,18,mercedes,,,7,19,1:27.143,,,01-australia,pirelli,2017
renault,jolyon-palmer,30,renault,,,7,20,1:28.244,,,01-australia,pirelli,2017
mercedes,lewis-hamilton,44,mercedes,,,13,1,1:33.333,1:32.406,1:31.678,02-china,pirelli,2017
ferrari,sebastian-vettel,5,ferrari,+0.186,+0.186,15,2,1:33.078,1:32.391,1:31.864,02-china,pirelli,2017
mercedes,valtteri-bottas,77,mercedes,+0.187,+0.001,14,3,1:33.684,1:32.552,1:31.865,02-china,pirelli,2017
ferrari,kimi-raikkonen,7,ferrari,+0.462,+0.275,15,4,1:33.341,1:32.181,1:32.140,02-china,pirelli,2017
red-bull,daniel-ricciardo,3,tag-heuer,+1.355,+0.893,12,5,1:34.041,1:33.546,1:33.033,02-china,pirelli,2017
williams,felipe-massa,19,mercedes,+1.829,+0.474,14,6,1:34.205,1:33.759,1:33.507,02-china,pirelli,2017
renault,nico-hulkenberg,27,renault,+1.902,+0.073,16,7,1:34.453,1:33.636,1:33.580,02-china,pirelli,2017
force-india,sergio-perez,11,mercedes,+2.028,+0.126,15,8,1:34.657,1:33.920,1:33.706,02-china,pirelli,2017
toro-rosso,daniil-kvyat,26,toro-rosso,+2.041,+0.013,17,9,1:34.440,1:34.034,1:33.719,02-china,pirelli,2017
williams,lance-stroll,18,mercedes,+2.542,+0.501,18,10,1:33.986,1:34.090,1:34.220,02-china,pirelli,2017
toro-rosso,carlos-sainz-jr,55,toro-rosso,,,11,11,1:34.567,1:34.150,,02-china,pirelli,2017
haas,kevin-magnussen,20,ferrari,,,12,12,1:34.942,1:34.164,,02-china,pirelli,2017
mclaren,fernando-alonso,14,honda,,,11,13,1:34.499,1:34.372,,02-china,pirelli,2017
sauber,marcus-ericsson,9,ferrari,,,15,14,1:34.892,1:35.046,,02-china,pirelli,2017
sauber,antonio-giovinazzi,36,ferrari,,,8,15,1:34.963,,,02-china,pirelli,2017
mclaren,stoffel-vandoorne,2,honda,,,6,16,1:35.023,,,02-china,pirelli,2017
haas,romain-grosjean,8,ferrari,,,6,17,1:35.223,,,02-china,pirelli,2017
renault,jolyon-palmer,30,renault,,,6,18,1:35.279,,,02-china,pirelli,2017
red-bull,max-verstappen,33,tag-heuer,,,7,19,1:35.433,,,02-china,pirelli,2017
force-india,esteban-ocon,31,mercedes,,,8,20,1:35.496,,,02-china,pirelli,2017
mercedes,valtteri-bottas,77,mercedes,,,12,1,1:31.041,1:29.555,1:28.769,03-bahrain,pirelli,2017
mercedes,lewis-hamilton,44,mercedes,+0.023,+0.023,13,2,1:30.814,1:29.535,1:28.792,03-bahrain,pirelli,2017
ferrari,sebastian-vettel,5,ferrari,+0.478,+0.455,12,3,1:31.037,1:29.596,1:29.247,03-bahrain,pirelli,2017
red-bull,daniel-ricciardo,3,tag-heuer,+0.776,+0.298,12,4,1:31.667,1:30.497,1:29.545,03-bahrain,pirelli,2017
ferrari,kimi-raikkonen,7,ferrari,+0.798,+0.022,16,5,1:30.988,1:29.843,1:29.567,03-bahrain,pirelli,2017
red-bull,max-verstappen,33,tag-heuer,+0.918,+0.120,12,6,1:30.904,1:30.307,1:29.687,03-bahrain,pirelli,2017
renault,nico-hulkenberg,27,renault,+1.073,+0.155,15,7,1:31.057,1:30.169,1:29.842,03-bahrain,pirelli,2017
williams,felipe-massa,19,mercedes,+1.305,+0.232,12,8,1:31.373,1:30.677,1:30.074,03-bahrain,pirelli,2017
haas,romain-grosjean,8,ferrari,+1.994,+0.689,16,9,1:31.691,1:30.857,1:30.763,03-bahrain,pirelli,2017
renault,jolyon-palmer,30,renault,+2.305,+0.311,15,10,1:31.458,1:30.899,1:31.074,03-bahrain,pirelli,2017
toro-rosso,daniil-kvyat,26,toro-rosso,,,12,11,1:31.531,1:30.923,,03-bahrain,pirelli,2017
williams,lance-stroll,18,mercedes,,,12,12,1:31.748,1:31.168,,03-bahrain,pirelli,2017
sauber,pascal-wehrlein,94,ferrari,,,15,13,1:31.995,1:31.414,,03-bahrain,pirelli,2017
force-india,esteban-ocon,31,mercedes,,,12,14,1:31.774,1:31.684,,03-bahrain,pirelli,2017
mclaren,fernando-alonso,14,honda,,,8,15,1:32.054,,,03-bahrain,pirelli,2017
toro-rosso,carlos-sainz-jr,55,toro-rosso,,,5,16,1:32.118,,,03-bahrain,pirelli,2017
mclaren,stoffel-vandoorne,2,honda,,,8,17,1:32.313,,,03-bahrain,pirelli,2017
