constructorId,engineManufacturerId,points,position,race,year
ferrari,ferrari,37,1,01-australia,2017
mercedes,mercedes,33,2,01-australia,2017
red-bull,tag-heuer,10,3,01-australia,2017
williams,mercedes,8,4,01-australia,2017
force-india,mercedes,7,5,01-australia,2017
toro-rosso,toro-rosso,6,6,01-australia,2017
renault,renault,0,7,01-australia,2017
sauber,ferrari,0,8,01-australia,2017
mclaren,honda,0,9,01-australia,2017
mercedes,mercedes,66,1,02-china,2017
ferrari,ferrari,65,2,02-china,2017
red-bull,tag-heuer,37,3,02-china,2017
toro-rosso,toro-rosso,12,4,02-china,2017
force-india,mercedes,10,5,02-china,2017
williams,mercedes,8,6,02-china,2017
haas,ferrari,4,7,02-china,2017
renault,renault,0,8,02-china,2017
sauber,ferrari,0,9,02-china,2017
mclaren,honda,0,10,02-china,2017
ferrari,ferrari,102,1,03-bahrain,2017
mercedes,mercedes,99,2,03-bahrain,2017
red-bull,tag-heuer,47,3,03-bahrain,2017
force-india,mercedes,17,4,03-bahrain,2017
williams,mercedes,16,5,03-bahrain,2017
toro-rosso,toro-rosso,12,6,03-bahrain,2017
haas,ferrari,8,7,03-bahrain,2017
renault,renault,2,8,03-bahrain,2017
sauber,ferrari,0,9,03-bahrain,2017
mclaren,honda,0,10,03-bahrain,2017
mercedes,mercedes,136,1,04-russia,2017
ferrari,ferrari,135,2,04-russia,2017
red-bull,tag-heuer,57,3,04-russia,2017
force-india,mercedes,31,4,04-russia,2017
williams,mercedes,18,5,04-russia,2017
toro-rosso,toro-rosso,13,6,04-russia,2017
haas,ferrari,8,7,04-russia,2017
renault,renault,6,8,04-russia,2017
sauber,ferrari,0,9,04-russia,2017
mclaren,honda,0,10,04-russia,2017
mercedes,mercedes,161,1,05-spain,2017
ferrari,ferrari,153,2,05-spain,2017
red-bull,tag-heuer,72,3,05-spain,2017
force-india,mercedes,53,4,05-spain,2017
toro-rosso,toro-rosso,21,5,05-spain,2017
williams,mercedes,18,6,05-spain,2017
renault,renault,14,7,05-spain,2017
haas,ferrari,9,8,05-spain,2017
sauber,ferrari,4,9,05-spain,2017
mclaren,honda,0,10,05-spain,2017
ferrari,ferrari,196,1,06-monaco,2017
mercedes,mercedes,179,2,06-monaco,2017
red-bull,tag-heuer,97,3,06-monaco,2017
force-india,mercedes,53,4,06-monaco,2017
toro-rosso,toro-rosso,29,5,06-monaco,2017
williams,mercedes,20,6,06-monaco,2017
renault,renault,14,7,06-monaco,2017
haas,ferrari,14,8,06-monaco,2017
sauber,ferrari,4,9,06-monaco,2017
mclaren,honda,0,10,06-monaco,2017
mercedes,mercedes,222,1,07-canada,2017
ferrari,ferrari,214,2,07-canada,2017
red-bull,tag-heuer,112,3,07-canada,2017
force-india,mercedes,71,4,07-canada,2017
toro-rosso,toro-rosso,29,5,07-canada,2017
williams,mercedes,22,6,07-canada,2017
renault,renault,18,7,07-canada,2017
haas,ferrari,15,8,07-canada,2017
sauber,ferrari,4,9,07-canada,2017
mclaren,honda,0,10,07-canada,2017
mercedes,mercedes,250,1,08-azerbaijan,2017
ferrari,ferrari,226,2,08-azerbaijan,2017
red-bull,tag-heuer,137,3,08-azerbaijan,2017
force-india,mercedes,79,4,08-azerbaijan,2017
williams,mercedes,37,5,08-azerbaijan,2017
toro-rosso,toro-rosso,33,6,08-azerbaijan,2017
haas,ferrari,21,7,08-azerbaijan,2017
renault,renault,18,8,08-azerbaijan,2017
sauber,ferrari,5,9,08-azerbaijan,2017
mclaren,honda,2,10,08-azerbaijan,2017
mercedes,mercedes,287,1,09-austria,2017
ferrari,ferrari,254,2,09-austria,2017
red-bull,tag-heuer,152,3,09-austria,2017
force-india,mercedes,89,4,09-austria,2017
williams,mercedes,40,5,09-austria,2017
toro-rosso,toro-rosso,33,6,09-austria,2017
haas,ferrari,29,7,09-austria,2017
renault,renault,18,8,09-austria,2017
