constructorId,engineManufacturerId,points,position,race,year
ferrari,ferrari,44,1,01-bahrain,2022
mercedes,mercedes,27,2,01-bahrain,2022
haas,ferrari,10,3,01-bahrain,2022
alfa-romeo,ferrari,9,4,01-bahrain,2022
alpine,renault,8,5,01-bahrain,2022
alphatauri,rbpt,4,6,01-bahrain,2022
aston-martin,mercedes,0,7,01-bahrain,2022
williams,mercedes,0,8,01-bahrain,2022
mclaren,mercedes,0,9,01-bahrain,2022
red-bull,rbpt,0,10,01-bahrain,2022
ferrari,ferrari,78,1,02-saudi-arabia,2022
mercedes,mercedes,38,2,02-saudi-arabia,2022
red-bull,rbpt,37,3,02-saudi-arabia,2022
alpine,renault,16,4,02-saudi-arabia,2022
haas,ferrari,12,5,02-saudi-arabia,2022
alfa-romeo,ferrari,9,6,02-saudi-arabia,2022
alphatauri,rbpt,8,7,02-saudi-arabia,2022
mclaren,mercedes,6,8,02-saudi-arabia,2022
aston-martin,mercedes,0,9,02-saudi-arabia,2022
williams,mercedes,0,10,02-saudi-arabia,2022
ferrari,ferrari,104,1,03-australia,2022
mercedes,mercedes,65,2,03-australia,2022
red-bull,rbpt,55,3,03-australia,2022
mclaren,mercedes,24,4,03-australia,2022
alpine,renault,22,5,03-australia,2022
alfa-romeo,ferrari,13,6,03-australia,2022
haas,ferrari,12,7,03-australia,2022
alphatauri,rbpt,10,8,03-australia,2022
williams,mercedes,1,9,03-australia,2022
aston-martin,mercedes,0,10,03-australia,2022
ferrari,ferrari,124,1,04-emilia-romagna,2022
red-bull,rbpt,113,2,04-emilia-romagna,2022
mercedes,mercedes,77,3,04-emilia-romagna,2022
mclaren,mercedes,46,4,04-emilia-romagna,2022
alfa-romeo,ferrari,25,5,04-emilia-romagna,2022
alpine,renault,22,6,04-emilia-romagna,2022
alphatauri,rbpt,16,7,04-emilia-romagna,2022
haas,ferrari,15,8,04-emilia-romagna,2022
aston-martin,mercedes,5,9,04-emilia-romagna,2022
williams,mercedes,1,10,04-emilia-romagna,2022
ferrari,ferrari,157,1,05-miami,2022
red-bull,rbpt,151,2,05-miami,2022
mercedes,mercedes,95,3,05-miami,2022
mclaren,mercedes,46,4,05-miami,2022
alfa-romeo,ferrari,31,5,05-miami,2022
alpine,renault,26,6,05-miami,2022
alphatauri,rbpt,16,7,05-miami,2022
haas,ferrari,15,8,05-miami,2022
aston-martin,mercedes,6,9,05-miami,2022
williams,mercedes,3,10,05-miami,2022
red-bull,rbpt,195,1,06-spain,2022
ferrari,ferrari,169,2,06-spain,2022
mercedes,mercedes,120,3,06-spain,2022
mclaren,mercedes,50,4,06-spain,2022
alfa-romeo,ferrari,39,5,06-spain,2022
alpine,renault,34,6,06-spain,2022
alphatauri,rbpt,17,7,06-spain,2022
haas,ferrari,15,8,06-spain,2022
aston-martin,mercedes,6,9,06-spain,2022
williams,mercedes,3,10,06-spain,2022
red-bull,rbpt,235,1,07-monaco,2022
ferrari,ferrari,199,2,07-monaco,2022
mercedes,mercedes,134,3,07-monaco,2022
mclaren,mercedes,59,4,07-monaco,2022
alfa-romeo,ferrari,41,5,07-monaco,2022
alpine,renault,40,6,07-monaco,2022
alphatauri,rbpt,17,7,07-monaco,2022
haas,ferrari,15,8,07-monaco,2022
aston-martin,mercedes,7,9,07-monaco,2022
williams,mercedes,3,10,07-monaco,2022
red-bull,rbpt,279,1,08-azerbaijan,2022
ferrari,ferrari,199,2,08-azerbaijan,2022
mercedes,mercedes,161,3,08-azerbaijan,2022
mclaren,mercedes,65,4,08-azerbaijan,2022
alpine,renault,47,5,08-azerbaijan,2022
alfa-romeo,ferrari,41,6,08-azerbaijan,2022
alphatauri,rbpt,27,7,08-azerbaijan,2022
haas,ferrari,15,8,08-azerbaijan,2022
aston-martin,mercedes,15,9,08-azerbaijan,2022
williams,mercedes,3,10,08-azerbaijan,2022
red-bull,rbpt,304,1,09-canada,2022
ferrari,ferrari,228,2,09-canada,2022
mercedes,mercedes,188,3,09-canada,2022
