constructorId,engineManufacturerId,points,position,race,year
mercedes,mercedes,43,1,01-australia,2015
ferrari,ferrari,15,2,01-australia,2015
sauber,ferrari,14,3,01-australia,2015
williams,mercedes,12,4,01-australia,2015
red-bull,renault,8,5,01-australia,2015
force-india,mercedes,7,6,01-australia,2015
toro-rosso,renault,2,7,01-australia,2015
mclaren,honda,0,8,01-australia,2015
mercedes,mercedes,76,1,02-malaysia,2015
ferrari,ferrari,52,2,02-malaysia,2015
williams,mercedes,30,3,02-malaysia,2015
sauber,ferrari,14,4,02-malaysia,2015
toro-rosso,renault,12,5,02-malaysia,2015
red-bull,renault,11,6,02-malaysia,2015
force-india,mercedes,7,7,02-malaysia,2015
mclaren,honda,0,8,02-malaysia,2015
lotus-f1,mercedes,0,8,02-malaysia,2015
marussia,ferrari,0,10,02-malaysia,2015
mercedes,mercedes,119,1,03-china,2015
ferrari,ferrari,79,2,03-china,2015
williams,mercedes,48,3,03-china,2015
sauber,ferrari,19,4,03-china,2015
red-bull,renault,13,5,03-china,2015
toro-rosso,renault,12,6,03-china,2015
force-india,mercedes,7,7,03-china,2015
lotus-f1,mercedes,6,8,03-china,2015
mclaren,honda,0,9,03-china,2015
marussia,ferrari,0,10,03-china,2015
mercedes,mercedes,159,1,04-bahrain,2015
ferrari,ferrari,107,2,04-bahrain,2015
williams,mercedes,61,3,04-bahrain,2015
red-bull,renault,23,4,04-bahrain,2015
sauber,ferrari,19,5,04-bahrain,2015
lotus-f1,mercedes,12,6,04-bahrain,2015
toro-rosso,renault,12,7,04-bahrain,2015
force-india,mercedes,11,8,04-bahrain,2015
mclaren,honda,0,9,04-bahrain,2015
marussia,ferrari,0,10,04-bahrain,2015
mercedes,mercedes,202,1,05-spain,2015
ferrari,ferrari,132,2,05-spain,2015
williams,mercedes,81,3,05-spain,2015
red-bull,renault,30,4,05-spain,2015
sauber,ferrari,19,5,05-spain,2015
lotus-f1,mercedes,16,6,05-spain,2015
toro-rosso,renault,14,7,05-spain,2015
force-india,mercedes,11,8,05-spain,2015
mclaren,honda,0,9,05-spain,2015
marussia,ferrari,0,10,05-spain,2015
mercedes,mercedes,242,1,06-monaco,2015
ferrari,ferrari,158,2,06-monaco,2015
williams,mercedes,81,3,06-monaco,2015
red-bull,renault,52,4,06-monaco,2015
sauber,ferrari,21,5,06-monaco,2015
force-india,mercedes,17,6,06-monaco,2015
lotus-f1,mercedes,16,7,06-monaco,2015
toro-rosso,renault,15,8,06-monaco,2015
mclaren,honda,4,9,06-monaco,2015
marussia,ferrari,0,10,06-monaco,2015
mercedes,mercedes,285,1,07-canada,2015
ferrari,ferrari,180,2,07-canada,2015
williams,mercedes,104,3,07-canada,2015
red-bull,renault,54,4,07-canada,2015
lotus-f1,mercedes,23,5,07-canada,2015
sauber,ferrari,21,6,07-canada,2015
force-india,mercedes,21,7,07-canada,2015
toro-rosso,renault,15,8,07-canada,2015
mclaren,honda,4,9,07-canada,2015
marussia,ferrari,0,10,07-canada,2015
mercedes,mercedes,328,1,08-austria,2015
ferrari,ferrari,192,2,08-austria,2015
williams,mercedes,129,3,08-austria,2015
red-bull,renault,55,4,08-austria,2015
force-india,mercedes,31,5,08-austria,2015
lotus-f1,mercedes,29,6,08-austria,2015
sauber,ferrari,21,7,08-austria,2015
toro-rosso,renault,19,8,08-austria,2015
mclaren,honda,4,9,08-austria,2015
marussia,ferrari,0,10,08-austria,2015
mercedes,mercedes,371,1,09-great-britain,2015
ferrari,ferrari,211,2,09-great-britain,2015
williams,mercedes,151,3,09-great-britain,2015
red-bull,renault,63,4,09-great-britain,2015
force-india,mercedes,39,5,09-great-britain,2015
lotus-f1,mercedes,29,6,09-great-britain,2015
sauber,ferrari,21,7,09-great-britain,2015
toro-rosso,renault,19,8,09-great-britain,2015
mclaren,honda,5,9,09-great-britain,2015
marussia,ferrari,0,10,09-great-britain,2015
mercedes,mercedes,383,1,10-hungary,2015
ferrari,ferrari,236,2,10-hungary,2015
williams,mercedes,151,3,10-hungary,2015
red-bull,renault,96,4,10-hungary,2015
force-india,mercedes,39,5,10-hungary,2015
lotus-f1,mercedes,35,6,10-hungary,2015
toro-rosso,renault,31,7,10-hungary,2015
sauber,ferrari,22,8,10-hungary,2015
mclaren,honda,17,9,10-hungary,2015
marussia,ferrari,0,10,10-hungary,2015
mercedes,mercedes,426,1,11-belgium,2015
ferrari,ferrari,242,2,11-belgium,2015
williams,mercedes,161,3,11-belgium,2015
red-bull,renault,108,4,11-belgium,2015
lotus-f1,mercedes,50,5,11-belgium,2015
force-india,mercedes,49,6,11-belgium,2015
toro-rosso,renault,35,7,11-belgium,2015
sauber,ferrari,23,8,11-belgium,2015
mclaren,honda,17,9,11-belgium,2015
marussia,ferrari,0,10,11-belgium,2015
mercedes,mercedes,451,1,12-italy,2015
ferrari,ferrari,270,2,12-italy,2015
williams,mercedes,188,3,12-italy,2015
red-bull,renault,113,4,12-italy,2015
force-india,mercedes,63,5,12-italy,2015
lotus-f1,mercedes,50,6,12-italy,2015
toro-rosso,renault,35,7,12-italy,2015
sauber,ferrari,25,8,12-italy,2015
mclaren,honda,17,9,12-italy,2015
marussia,ferrari,0,10,12-italy,2015
mercedes,mercedes,463,1,13-singapore,2015
ferrari,ferrari,310,2,13-singapore,2015
williams,mercedes,198,3,13-singapore,2015
red-bull,renault,139,4,13-singapore,2015
force-india,mercedes,69,5,13-singapore,2015
lotus-f1,mercedes,50,6,13-singapore,2015
toro-rosso,renault,41,7,13-singapore,2015
sauber,ferrari,26,8,13-singapore,2015
mclaren,honda,17,9,13-singapore,2015
marussia,ferrari,0,10,13-singapore,2015
mercedes,mercedes,506,1,14-japan,2015
ferrari,ferrari,337,2,14-japan,2015
williams,mercedes,208,3,14-japan,2015
red-bull,renault,139,4,14-japan,2015
force-india,mercedes,77,5,14-japan,2015
lotus-f1,mercedes,60,6,14-japan,2015
toro-rosso,renault,44,7,14-japan,2015
sauber,ferrari,26,8,14-japan,2015
mclaren,honda,17,9,14-japan,2015
marussia,ferrari,0,10,14-japan,2015
mercedes,mercedes,531,1,15-russia,2015
ferrari,ferrari,359,2,15-russia,2015
williams,mercedes,220,3,15-russia,2015
red-bull,renault,149,4,15-russia,2015
force-india,mercedes,92,5,15-russia,2015
lotus-f1,mercedes,66,6,15-russia,2015
toro-rosso,renault,45,7,15-russia,2015
sauber,ferrari,34,8,15-russia,2015
mclaren,honda,19,9,15-russia,2015
marussia,ferrari,0,10,15-russia,2015
mercedes,mercedes,574,1,16-united-states,2015
ferrari,ferrari,374,2,16-united-states,2015
williams,mercedes,220,3,16-united-states,2015
red-bull,renault,150,4,16-united-states,2015
force-india,mercedes,102,5,16-united-states,2015
lotus-f1,mercedes,70,6,16-united-states,2015
toro-rosso,renault,63,7,16-united-states,2015
sauber,ferrari,36,8,16-united-states,2015
mclaren,honda,27,9,16-united-states,2015
marussia,ferrari,0,10,16-united-states,2015
mercedes,mercedes,617,1,17-mexico,2015
ferrari,ferrari,374,2,17-mexico,2015
williams,mercedes,243,3,17-mexico,2015
red-bull,renault,172,4,17-mexico,2015
force-india,mercedes,112,5,17-mexico,2015
lotus-f1,mercedes,71,6,17-mexico,2015
toro-rosso,renault,65,7,17-mexico,2015
sauber,ferrari,36,8,17-mexico,2015
mclaren,honda,27,9,17-mexico,2015
marussia,ferrari,0,10,17-mexico,2015
mercedes,mercedes,660,1,18-brazil,2015
ferrari,ferrari,401,2,18-brazil,2015
williams,mercedes,253,3,18-brazil,2015
red-bull,renault,178,4,18-brazil,2015
force-india,mercedes,120,5,18-brazil,2015
lotus-f1,mercedes,76,6,18-brazil,2015
toro-rosso,renault,67,7,18-brazil,2015
sauber,ferrari,36,8,18-brazil,2015
mclaren,honda,27,9,18-brazil,2015
marussia,ferrari,0,10,18-brazil,2015
mercedes,mercedes,703,1,19-abu-dhabi,2015
ferrari,ferrari,428,2,19-abu-dhabi,2015
williams,mercedes,257,3,19-abu-dhabi,2015
