constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,lap,position,race,time,tyreManufacturerId,year
red-bull,daniel-ricciardo,3,tag-heuer,,,54,1,01-australia,1:25.945,pirelli,2018
ferrari,kimi-raikkonen,7,ferrari,+0.428,+0.428,57,2,01-australia,1:26.373,pirelli,2018
mercedes,lewis-hamilton,44,mercedes,+0.499,+0.071,50,3,01-australia,1:26.444,pirelli,2018
ferrari,sebastian-vettel,5,ferrari,+0.524,+0.025,53,4,01-australia,1:26.469,pirelli,2018
red-bull,max-verstappen,33,tag-heuer,+0.935,+0.411,54,5,01-australia,1:26.880,pirelli,2018
mclaren,stoffel-vandoorne,2,renault,+1.013,+0.078,57,6,01-australia,1:26.958,pirelli,2018
mclaren,fernando-alonso,14,renault,+1.033,+0.020,57,7,01-australia,1:26.978,pirelli,2018
mercedes,valtteri-bottas,77,mercedes,+1.074,+0.041,54,8,01-australia,1:27.019,pirelli,2018
renault,nico-hulkenberg,27,renault,+1.136,+0.062,57,9,01-australia,1:27.081,pirelli,2018
force-india,esteban-ocon,31,mercedes,+1.655,+0.519,57,10,01-australia,1:27.600,pirelli,2018
force-india,sergio-perez,11,mercedes,+1.688,+0.033,51,11,01-australia,1:27.633,pirelli,2018
renault,carlos-sainz-jr,55,renault,+1.999,+0.311,51,12,01-australia,1:27.944,pirelli,2018
toro-rosso,brendon-hartley,28,honda,+2.231,+0.232,57,13,01-australia,1:28.176,pirelli,2018
williams,lance-stroll,18,mercedes,+2.566,+0.335,55,14,01-australia,1:28.511,pirelli,2018
sauber,charles-leclerc,16,ferrari,+2.814,+0.248,56,15,01-australia,1:28.759,pirelli,2018
haas,romain-grosjean,8,ferrari,+2.860,+0.046,23,16,01-australia,1:28.805,pirelli,2018
haas,kevin-magnussen,20,ferrari,+3.589,+0.729,21,17,01-australia,1:29.534,pirelli,2018
toro-rosso,pierre-gasly,10,honda,+4.704,+1.115,13,18,01-australia,1:30.649,pirelli,2018
