constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,lap,position,race,time,tyreManufacturerId,year
lotus-f1,kimi-raikkonen,7,renault,,,56,1,01-australia,1:29.274,pirelli,2013
toro-rosso,jean-eric-vergne,18,ferrari,+0.224,+0.224,50,2,01-australia,1:29.498,pirelli,2013
ferrari,fernando-alonso,3,ferrari,+0.286,+0.062,53,3,01-australia,1:29.560,pirelli,2013
red-bull,mark-webber,2,renault,+0.458,+0.172,45,4,01-australia,1:29.732,pirelli,2013
mercedes,lewis-hamilton,10,mercedes,+0.485,+0.027,45,5,01-australia,1:29.759,pirelli,2013
mclaren,sergio-perez,6,mercedes,+0.652,+0.167,46,6,01-australia,1:29.926,pirelli,2013
mclaren,jenson-button,5,mercedes,+0.924,+0.272,41,7,01-australia,1:30.198,pirelli,2013
ferrari,felipe-massa,4,ferrari,+0.965,+0.041,38,8,01-australia,1:30.239,pirelli,2013
lotus-f1,romain-grosjean,8,renault,+1.121,+0.156,41,9,01-australia,1:30.395,pirelli,2013
red-bull,sebastian-vettel,1,renault,+1.135,+0.014,42,10,01-australia,1:30.409,pirelli,2013
marussia,jules-bianchi,22,cosworth,+1.180,+0.045,52,11,01-australia,1:30.454,pirelli,2013
williams,valtteri-bottas,17,renault,+1.378,+0.198,42,12,01-australia,1:30.652,pirelli,2013
force-india,adrian-sutil,15,mercedes,+1.436,+0.058,49,13,01-australia,1:30.710,pirelli,2013
toro-rosso,daniel-ricciardo,19,ferrari,+1.607,+0.171,33,14,01-australia,1:30.881,pirelli,2013
force-india,paul-di-resta,14,mercedes,+1.620,+0.013,56,15,01-australia,1:30.894,pirelli,2013
sauber,esteban-gutierrez,12,ferrari,+2.141,+0.521,32,16,01-australia,1:31.415,pirelli,2013
marussia,max-chilton,23,cosworth,+2.936,+0.795,49,17,01-australia,1:32.210,pirelli,2013
mercedes,nico-rosberg,9,mercedes,+2.985,+0.049,18,18,01-australia,1:32.259,pirelli,2013
caterham,charles-pic,20,renault,+2.987,+0.002,55,19,01-australia,1:32.261,pirelli,2013
caterham,giedo-van-der-garde,21,renault,+3.362,+0.375,39,20,01-australia,1:32.636,pirelli,2013
williams,pastor-maldonado,16,renault,+3.641,+0.279,12,21,01-australia,1:32.915,pirelli,2013
mclaren,sergio-perez,6,mercedes,,,56,1,02-malaysia,1:39.199,pirelli,2013
ferrari,felipe-massa,4,ferrari,+0.606,+0.606,50,2,02-malaysia,1:39.805,pirelli,2013
red-bull,sebastian-vettel,1,renault,+1.247,+0.641,45,3,02-malaysia,1:40.446,pirelli,2013
toro-rosso,jean-eric-vergne,18,ferrari,+1.293,+0.046,45,4,02-malaysia,1:40.492,pirelli,2013
mclaren,jenson-button,5,mercedes,+1.357,+0.064,43,5,02-malaysia,1:40.556,pirelli,2013
red-bull,mark-webber,2,renault,+1.486,+0.129,45,6,02-malaysia,1:40.685,pirelli,2013
sauber,nico-hulkenberg,11,ferrari,+1.528,+0.042,46,7,02-malaysia,1:40.727,pirelli,2013
mercedes,nico-rosberg,9,mercedes,+1.556,+0.028,44,8,02-malaysia,1:40.755,pirelli,2013
sauber,esteban-gutierrez,12,ferrari,+1.730,+0.174,54,9,02-malaysia,1:40.929,pirelli,2013
mercedes,lewis-hamilton,10,mercedes,+1.802,+0.072,32,10,02-malaysia,1:41.001,pirelli,2013
lotus-f1,romain-grosjean,8,renault,+2.027,+0.225,37,11,02-malaysia,1:41.226,pirelli,2013
williams,valtteri-bottas,17,renault,+2.174,+0.147,54,12,02-malaysia,1:41.373,pirelli,2013
lotus-f1,kimi-raikkonen,7,renault,+2.570,+0.396,37,13,02-malaysia,1:41.769,pirelli,2013
marussia,jules-bianchi,22,cosworth,+3.224,+0.654,47,14,02-malaysia,1:42.423,pirelli,2013
toro-rosso,daniel-ricciardo,19,ferrari,+3.382,+0.158,35,15,02-malaysia,1:42.581,pirelli,2013
force-india,adrian-sutil,15,mercedes,+3.592,+0.210,24,16,02-malaysia,1:42.791,pirelli,2013
caterham,charles-pic,20,renault,+3.743,+0.151,51,17,02-malaysia,1:42.942,pirelli,2013
force-india,paul-di-resta,14,mercedes,+3.895,+0.152,19,18,02-malaysia,1:43.094,pirelli,2013
marussia,max-chilton,23,cosworth,+3.951,+0.056,44,19,02-malaysia,1:43.150,pirelli,2013
caterham,giedo-van-der-garde,21,renault,+3.958,+0.007,44,20,02-malaysia,1:43.157,pirelli,2013
williams,pastor-maldonado,16,renault,+4.266,+0.308,34,21,02-malaysia,1:43.465,pirelli,2013
red-bull,sebastian-vettel,1,renault,,,53,1,03-china,1:36.808,pirelli,2013
mclaren,jenson-button,5,mercedes,+1.250,+1.250,56,2,03-china,1:38.058,pirelli,2013
williams,valtteri-bottas,17,renault,+1.392,+0.142,53,3,03-china,1:38.200,pirelli,2013
ferrari,fernando-alonso,3,ferrari,+2.698,+1.306,46,4,03-china,1:39.506,pirelli,2013
