constructorId,engineManufacturerId,points,position,race,year
mercedes,mercedes,43,1,01-australia,2016
ferrari,ferrari,15,2,01-australia,2016
williams,mercedes,14,3,01-australia,2016
red-bull,tag-heuer,12,4,01-australia,2016
haas,ferrari,8,5,01-australia,2016
force-india,mercedes,6,6,01-australia,2016
toro-rosso,ferrari,3,7,01-australia,2016
renault,renault,0,8,01-australia,2016
mclaren,honda,0,9,01-australia,2016
sauber,ferrari,0,10,01-australia,2016
manor,mercedes,0,11,01-australia,2016
mercedes,mercedes,83,1,02-bahrain,2016
ferrari,ferrari,33,2,02-bahrain,2016
red-bull,tag-heuer,30,3,02-bahrain,2016
williams,mercedes,20,4,02-bahrain,2016
haas,ferrari,18,5,02-bahrain,2016
toro-rosso,ferrari,11,6,02-bahrain,2016
force-india,mercedes,6,7,02-bahrain,2016
mclaren,honda,1,8,02-bahrain,2016
renault,renault,0,9,02-bahrain,2016
sauber,ferrari,0,10,02-bahrain,2016
manor,mercedes,0,11,02-bahrain,2016
mercedes,mercedes,114,1,03-china,2016
ferrari,ferrari,61,2,03-china,2016
red-bull,tag-heuer,57,3,03-china,2016
williams,mercedes,29,4,03-china,2016
haas,ferrari,18,5,03-china,2016
toro-rosso,ferrari,17,6,03-china,2016
force-india,mercedes,6,7,03-china,2016
mclaren,honda,1,8,03-china,2016
renault,renault,0,9,03-china,2016
sauber,ferrari,0,10,03-china,2016
manor,mercedes,0,11,03-china,2016
mercedes,mercedes,157,1,04-russia,2016
ferrari,ferrari,76,2,04-russia,2016
red-bull,tag-heuer,57,3,04-russia,2016
williams,mercedes,51,4,04-russia,2016
haas,ferrari,22,5,04-russia,2016
toro-rosso,ferrari,17,6,04-russia,2016
mclaren,honda,10,7,04-russia,2016
force-india,mercedes,8,8,04-russia,2016
renault,renault,6,9,04-russia,2016
sauber,ferrari,0,10,04-russia,2016
manor,mercedes,0,11,04-russia,2016
mercedes,mercedes,157,1,05-spain,2016
ferrari,ferrari,109,2,05-spain,2016
red-bull,tag-heuer,94,3,05-spain,2016
williams,mercedes,65,4,05-spain,2016
toro-rosso,ferrari,26,5,05-spain,2016
haas,ferrari,22,6,05-spain,2016
force-india,mercedes,14,7,05-spain,2016
mclaren,honda,12,8,05-spain,2016
renault,renault,6,9,05-spain,2016
sauber,ferrari,0,10,05-spain,2016
manor,mercedes,0,11,05-spain,2016
mercedes,mercedes,188,1,06-monaco,2016
ferrari,ferrari,121,2,06-monaco,2016
red-bull,tag-heuer,112,3,06-monaco,2016
williams,mercedes,66,4,06-monaco,2016
force-india,mercedes,37,5,06-monaco,2016
toro-rosso,ferrari,30,6,06-monaco,2016
mclaren,honda,24,7,06-monaco,2016
haas,ferrari,22,8,06-monaco,2016
renault,renault,6,9,06-monaco,2016
sauber,ferrari,0,10,06-monaco,2016
manor,mercedes,0,11,06-monaco,2016
mercedes,mercedes,223,1,07-canada,2016
ferrari,ferrari,147,2,07-canada,2016
red-bull,tag-heuer,130,3,07-canada,2016
williams,mercedes,81,4,07-canada,2016
force-india,mercedes,42,5,07-canada,2016
toro-rosso,ferrari,32,6,07-canada,2016
mclaren,honda,24,7,07-canada,2016
haas,ferrari,22,8,07-canada,2016
renault,renault,6,9,07-canada,2016
sauber,ferrari,0,10,07-canada,2016
manor,mercedes,0,11,07-canada,2016
mercedes,mercedes,258,1,08-europe,2016
ferrari,ferrari,177,2,08-europe,2016
red-bull,tag-heuer,140,3,08-europe,2016
williams,mercedes,90,4,08-europe,2016
force-india,mercedes,59,5,08-europe,2016
toro-rosso,ferrari,32,6,08-europe,2016
mclaren,honda,24,7,08-europe,2016
haas,ferrari,22,8,08-europe,2016
renault,renault,6,9,08-europe,2016
sauber,ferrari,0,10,08-europe,2016
manor,mercedes,0,11,08-europe,2016
mercedes,mercedes,295,1,09-austria,2016
ferrari,ferrari,192,2,09-austria,2016
red-bull,tag-heuer,168,3,09-austria,2016
williams,mercedes,92,4,09-austria,2016
force-india,mercedes,59,5,09-austria,2016
toro-rosso,ferrari,36,6,09-austria,2016
mclaren,honda,32,7,09-austria,2016
haas,ferrari,28,8,09-austria,2016
renault,renault,6,9,09-austria,2016
manor,mercedes,1,10,09-austria,2016
sauber,ferrari,0,11,09-austria,2016
mercedes,mercedes,335,1,10-great-britain,2016
ferrari,ferrari,204,2,10-great-britain,2016
red-bull,tag-heuer,198,3,10-great-britain,2016
williams,mercedes,92,4,10-great-britain,2016
force-india,mercedes,73,5,10-great-britain,2016
toro-rosso,ferrari,41,6,10-great-britain,2016
mclaren,honda,32,7,10-great-britain,2016
haas,ferrari,28,8,10-great-britain,2016
renault,renault,6,9,10-great-britain,2016
manor,mercedes,1,10,10-great-britain,2016
sauber,ferrari,0,11,10-great-britain,2016
mercedes,mercedes,378,1,11-hungary,2016
ferrari,ferrari,224,2,11-hungary,2016
red-bull,tag-heuer,223,3,11-hungary,2016
williams,mercedes,94,4,11-hungary,2016
force-india,mercedes,74,5,11-hungary,2016
toro-rosso,ferrari,45,6,11-hungary,2016
mclaren,honda,38,7,11-hungary,2016
haas,ferrari,28,8,11-hungary,2016
renault,renault,6,9,11-hungary,2016
manor,mercedes,1,10,11-hungary,2016
sauber,ferrari,0,11,11-hungary,2016
mercedes,mercedes,415,1,12-germany,2016
red-bull,tag-heuer,256,2,12-germany,2016
ferrari,ferrari,242,3,12-germany,2016
williams,mercedes,96,4,12-germany,2016
force-india,mercedes,81,5,12-germany,2016
toro-rosso,ferrari,45,6,12-germany,2016
mclaren,honda,42,7,12-germany,2016
haas,ferrari,28,8,12-germany,2016
renault,renault,6,9,12-germany,2016
manor,mercedes,1,10,12-germany,2016
sauber,ferrari,0,11,12-germany,2016
mercedes,mercedes,455,1,13-belgium,2016
red-bull,tag-heuer,274,2,13-belgium,2016
ferrari,ferrari,252,3,13-belgium,2016
force-india,mercedes,103,4,13-belgium,2016
williams,mercedes,101,5,13-belgium,2016
mclaren,honda,48,6,13-belgium,2016
toro-rosso,ferrari,45,7,13-belgium,2016
haas,ferrari,28,8,13-belgium,2016
renault,renault,6,9,13-belgium,2016
manor,mercedes,1,10,13-belgium,2016
sauber,ferrari,0,11,13-belgium,2016
mercedes,mercedes,498,1,14-italy,2016
red-bull,tag-heuer,290,2,14-italy,2016
ferrari,ferrari,279,3,14-italy,2016
williams,mercedes,111,4,14-italy,2016
force-india,mercedes,108,5,14-italy,2016
mclaren,honda,48,6,14-italy,2016
toro-rosso,ferrari,45,7,14-italy,2016
haas,ferrari,28,8,14-italy,2016
renault,renault,6,9,14-italy,2016
manor,mercedes,1,10,14-italy,2016
sauber,ferrari,0,11,14-italy,2016
mercedes,mercedes,538,1,15-singapore,2016
red-bull,tag-heuer,316,2,15-singapore,2016
ferrari,ferrari,301,3,15-singapore,2016
force-india,mercedes,112,4,15-singapore,2016
