constructorId,driverId,driverNumber,engineManufacturerId,gap,grandSlam,gridPosition,interval,laps,points,position,race,reasonRetired,time,timePenalty,tyreManufacturerId,year
ferrari,sebastian-vettel,5,ferrari,,,2,,57,25,1,01-australia,,1:24:11.672,,pirelli,2017
mercedes,lewis-hamilton,44,mercedes,+9.975,,1,+9.975,57,18,2,01-australia,,1:24:21.647,,pirelli,2017
mercedes,valtteri-bottas,77,mercedes,+11.250,,3,+1.275,57,15,3,01-australia,,1:24:22.922,,pirelli,2017
ferrari,kimi-raikkonen,7,ferrari,+22.393,,4,+11.143,57,12,4,01-australia,,1:24:34.065,,pirelli,2017
red-bull,max-verstappen,33,tag-heuer,+28.827,,5,+6.434,57,10,5,01-australia,,1:24:40.499,,pirelli,2017
williams,felipe-massa,19,mercedes,+1:23.386,,7,+54.559,57,8,6,01-australia,,1:25:35.058,,pirelli,2017
force-india,sergio-perez,11,mercedes,+1 lap,,10,,56,6,7,01-australia,,,,pirelli,2017
toro-rosso,carlos-sainz-jr,55,toro-rosso,+1 lap,,8,,56,4,8,01-australia,,,,pirelli,2017
toro-rosso,daniil-kvyat,26,toro-rosso,+1 lap,,9,,56,2,9,01-australia,,,,pirelli,2017
force-india,esteban-ocon,31,mercedes,+1 lap,,13,,56,1,10,01-australia,,,,pirelli,2017
renault,nico-hulkenberg,27,renault,+1 lap,,11,,56,,11,01-australia,,,,pirelli,2017
sauber,antonio-giovinazzi,36,ferrari,+2 laps,,16,,55,,12,01-australia,,,,pirelli,2017
mclaren,stoffel-vandoorne,2,honda,+2 laps,,18,,55,,13,01-australia,,,,pirelli,2017
mclaren,fernando-alonso,14,honda,,,12,,50,,DNF,01-australia,Broken floor,,,pirelli,2017
haas,kevin-magnussen,20,ferrari,,,17,,46,,DNF,01-australia,Suspension,,,pirelli,2017
williams,lance-stroll,18,mercedes,,,20,,40,,DNF,01-australia,Brakes,,,pirelli,2017
red-bull,daniel-ricciardo,3,tag-heuer,,,PL,,25,,DNF,01-australia,Fuel cell,,,pirelli,2017
sauber,marcus-ericsson,9,ferrari,,,14,,21,,DNF,01-australia,Hydraulics,,,pirelli,2017
renault,jolyon-palmer,30,renault,,,19,,15,,DNF,01-australia,Brakes,,,pirelli,2017
haas,romain-grosjean,8,ferrari,,,6,,13,,DNF,01-australia,Water leak,,,pirelli,2017
mercedes,lewis-hamilton,44,mercedes,,True,1,,56,25,1,02-china,,1:37:36.158,,pirelli,2017
ferrari,sebastian-vettel,5,ferrari,+6.250,,2,+6.250,56,18,2,02-china,,1:37:42.408,,pirelli,2017
red-bull,max-verstappen,33,tag-heuer,+45.192,,16,+38.942,56,15,3,02-china,,1:38:21.350,,pirelli,2017
red-bull,daniel-ricciardo,3,tag-heuer,+46.035,,5,+0.843,56,12,4,02-china,,1:38:22.193,,pirelli,2017
ferrari,kimi-raikkonen,7,ferrari,+48.076,,4,+2.041,56,10,5,02-china,,1:38:24.234,,pirelli,2017
mercedes,valtteri-bottas,77,mercedes,+48.808,,3,+0.732,56,8,6,02-china,,1:38:24.966,,pirelli,2017
toro-rosso,carlos-sainz-jr,55,toro-rosso,+1:12.893,,11,+24.085,56,6,7,02-china,,1:38:49.051,,pirelli,2017
haas,kevin-magnussen,20,ferrari,+1 lap,,12,,55,4,8,02-china,,,,pirelli,2017
force-india,sergio-perez,11,mercedes,+1 lap,,8,,55,2,9,02-china,,,,pirelli,2017
force-india,esteban-ocon,31,mercedes,+1 lap,,17,,55,1,10,02-china,,,,pirelli,2017
haas,romain-grosjean,8,ferrari,+1 lap,,19,,55,,11,02-china,,,,pirelli,2017
renault,nico-hulkenberg,27,renault,+1 lap,,7,,55,,12,02-china,,,,pirelli,2017
renault,jolyon-palmer,30,renault,+1 lap,,20,,55,,13,02-china,,,,pirelli,2017
williams,felipe-massa,19,mercedes,+1 lap,,6,,55,,14,02-china,,,,pirelli,2017
sauber,marcus-ericsson,9,ferrari,+1 lap,,14,,55,,15,02-china,,,,pirelli,2017
mclaren,fernando-alonso,14,honda,,,13,,33,,DNF,02-china,Driveshaft,,,pirelli,2017
toro-rosso,daniil-kvyat,26,toro-rosso,,,9,,18,,DNF,02-china,Hydraulics,,,pirelli,2017
mclaren,stoffel-vandoorne,2,honda,,,15,,17,,DNF,02-china,Fuel pressure,,,pirelli,2017
