constructorId,engineManufacturerId,points,position,race,year
mercedes,mercedes,37,1,01-austria,2020
mclaren,renault,26,2,01-austria,2020
ferrari,ferrari,19,3,01-austria,2020
racing-point,bwt-mercedes,8,4,01-austria,2020
alphatauri,honda,6,5,01-austria,2020
renault,renault,4,6,01-austria,2020
alfa-romeo,ferrari,2,7,01-austria,2020
williams,mercedes,0,8,01-austria,2020
red-bull,honda,0,9,01-austria,2020
mercedes,mercedes,80,1,02-styria,2020
mclaren,renault,39,2,02-styria,2020
red-bull,honda,27,3,02-styria,2020
racing-point,bwt-mercedes,22,4,02-styria,2020
ferrari,ferrari,19,5,02-styria,2020
renault,renault,8,6,02-styria,2020
alphatauri,honda,7,7,02-styria,2020
alfa-romeo,ferrari,2,8,02-styria,2020
williams,mercedes,0,9,02-styria,2020
haas,ferrari,0,10,02-styria,2020
mercedes,mercedes,121,1,03-hungary,2020
red-bull,honda,55,2,03-hungary,2020
mclaren,renault,41,3,03-hungary,2020
racing-point,bwt-mercedes,40,4,03-hungary,2020
ferrari,ferrari,27,5,03-hungary,2020
renault,renault,12,6,03-hungary,2020
alphatauri,honda,7,7,03-hungary,2020
alfa-romeo,ferrari,2,8,03-hungary,2020
haas,ferrari,1,9,03-hungary,2020
williams,mercedes,0,10,03-hungary,2020
mercedes,mercedes,146,1,04-great-britain,2020
red-bull,honda,78,2,04-great-britain,2020
mclaren,renault,51,3,04-great-britain,2020
ferrari,ferrari,43,4,04-great-britain,2020
racing-point,bwt-mercedes,42,5,04-great-britain,2020
renault,renault,32,6,04-great-britain,2020
alphatauri,honda,13,7,04-great-britain,2020
alfa-romeo,ferrari,2,8,04-great-britain,2020
haas,ferrari,1,9,04-great-britain,2020
williams,mercedes,0,10,04-great-britain,2020
mercedes,mercedes,180,1,05-70th-anniversary,2020
red-bull,honda,113,2,05-70th-anniversary,2020
ferrari,ferrari,55,3,05-70th-anniversary,2020
mclaren,renault,53,4,05-70th-anniversary,2020
racing-point,bwt-mercedes,41,5,05-70th-anniversary,2020
renault,renault,36,6,05-70th-anniversary,2020
alphatauri,honda,14,7,05-70th-anniversary,2020
alfa-romeo,ferrari,2,8,05-70th-anniversary,2020
haas,ferrari,1,9,05-70th-anniversary,2020
williams,mercedes,0,10,05-70th-anniversary,2020
mercedes,mercedes,221,1,06-spain,2020
red-bull,honda,135,2,06-spain,2020
racing-point,bwt-mercedes,63,3,06-spain,2020
mclaren,renault,62,4,06-spain,2020
ferrari,ferrari,61,5,06-spain,2020
renault,renault,36,6,06-spain,2020
alphatauri,honda,16,7,06-spain,2020
alfa-romeo,ferrari,2,8,06-spain,2020
haas,ferrari,1,9,06-spain,2020
williams,mercedes,0,10,06-spain,2020
mercedes,mercedes,264,1,07-belgium,2020
red-bull,honda,158,2,07-belgium,2020
mclaren,renault,68,3,07-belgium,2020
