constructorId,driverId,driverNumber,engineManufacturerId,lap,position,race,stop,time,tyreManufacturerId,year
williams,bruno-senna,19,renault,1,1,01-australia,1,24.599,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,1,2,01-australia,1,32.319,pirelli,2012
ferrari,felipe-massa,6,ferrari,11,3,01-australia,1,22.313,pirelli,2012
mercedes,nico-rosberg,8,mercedes,12,4,01-australia,1,23.203,pirelli,2012
ferrari,fernando-alonso,5,ferrari,13,5,01-australia,1,22.035,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,13,6,01-australia,1,25.346,pirelli,2012
force-india,paul-di-resta,11,mercedes,13,7,01-australia,1,24.933,pirelli,2012
red-bull,mark-webber,2,renault,14,8,01-australia,1,23.302,pirelli,2012
caterham,heikki-kovalainen,20,renault,14,9,01-australia,1,24.397,pirelli,2012
mclaren,jenson-button,3,mercedes,16,10,01-australia,1,23.275,pirelli,2012
red-bull,sebastian-vettel,1,renault,16,11,01-australia,1,24.256,pirelli,2012
williams,pastor-maldonado,18,renault,16,12,01-australia,1,23.427,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,17,13,01-australia,1,22.862,pirelli,2012
caterham,vitaly-petrov,21,renault,18,14,01-australia,1,24.579,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,19,15,01-australia,1,24.881,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,19,16,01-australia,1,23.203,pirelli,2012
marussia,timo-glock,24,cosworth,20,17,01-australia,1,26.322,pirelli,2012
marussia,charles-pic,25,cosworth,21,18,01-australia,1,25.303,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,22,19,01-australia,2,23.257,pirelli,2012
sauber,sergio-perez,15,ferrari,24,20,01-australia,1,23.882,pirelli,2012
ferrari,felipe-massa,6,ferrari,28,21,01-australia,2,22.528,pirelli,2012
williams,bruno-senna,19,renault,30,22,01-australia,2,23.777,pirelli,2012
mercedes,nico-rosberg,8,mercedes,31,23,01-australia,2,23.017,pirelli,2012
force-india,paul-di-resta,11,mercedes,33,24,01-australia,2,24.579,pirelli,2012
ferrari,fernando-alonso,5,ferrari,34,25,01-australia,2,21.910,pirelli,2012
caterham,heikki-kovalainen,20,renault,34,26,01-australia,2,24.580,pirelli,2012
mclaren,jenson-button,3,mercedes,36,27,01-australia,2,22.837,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,36,28,01-australia,2,23.464,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,36,29,01-australia,2,24.162,pirelli,2012
marussia,charles-pic,25,cosworth,35,30,01-australia,2,48.984,pirelli,2012
red-bull,sebastian-vettel,1,renault,37,31,01-australia,2,24.131,pirelli,2012
red-bull,mark-webber,2,renault,37,32,01-australia,2,22.915,pirelli,2012
williams,pastor-maldonado,18,renault,37,33,01-australia,2,23.166,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,37,34,01-australia,2,23.310,pirelli,2012
toro-rosso,jean-eric-vergne,17,ferrari,37,35,01-australia,2,23.569,pirelli,2012
marussia,timo-glock,24,cosworth,36,36,01-australia,2,25.046,pirelli,2012
ferrari,felipe-massa,6,ferrari,37,37,01-australia,3,22.103,pirelli,2012
caterham,heikki-kovalainen,20,renault,37,38,01-australia,3,28.888,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,38,39,01-australia,3,24.348,pirelli,2012
williams,bruno-senna,19,renault,47,40,01-australia,3,30.888,pirelli,2012
marussia,charles-pic,25,cosworth,51,41,01-australia,3,17.088,pirelli,2012
sauber,sergio-perez,15,ferrari,1,1,02-malaysia,1,25.671,pirelli,2012
williams,bruno-senna,19,renault,1,2,02-malaysia,1,31.006,pirelli,2012
force-india,paul-di-resta,11,mercedes,2,3,02-malaysia,1,23.988,pirelli,2012
ferrari,felipe-massa,6,ferrari,3,4,02-malaysia,1,24.034,pirelli,2012
marussia,timo-glock,24,cosworth,3,5,02-malaysia,1,25.096,pirelli,2012
marussia,charles-pic,25,cosworth,3,6,02-malaysia,1,29.317,pirelli,2012
mclaren,jenson-button,3,mercedes,4,7,02-malaysia,1,24.305,pirelli,2012
ferrari,fernando-alonso,5,ferrari,4,8,02-malaysia,1,24.653,pirelli,2012
force-india,nico-hulkenberg,12,mercedes,4,9,02-malaysia,1,23.856,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,4,10,02-malaysia,1,25.470,pirelli,2012
caterham,vitaly-petrov,21,renault,4,11,02-malaysia,1,24.718,pirelli,2012
caterham,heikki-kovalainen,20,renault,4,12,02-malaysia,1,32.670,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,5,13,02-malaysia,1,24.271,pirelli,2012
red-bull,mark-webber,2,renault,5,14,02-malaysia,1,24.569,pirelli,2012
red-bull,sebastian-vettel,1,renault,5,15,02-malaysia,1,25.658,pirelli,2012
mercedes,nico-rosberg,8,mercedes,5,16,02-malaysia,1,25.600,pirelli,2012
williams,pastor-maldonado,18,renault,5,17,02-malaysia,1,25.535,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,5,18,02-malaysia,1,27.602,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,5,19,02-malaysia,1,28.122,pirelli,2012
mercedes,michael-schumacher,7,mercedes,5,20,02-malaysia,1,24.831,pirelli,2012
williams,bruno-senna,19,renault,7,21,02-malaysia,2,26.269,pirelli,2012
mclaren,jenson-button,3,mercedes,13,22,02-malaysia,2,25.922,pirelli,2012
mercedes,nico-rosberg,8,mercedes,13,23,02-malaysia,2,25.199,pirelli,2012
lotus-f1,kimi-raikkonen,9,renault,13,24,02-malaysia,2,24.927,pirelli,2012
sauber,kamui-kobayashi,14,ferrari,13,25,02-malaysia,2,26.255,pirelli,2012
hrt,pedro-de-la-rosa,22,cosworth,13,26,02-malaysia,1,15.684,pirelli,2012
caterham,vitaly-petrov,21,renault,13,27,02-malaysia,2,29.359,pirelli,2012
marussia,timo-glock,24,cosworth,13,28,02-malaysia,2,25.660,pirelli,2012
williams,bruno-senna,19,renault,13,29,02-malaysia,3,24.980,pirelli,2012
mclaren,lewis-hamilton,4,mercedes,14,30,02-malaysia,2,27.961,pirelli,2012
ferrari,fernando-alonso,5,ferrari,14,31,02-malaysia,2,22.864,pirelli,2012
red-bull,mark-webber,2,renault,14,32,02-malaysia,2,26.337,pirelli,2012
ferrari,felipe-massa,6,ferrari,14,33,02-malaysia,2,24.420,pirelli,2012
force-india,paul-di-resta,11,mercedes,14,34,02-malaysia,2,22.856,pirelli,2012
williams,pastor-maldonado,18,renault,14,35,02-malaysia,2,21.621,pirelli,2012
mercedes,michael-schumacher,7,mercedes,14,36,02-malaysia,2,24.094,pirelli,2012
toro-rosso,daniel-ricciardo,16,ferrari,14,37,02-malaysia,2,24.539,pirelli,2012
caterham,heikki-kovalainen,20,renault,14,38,02-malaysia,2,25.130,pirelli,2012
