driverId,points,position,race,year
charles-pic,0,22,06-monaco,2012
vitaly-petrov,0,23,06-monaco,2012
pedro-de-la-rosa,0,24,06-monaco,2012
lewis-hamilton,88,1,07-canada,2012
fernando-alonso,86,2,07-canada,2012
sebastian-vettel,85,3,07-canada,2012
mark-webber,79,4,07-canada,2012
nico-rosberg,67,5,07-canada,2012
kimi-raikkonen,55,6,07-canada,2012
romain-grosjean,53,7,07-canada,2012
jenson-button,45,8,07-canada,2012
sergio-perez,37,9,07-canada,2012
pastor-maldonado,29,10,07-canada,2012
kamui-kobayashi,21,11,07-canada,2012
paul-di-resta,21,12,07-canada,2012
bruno-senna,15,13,07-canada,2012
felipe-massa,11,14,07-canada,2012
nico-hulkenberg,7,15,07-canada,2012
jean-eric-vergne,4,16,07-canada,2012
daniel-ricciardo,2,17,07-canada,2012
michael-schumacher,2,18,07-canada,2012
heikki-kovalainen,0,19,07-canada,2012
timo-glock,0,20,07-canada,2012
charles-pic,0,21,07-canada,2012
narain-karthikeyan,0,21,07-canada,2012
vitaly-petrov,0,23,07-canada,2012
pedro-de-la-rosa,0,24,07-canada,2012
fernando-alonso,111,1,08-europe,2012
mark-webber,91,2,08-europe,2012
lewis-hamilton,88,3,08-europe,2012
sebastian-vettel,85,4,08-europe,2012
nico-rosberg,75,5,08-europe,2012
kimi-raikkonen,73,6,08-europe,2012
romain-grosjean,53,7,08-europe,2012
jenson-button,49,8,08-europe,2012
sergio-perez,39,9,08-europe,2012
pastor-maldonado,29,10,08-europe,2012
paul-di-resta,27,11,08-europe,2012
kamui-kobayashi,21,12,08-europe,2012
michael-schumacher,17,13,08-europe,2012
nico-hulkenberg,17,14,08-europe,2012
bruno-senna,16,15,08-europe,2012
felipe-massa,11,16,08-europe,2012
jean-eric-vergne,4,17,08-europe,2012
daniel-ricciardo,2,18,08-europe,2012
heikki-kovalainen,0,19,08-europe,2012
vitaly-petrov,0,20,08-europe,2012
timo-glock,0,21,08-europe,2012
charles-pic,0,22,08-europe,2012
narain-karthikeyan,0,23,08-europe,2012
pedro-de-la-rosa,0,24,08-europe,2012
fernando-alonso,129,1,09-great-britain,2012
mark-webber,116,2,09-great-britain,2012
sebastian-vettel,100,3,09-great-britain,2012
lewis-hamilton,92,4,09-great-britain,2012
kimi-raikkonen,83,5,09-great-britain,2012
nico-rosberg,75,6,09-great-britain,2012
romain-grosjean,61,7,09-great-britain,2012
jenson-button,50,8,09-great-britain,2012
sergio-perez,39,9,09-great-britain,2012
pastor-maldonado,29,10,09-great-britain,2012
paul-di-resta,27,11,09-great-britain,2012
michael-schumacher,23,12,09-great-britain,2012
felipe-massa,23,13,09-great-britain,2012
kamui-kobayashi,21,14,09-great-britain,2012
bruno-senna,18,15,09-great-britain,2012
nico-hulkenberg,17,16,09-great-britain,2012
jean-eric-vergne,4,17,09-great-britain,2012
daniel-ricciardo,2,18,09-great-britain,2012
heikki-kovalainen,0,19,09-great-britain,2012
vitaly-petrov,0,20,09-great-britain,2012
timo-glock,0,21,09-great-britain,2012
charles-pic,0,22,09-great-britain,2012
narain-karthikeyan,0,23,09-great-britain,2012
pedro-de-la-rosa,0,24,09-great-britain,2012
fernando-alonso,154,1,10-germany,2012
mark-webber,120,2,10-germany,2012
sebastian-vettel,110,3,10-germany,2012
kimi-raikkonen,98,4,10-germany,2012
lewis-hamilton,92,5,10-germany,2012
nico-rosberg,76,6,10-germany,2012
jenson-button,68,7,10-germany,2012
romain-grosjean,61,8,10-germany,2012
sergio-perez,47,9,10-germany,2012
kamui-kobayashi,33,10,10-germany,2012
pastor-maldonado,29,11,10-germany,2012
michael-schumacher,29,12,10-germany,2012
paul-di-resta,27,13,10-germany,2012
felipe-massa,23,14,10-germany,2012
nico-hulkenberg,19,15,10-germany,2012
bruno-senna,18,16,10-germany,2012
jean-eric-vergne,4,17,10-germany,2012
daniel-ricciardo,2,18,10-germany,2012
heikki-kovalainen,0,19,10-germany,2012
vitaly-petrov,0,20,10-germany,2012
timo-glock,0,21,10-germany,2012
charles-pic,0,22,10-germany,2012
narain-karthikeyan,0,23,10-germany,2012
pedro-de-la-rosa,0,24,10-germany,2012
fernando-alonso,164,1,11-hungary,2012
mark-webber,124,2,11-hungary,2012
sebastian-vettel,122,3,11-hungary,2012
lewis-hamilton,117,4,11-hungary,2012
kimi-raikkonen,116,5,11-hungary,2012
nico-rosberg,77,6,11-hungary,2012
jenson-button,76,7,11-hungary,2012
romain-grosjean,76,8,11-hungary,2012
sergio-perez,47,9,11-hungary,2012
kamui-kobayashi,33,10,11-hungary,2012
pastor-maldonado,29,11,11-hungary,2012
michael-schumacher,29,12,11-hungary,2012
paul-di-resta,27,13,11-hungary,2012
felipe-massa,25,14,11-hungary,2012
bruno-senna,24,15,11-hungary,2012
