constructorId,driverId,driverNumber,engineManufacturerId,lap,position,race,stop,time,tyreManufacturerId,year
haas,kevin-magnussen,20,ferrari,1,1,01-australia,1,31.336,pirelli,2017
williams,lance-stroll,18,mercedes,5,2,01-australia,1,22.293,pirelli,2017
mclaren,stoffel-vandoorne,2,honda,9,3,01-australia,1,39.562,pirelli,2017
force-india,esteban-ocon,31,mercedes,15,4,01-australia,1,22.154,pirelli,2017
sauber,antonio-giovinazzi,36,ferrari,15,5,01-australia,1,28.591,pirelli,2017
mclaren,fernando-alonso,14,honda,16,6,01-australia,1,22.484,pirelli,2017
renault,nico-hulkenberg,27,renault,16,7,01-australia,1,23.130,pirelli,2017
mercedes,lewis-hamilton,44,mercedes,17,8,01-australia,1,21.709,pirelli,2017
force-india,sergio-perez,11,mercedes,17,9,01-australia,1,22.045,pirelli,2017
toro-rosso,carlos-sainz-jr,55,toro-rosso,18,10,01-australia,1,21.762,pirelli,2017
williams,felipe-massa,19,mercedes,20,11,01-australia,1,21.568,pirelli,2017
ferrari,sebastian-vettel,5,ferrari,23,12,01-australia,1,21.988,pirelli,2017
mercedes,valtteri-bottas,77,mercedes,25,13,01-australia,1,21.440,pirelli,2017
red-bull,max-verstappen,33,tag-heuer,25,14,01-australia,1,22.208,pirelli,2017
ferrari,kimi-raikkonen,7,ferrari,26,15,01-australia,1,22.033,pirelli,2017
williams,lance-stroll,18,mercedes,29,16,01-australia,2,22.380,pirelli,2017
renault,nico-hulkenberg,27,renault,30,17,01-australia,2,23.159,pirelli,2017
toro-rosso,daniil-kvyat,26,toro-rosso,34,18,01-australia,1,25.559,pirelli,2017
haas,kevin-magnussen,20,ferrari,44,19,01-australia,2,22.189,pirelli,2017
toro-rosso,daniil-kvyat,26,toro-rosso,49,20,01-australia,2,24.026,pirelli,2017
renault,nico-hulkenberg,27,renault,1,1,02-china,1,23.550,pirelli,2017
ferrari,sebastian-vettel,5,ferrari,2,2,02-china,1,22.906,pirelli,2017
toro-rosso,daniil-kvyat,26,toro-rosso,2,3,02-china,1,24.016,pirelli,2017
mclaren,fernando-alonso,14,honda,2,4,02-china,1,24.250,pirelli,2017
williams,felipe-massa,19,mercedes,2,5,02-china,1,23.123,pirelli,2017
force-india,sergio-perez,11,mercedes,2,6,02-china,1,24.030,pirelli,2017
haas,kevin-magnussen,20,ferrari,2,7,02-china,1,23.809,pirelli,2017
sauber,marcus-ericsson,9,ferrari,2,8,02-china,1,27.934,pirelli,2017
force-india,esteban-ocon,31,mercedes,2,9,02-china,1,17.673,pirelli,2017
