driverId,points,position,race,year
kimi-raikkonen,25,1,01-australia,2013
fernando-alonso,18,2,01-australia,2013
sebastian-vettel,15,3,01-australia,2013
felipe-massa,12,4,01-australia,2013
lewis-hamilton,10,5,01-australia,2013
mark-webber,8,6,01-australia,2013
adrian-sutil,6,7,01-australia,2013
paul-di-resta,4,8,01-australia,2013
jenson-button,2,9,01-australia,2013
romain-grosjean,1,10,01-australia,2013
sergio-perez,0,11,01-australia,2013
jean-eric-vergne,0,12,01-australia,2013
esteban-gutierrez,0,13,01-australia,2013
valtteri-bottas,0,14,01-australia,2013
jules-bianchi,0,15,01-australia,2013
charles-pic,0,16,01-australia,2013
max-chilton,0,17,01-australia,2013
giedo-van-der-garde,0,18,01-australia,2013
sebastian-vettel,40,1,02-malaysia,2013
kimi-raikkonen,31,2,02-malaysia,2013
mark-webber,26,3,02-malaysia,2013
lewis-hamilton,25,4,02-malaysia,2013
felipe-massa,22,5,02-malaysia,2013
fernando-alonso,18,6,02-malaysia,2013
nico-rosberg,12,7,02-malaysia,2013
romain-grosjean,9,8,02-malaysia,2013
adrian-sutil,6,9,02-malaysia,2013
paul-di-resta,4,10,02-malaysia,2013
nico-hulkenberg,4,10,02-malaysia,2013
sergio-perez,2,12,02-malaysia,2013
jenson-button,2,13,02-malaysia,2013
jean-eric-vergne,1,14,02-malaysia,2013
valtteri-bottas,0,15,02-malaysia,2013
esteban-gutierrez,0,16,02-malaysia,2013
jules-bianchi,0,17,02-malaysia,2013
charles-pic,0,18,02-malaysia,2013
giedo-van-der-garde,0,19,02-malaysia,2013
max-chilton,0,20,02-malaysia,2013
daniel-ricciardo,0,21,02-malaysia,2013
sebastian-vettel,52,1,03-china,2013
kimi-raikkonen,49,2,03-china,2013
fernando-alonso,43,3,03-china,2013
lewis-hamilton,40,4,03-china,2013
felipe-massa,30,5,03-china,2013
mark-webber,26,6,03-china,2013
nico-rosberg,12,7,03-china,2013
jenson-button,12,8,03-china,2013
romain-grosjean,11,9,03-china,2013
paul-di-resta,8,10,03-china,2013
daniel-ricciardo,6,11,03-china,2013
adrian-sutil,6,12,03-china,2013
nico-hulkenberg,5,13,03-china,2013
sergio-perez,2,14,03-china,2013
jean-eric-vergne,1,15,03-china,2013
valtteri-bottas,0,16,03-china,2013
esteban-gutierrez,0,17,03-china,2013
jules-bianchi,0,18,03-china,2013
charles-pic,0,19,03-china,2013
pastor-maldonado,0,20,03-china,2013
giedo-van-der-garde,0,21,03-china,2013
max-chilton,0,22,03-china,2013
sebastian-vettel,77,1,04-bahrain,2013
kimi-raikkonen,67,2,04-bahrain,2013
lewis-hamilton,50,3,04-bahrain,2013
fernando-alonso,47,4,04-bahrain,2013
mark-webber,32,5,04-bahrain,2013
felipe-massa,30,6,04-bahrain,2013
romain-grosjean,26,7,04-bahrain,2013
paul-di-resta,20,8,04-bahrain,2013
nico-rosberg,14,9,04-bahrain,2013
jenson-button,13,10,04-bahrain,2013
sergio-perez,10,11,04-bahrain,2013
adrian-sutil,6,12,04-bahrain,2013
daniel-ricciardo,6,13,04-bahrain,2013
nico-hulkenberg,5,14,04-bahrain,2013
jean-eric-vergne,1,15,04-bahrain,2013
valtteri-bottas,0,16,04-bahrain,2013
pastor-maldonado,0,17,04-bahrain,2013
esteban-gutierrez,0,18,04-bahrain,2013
jules-bianchi,0,19,04-bahrain,2013
charles-pic,0,20,04-bahrain,2013
giedo-van-der-garde,0,21,04-bahrain,2013
max-chilton,0,22,04-bahrain,2013
sebastian-vettel,89,1,05-spain,2013
kimi-raikkonen,85,2,05-spain,2013
fernando-alonso,72,3,05-spain,2013
lewis-hamilton,50,4,05-spain,2013
felipe-massa,45,5,05-spain,2013
mark-webber,42,6,05-spain,2013
romain-grosjean,26,7,05-spain,2013
paul-di-resta,26,8,05-spain,2013
nico-rosberg,22,9,05-spain,2013
jenson-button,17,10,05-spain,2013
sergio-perez,12,11,05-spain,2013
daniel-ricciardo,7,12,05-spain,2013
adrian-sutil,6,13,05-spain,2013
nico-hulkenberg,5,14,05-spain,2013
jean-eric-vergne,1,15,05-spain,2013
esteban-gutierrez,0,16,05-spain,2013
valtteri-bottas,0,17,05-spain,2013
pastor-maldonado,0,18,05-spain,2013
jules-bianchi,0,19,05-spain,2013
charles-pic,0,20,05-spain,2013
giedo-van-der-garde,0,21,05-spain,2013
max-chilton,0,22,05-spain,2013
sebastian-vettel,107,1,06-monaco,2013
kimi-raikkonen,86,2,06-monaco,2013
fernando-alonso,78,3,06-monaco,2013
lewis-hamilton,62,4,06-monaco,2013
mark-webber,57,5,06-monaco,2013
nico-rosberg,47,6,06-monaco,2013
felipe-massa,45,7,06-monaco,2013
paul-di-resta,28,8,06-monaco,2013
romain-grosjean,26,9,06-monaco,2013
jenson-button,25,10,06-monaco,2013
adrian-sutil,16,11,06-monaco,2013
sergio-perez,12,12,06-monaco,2013
daniel-ricciardo,7,13,06-monaco,2013
nico-hulkenberg,5,14,06-monaco,2013
jean-eric-vergne,5,15,06-monaco,2013
esteban-gutierrez,0,16,06-monaco,2013
