driverId,points,position,race,year
lando-norris,25,1,01-australia,2025
max-verstappen,18,2,01-australia,2025
george-russell,15,3,01-australia,2025
kimi-antonelli,12,4,01-australia,2025
alexander-albon,10,5,01-australia,2025
lance-stroll,8,6,01-australia,2025
nico-hulkenberg,6,7,01-australia,2025
charles-leclerc,4,8,01-australia,2025
oscar-piastri,2,9,01-australia,2025
lewis-hamilton,1,10,01-australia,2025
pierre-gasly,0,11,01-australia,2025
yuki-tsunoda,0,12,01-australia,2025
esteban-ocon,0,13,01-australia,2025
oliver-bearman,0,14,01-australia,2025
lando-norris,44,1,02-china,2025
max-verstappen,36,2,02-china,2025
george-russell,35,3,02-china,2025
oscar-piastri,34,4,02-china,2025
kimi-antonelli,22,5,02-china,2025
alexander-albon,16,6,02-china,2025
esteban-ocon,10,7,02-china,2025
lance-stroll,10,8,02-china,2025
lewis-hamilton,9,9,02-china,2025
charles-leclerc,8,10,02-china,2025
nico-hulkenberg,6,11,02-china,2025
oliver-bearman,4,12,02-china,2025
yuki-tsunoda,3,13,02-china,2025
carlos-sainz-jr,1,14,02-china,2025
isack-hadjar,0,15,02-china,2025
pierre-gasly,0,16,02-china,2025
liam-lawson,0,17,02-china,2025
jack-doohan,0,18,02-china,2025
gabriel-bortoleto,0,19,02-china,2025
lando-norris,62,1,03-japan,2025
max-verstappen,61,2,03-japan,2025
oscar-piastri,49,3,03-japan,2025
george-russell,45,4,03-japan,2025
kimi-antonelli,30,5,03-japan,2025
charles-leclerc,20,6,03-japan,2025
alexander-albon,18,7,03-japan,2025
lewis-hamilton,15,8,03-japan,2025
esteban-ocon,10,9,03-japan,2025
lance-stroll,10,10,03-japan,2025
nico-hulkenberg,6,11,03-japan,2025
oliver-bearman,5,12,03-japan,2025
isack-hadjar,4,13,03-japan,2025
yuki-tsunoda,3,14,03-japan,2025
carlos-sainz-jr,1,15,03-japan,2025
pierre-gasly,0,16,03-japan,2025
fernando-alonso,0,17,03-japan,2025
liam-lawson,0,18,03-japan,2025
jack-doohan,0,19,03-japan,2025
gabriel-bortoleto,0,20,03-japan,2025
lando-norris,77,1,04-bahrain,2025
oscar-piastri,74,2,04-bahrain,2025
max-verstappen,69,3,04-bahrain,2025
george-russell,63,4,04-bahrain,2025
charles-leclerc,32,5,04-bahrain,2025
kimi-antonelli,30,6,04-bahrain,2025
lewis-hamilton,25,7,04-bahrain,2025
alexander-albon,18,8,04-bahrain,2025
esteban-ocon,14,9,04-bahrain,2025
lance-stroll,10,10,04-bahrain,2025
pierre-gasly,6,11,04-bahrain,2025
nico-hulkenberg,6,12,04-bahrain,2025
oliver-bearman,6,13,04-bahrain,2025
