constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,lap,position,race,time,tyreManufacturerId,year
red-bull,daniel-ricciardo,3,tag-heuer,,,49,1,01-australia,1:28.997,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+0.954,+0.954,23,2,01-australia,1:29.951,pirelli,2016
mercedes,nico-rosberg,6,mercedes,+1.560,+0.606,21,3,01-australia,1:30.557,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,+1.649,+0.089,48,4,01-australia,1:30.646,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+1.704,+0.055,21,5,01-australia,1:30.701,pirelli,2016
toro-rosso,max-verstappen,33,ferrari,+2.519,+0.815,44,6,01-australia,1:31.516,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,+2.674,+0.155,23,7,01-australia,1:31.671,pirelli,2016
mclaren,jenson-button,22,honda,+2.687,+0.013,33,8,01-australia,1:31.684,pirelli,2016
williams,felipe-massa,19,mercedes,+3.291,+0.604,39,9,01-australia,1:32.288,pirelli,2016
renault,kevin-magnussen,20,renault,+3.455,+0.164,45,10,01-australia,1:32.452,pirelli,2016
mclaren,fernando-alonso,14,honda,+3.556,+0.101,14,11,01-australia,1:32.553,pirelli,2016
manor,pascal-wehrlein,94,mercedes,+3.676,+0.120,34,12,01-australia,1:32.673,pirelli,2016
sauber,felipe-nasr,12,ferrari,+3.714,+0.038,48,13,01-australia,1:32.711,pirelli,2016
williams,valtteri-bottas,77,mercedes,+3.728,+0.014,51,14,01-australia,1:32.725,pirelli,2016
force-india,sergio-perez,11,mercedes,+3.783,+0.055,39,15,01-australia,1:32.780,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,+3.836,+0.053,49,16,01-australia,1:32.833,pirelli,2016
haas,romain-grosjean,8,ferrari,+3.865,+0.029,48,17,01-australia,1:32.862,pirelli,2016
renault,jolyon-palmer,30,renault,+3.958,+0.093,14,18,01-australia,1:32.955,pirelli,2016
haas,esteban-gutierrez,21,ferrari,+4.001,+0.043,4,19,01-australia,1:32.998,pirelli,2016
manor,rio-haryanto,88,mercedes,+4.850,+0.849,15,20,01-australia,1:33.847,pirelli,2016
sauber,marcus-ericsson,9,ferrari,+4.895,+0.045,15,21,01-australia,1:33.892,pirelli,2016
mercedes,nico-rosberg,6,mercedes,,,41,1,02-bahrain,1:34.482,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,+0.195,+0.195,43,2,02-bahrain,1:34.677,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+0.676,+0.481,39,3,02-bahrain,1:35.158,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,+0.706,+0.030,53,4,02-bahrain,1:35.188,pirelli,2016
sauber,felipe-nasr,12,ferrari,+0.878,+0.172,49,5,02-bahrain,1:35.360,pirelli,2016
manor,pascal-wehrlein,94,mercedes,+0.966,+0.088,43,6,02-bahrain,1:35.448,pirelli,2016
toro-rosso,max-verstappen,33,ferrari,+1.022,+0.056,49,7,02-bahrain,1:35.504,pirelli,2016
red-bull,daniil-kvyat,26,tag-heuer,+1.196,+0.174,36,8,02-bahrain,1:35.678,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+1.582,+0.386,44,9,02-bahrain,1:36.064,pirelli,2016
force-india,sergio-perez,11,mercedes,+1.585,+0.003,39,10,02-bahrain,1:36.067,pirelli,2016
haas,romain-grosjean,8,ferrari,+1.613,+0.028,42,11,02-bahrain,1:36.095,pirelli,2016
mclaren,stoffel-vandoorne,47,honda,+1.639,+0.026,44,12,02-bahrain,1:36.121,pirelli,2016
manor,rio-haryanto,88,mercedes,+2.203,+0.564,47,13,02-bahrain,1:36.685,pirelli,2016
renault,kevin-magnussen,20,renault,+2.248,+0.045,40,14,02-bahrain,1:36.730,pirelli,2016
williams,valtteri-bottas,77,mercedes,+2.595,+0.347,37,15,02-bahrain,1:37.077,pirelli,2016
williams,felipe-massa,19,mercedes,+3.078,+0.483,31,16,02-bahrain,1:37.560,pirelli,2016
sauber,marcus-ericsson,9,ferrari,+3.521,+0.443,32,17,02-bahrain,1:38.003,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,+3.926,+0.405,22,18,02-bahrain,1:38.408,pirelli,2016
haas,esteban-gutierrez,21,ferrari,+4.859,+0.933,2,19,02-bahrain,1:39.341,pirelli,2016
mclaren,jenson-button,22,honda,+4.945,+0.086,3,20,02-bahrain,1:39.427,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,,,48,1,03-china,1:39.824,pirelli,2016
haas,romain-grosjean,8,ferrari,+0.099,+0.099,47,2,03-china,1:39.923,pirelli,2016
mclaren,jenson-button,22,honda,+0.474,+0.375,46,3,03-china,1:40.298,pirelli,2016
haas,esteban-gutierrez,21,ferrari,+0.544,+0.070,45,4,03-china,1:40.368,pirelli,2016
toro-rosso,max-verstappen,33,ferrari,+0.575,+0.031,41,5,03-china,1:40.399,pirelli,2016
mercedes,nico-rosberg,6,mercedes,+0.594,+0.019,38,6,03-china,1:40.418,pirelli,2016
sauber,felipe-nasr,12,ferrari,+0.758,+0.164,42,7,03-china,1:40.582,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+0.769,+0.011,40,8,03-china,1:40.593,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+0.786,+0.017,37,9,03-china,1:40.610,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,+0.838,+0.052,32,10,03-china,1:40.662,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+1.191,+0.353,55,11,03-china,1:41.015,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,+1.661,+0.470,35,12,03-china,1:41.485,pirelli,2016
manor,pascal-wehrlein,94,mercedes,+1.665,+0.004,48,13,03-china,1:41.489,pirelli,2016
red-bull,daniil-kvyat,26,tag-heuer,+1.722,+0.057,38,14,03-china,1:41.546,pirelli,2016
williams,valtteri-bottas,77,mercedes,+1.734,+0.012,23,15,03-china,1:41.558,pirelli,2016
williams,felipe-massa,19,mercedes,+1.991,+0.257,34,16,03-china,1:41.815,pirelli,2016
force-india,sergio-perez,11,mercedes,+2.022,+0.031,30,17,03-china,1:41.846,pirelli,2016
manor,rio-haryanto,88,mercedes,+2.185,+0.163,42,18,03-china,1:42.009,pirelli,2016
mclaren,fernando-alonso,14,honda,+2.402,+0.217,36,19,03-china,1:42.226,pirelli,2016
renault,jolyon-palmer,30,renault,+2.408,+0.006,26,20,03-china,1:42.232,pirelli,2016
renault,kevin-magnussen,20,renault,+2.487,+0.079,22,21,03-china,1:42.311,pirelli,2016
sauber,marcus-ericsson,9,ferrari,+3.445,+0.958,41,22,03-china,1:43.269,pirelli,2016
mercedes,nico-rosberg,6,mercedes,,,52,1,04-russia,1:39.094,pirelli,2016
williams,felipe-massa,19,mercedes,+0.649,+0.649,52,2,04-russia,1:39.743,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+1.007,+0.358,47,3,04-russia,1:40.101,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,+1.172,+0.165,36,4,04-russia,1:40.266,pirelli,2016
mclaren,fernando-alonso,14,honda,+1.253,+0.081,52,5,04-russia,1:40.347,pirelli,2016
williams,valtteri-bottas,77,mercedes,+2.065,+0.812,37,6,04-russia,1:41.159,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+2.085,+0.020,46,7,04-russia,1:41.179,pirelli,2016
mclaren,jenson-button,22,honda,+2.626,+0.541,50,8,04-russia,1:41.720,pirelli,2016
renault,kevin-magnussen,20,renault,+2.738,+0.112,50,9,04-russia,1:41.832,pirelli,2016
