countryId,id,name
united-kingdom,avon,Avon
japan,bridgestone,Bridgestone
germany,continental,Continental
united-kingdom,dunlop,Dunlop
belgium,englebert,Englebert
united-states-of-america,firestone,Firestone
united-states-of-america,goodyear,Goodyear
france,michelin,Michelin
italy,pirelli,Pirelli
