countryId,direction,fullName,id,latitude,length,longitude,name,placeName,previousNames,turns,type
united-kingdom,CLOCKWISE,Silverstone Circuit,silverstone,52.078611,5.891,-1.016944,Silverstone,Silverstone,,18,RACE
russia,CLOCKWISE,Sochi Autodrom,sochi,43.410278,5.848,39.968271,Sochi,Sochi,"['Sochi International Street Circuit', 'Sochi Olympic Park Circuit']",18,ROAD
belgium,CLOCKWISE,Circuit de Spa-Francorchamps,spa-francorchamps,50.437222,7.004,5.971389,Spa-Francorchamps,Spa,,19,RACE
austria,CLOCKWISE,Red Bull Ring,spielberg,47.219722,4.326,14.764722,Red Bull Ring,Spielberg,"['Österreichring', 'A1-Ring']",10,RACE
japan,CLOCKWISE,Suzuka Circuit,suzuka,34.843056,5.807,136.540556,Suzuka,Suzuka,,18,RACE
spain,CLOCKWISE,Valencia Street Circuit,valencia,39.458778,5.419,-0.325556,Valencia,Valencia,,25,STREET
united-states-of-america,CLOCKWISE,Watkins Glen International,watkins-glen,42.336944,5.435,-76.927222,Watkins Glen,Watkins Glen,,11,RACE
united-arab-emirates,ANTI_CLOCKWISE,Yas Marina Circuit,yas-marina,24.467222,5.281,54.603056,Yas Marina,Abu Dhabi,,16,RACE
south-korea,ANTI_CLOCKWISE,Korea International Circuit,yeongam,34.733333,5.615,126.416667,Korea,Yeongam,,18,RACE
netherlands,CLOCKWISE,Circuit Park Zandvoort,zandvoort,52.388819,4.259,4.540922,Zandvoort,Zandvoort,,14,RACE
austria,CLOCKWISE,Zeltweg,zeltweg,47.202222,3.186,14.742222,Zeltweg,Zeltweg,,4,ROAD
belgium,CLOCKWISE,Circuit Zolder,zolder,50.988889,4.262,5.255556,Zolder,Heusden-Zolder,,15,RACE
