chronology,countryId,fullName,id,name
,spain,Hispania Racing Team,hrt,HRT
,united-kingdom,Hersham and Walton Motors,hwm,HWM
"{'constructorId': 'politoys', 'yearFrom': 1972, 'yearTo': 1972}, {'constructorId': 'iso-marlboro', 'yearFrom': 1973, 'yearTo': 1974}, {'constructorId': 'frank-williams-racing-cars', 'yearFrom': 1975, 'yearTo': 1975}, {'constructorId': 'wolf-williams', 'yearFrom': 1976, 'yearTo': 1976}, {'constructorId': 'wolf', 'yearFrom': 1977, 'yearTo': 1979}",united-kingdom,Iso-Marlboro,iso-marlboro,Iso-Marlboro
"{'constructorId': 'stewart', 'yearFrom': 1997, 'yearTo': 1999}, {'constructorId': 'jaguar', 'yearFrom': 2000, 'yearTo': 2004}, {'constructorId': 'red-bull', 'yearFrom': 2005, 'yearTo': None}",united-kingdom,Jaguar Racing F1 Team,jaguar,Jaguar
,united-kingdom,JBW Cars,jbw,JBW
"{'constructorId': 'jordan', 'yearFrom': 1991, 'yearTo': 2005}, {'constructorId': 'midland', 'yearFrom': 2006, 'yearTo': 2006}, {'constructorId': 'spyker', 'yearFrom': 2007, 'yearTo': 2007}, {'constructorId': 'force-india', 'yearFrom': 2008, 'yearTo': 2018}, {'constructorId': 'racing-point', 'yearFrom': 2019, 'yearTo': 2020}, {'constructorId': 'aston-martin', 'yearFrom': 2021, 'yearTo': None}",ireland,Jordan Grand Prix,jordan,Jordan
,germany,Kauhsen,kauhsen,Kauhsen
"{'constructorId': 'sauber', 'yearFrom': 1993, 'yearTo': 2005}, {'constructorId': 'bmw-sauber', 'yearFrom': 2006, 'yearTo': 2010}, {'constructorId': 'sauber', 'yearFrom': 2011, 'yearTo': 2018}, {'constructorId': 'alfa-romeo', 'yearFrom': 2019, 'yearTo': 2023}, {'constructorId': 'kick-sauber', 'yearFrom': 2024, 'yearTo': None}",switzerland,Kick Sauber F1 Team,kick-sauber,Kick Sauber
,germany,Klenk,klenk,Klenk
,japan,Kojima Engineering,kojima,Kojima
,germany,Krakau,krakau,Krakau
,united-states-of-america,Kurtis Kraft,kurtis-kraft,Kurtis Kraft
,united-states-of-america,Kuzma,kuzma,Kuzma
,italy,Lancia,lancia,Lancia
,united-states-of-america,Langley,langley,Langley
,france,Larrousse F1,larrousse,Larrousse
,south-africa,LDS,lds,LDS
,united-kingdom,LEC Refrigeration Racing,lec,LEC
,united-states-of-america,Lesovsky,lesovsky,Lesovsky
"{'constructorId': 'march', 'yearFrom': 1970, 'yearTo': 1989}, {'constructorId': 'leyton-house', 'yearFrom': 1990, 'yearTo': 1991}, {'constructorId': 'march', 'yearFrom': 1992, 'yearTo': 1992}",united-kingdom,Leyton House Racing,leyton-house,Leyton House
,italy,Life Racing Engines,life,Life
"{'constructorId': 'ligier', 'yearFrom': 1976, 'yearTo': 1996}, {'constructorId': 'prost', 'yearFrom': 1997, 'yearTo': 2001}",france,Equipe Ligier,ligier,Ligier
,united-kingdom,Lola Cars,lola,Lola
"{'constructorId': 'toleman', 'yearFrom': 1981, 'yearTo': 1985}, {'constructorId': 'benetton', 'yearFrom': 1986, 'yearTo': 2001}, {'constructorId': 'renault', 'yearFrom': 2002, 'yearTo': 2011}, {'constructorId': 'lotus-f1', 'yearFrom': 2012, 'yearTo': 2015}, {'constructorId': 'renault', 'yearFrom': 2016, 'yearTo': 2020}, {'constructorId': 'alpine', 'yearFrom': 2021, 'yearTo': None}",united-kingdom,Lotus F1 Team,lotus-f1,Lotus
"{'constructorId': 'lotus-racing', 'yearFrom': 2010, 'yearTo': 2011}, {'constructorId': 'caterham', 'yearFrom': 2012, 'yearTo': 2014}",malaysia,Lotus Racing,lotus-racing,Lotus Racing
,united-kingdom,Team Lotus,lotus,Lotus
,united-kingdom,Lyncar,lyncar,Lyncar
,japan,Maki Engineering,maki,Maki
"{'constructorId': 'virgin', 'yearFrom': 2010, 'yearTo': 2011}, {'constructorId': 'marussia', 'yearFrom': 2012, 'yearTo': 2015}, {'constructorId': 'manor', 'yearFrom': 2016, 'yearTo': 2016}",united-kingdom,Manor Racing,manor,Manor
"{'constructorId': 'march', 'yearFrom': 1970, 'yearTo': 1989}, {'constructorId': 'leyton-house', 'yearFrom': 1990, 'yearTo': 1991}, {'constructorId': 'march', 'yearFrom': 1992, 'yearTo': 1992}",united-kingdom,March Engineering,march,March
,united-states-of-america,Marchese,marchese,Marchese
,france,Automobiles Martini,martini,Martini
"{'constructorId': 'virgin', 'yearFrom': 2010, 'yearTo': 2011}, {'constructorId': 'marussia', 'yearFrom': 2012, 'yearTo': 2015}, {'constructorId': 'manor', 'yearFrom': 2016, 'yearTo': 2016}",united-kingdom,Marussia F1 Team,marussia,Marussia
,italy,Maserati,maserati,Maserati
,france,Equipe Matra Sports,matra,Matra
,australia,McGuire,mcguire,McGuire
,united-kingdom,McLaren Racing,mclaren,McLaren
"{'constructorId': 'tyrrell', 'yearFrom': 1970, 'yearTo': 1998}, {'constructorId': 'bar', 'yearFrom': 1999, 'yearTo': 2005}, {'constructorId': 'honda', 'yearFrom': 2006, 'yearTo': 2008}, {'constructorId': 'brawn', 'yearFrom': 2009, 'yearTo': 2009}, {'constructorId': 'mercedes', 'yearFrom': 2010, 'yearTo': None}",germany,Mercedes AMG F1,mercedes,Mercedes
,italy,Team Merzario,merzario,Merzario
,united-states-of-america,Meskowski,meskowski,Meskowski
