Position,Team_Example_2024,Baseline_Percentage,Hours_Per_Year,CFD_Percentage
1,Red Bull,70,224,70
2,Ferrari,75,240,75
3,McLaren,80,256,80
4,Mercedes,85,272,85
5,Aston Martin,90,288,90
6,RB,95,304,95
7,Haas,100,320,100
8,Alpine,105,336,105
9,Williams,110,352,110
10,Sauber,115,368,115
